spanish,english,chinese,pinyin,portuguese
carácter,character,字符,zì fú,personagem
tímido,shy,害羞,hài xiū,tímido
extrovertido,extrovert,外向,wài xiàng,extrovertido
serio,serious,严重,yán zhòng,sério
divertido,funny,有趣,yǒu qù,engraçado
realista,realistic,现实,xiàn shí,realista
idealista,idealist,理想主义者,lǐ xiǎng zhǔ yì zhě,idealista
temperamento,temperament,气质,qì zhì,temperamento
humor,humor,幽默,yōu mò,humor
introvertido,introvert,内向,nèi xiàng,introvertido
inseguro,unsafe,不安全,bù ān quán,inseguro
maduro,mature,成熟,chéng shú,maduro
inmaduro,immature,不成熟,bù chéng shú,imaturo
sensible,sensitive,敏感,mǐn gǎn,sensível
reservado,reserved,保留,bǎo liú,reservado
sociable,sociable,善于交际,shàn yú jiāo jì,sociável
solitario,lonely,孤独,gū dú,solitário
curioso,curious,好奇,hào qí,curioso
ingenuo,naive,天真,tiān zhēn,ingênuo
astuto,cunning,狡猾,jiǎo huá,astúcia
tiene carácter,has character,具有字符,jù yǒu zì fú,tem caráter
carácter fuerte,strong character,性格坚强,xìng gé jiān qiáng,caráter forte
niño tímido,shy boy,害羞的男孩,hài xiū de nán hái,garoto tímido
es tímido,is shy,很害羞,hěn hài xiū,é tímido
es extrovertido,is extroverted,性格外向,xìng gé wài xiàng,é extrovertido
muy extrovertido,very outgoing,非常外向,fēi cháng wài xiàng,muito extrovertido
asunto serio,serious matter,严重的事情,yán zhòng de shì qíng,assunto sério
problema serio,serious problem,严重问题,yán zhòng wèn tí,problema sério
chiste divertido,funny joke,有趣的笑话,yǒu qù de xiào huà,piada engraçada
juego divertido,fun game,有趣的游戏,yǒu qù de yóu xì,jogo divertido
enfoque realista,realistic approach,现实的方法,xiàn shí de fāng fǎ,abordagem realista
plan realista,realistic plan,现实的计划,xiàn shí de jì huà,plano realista
soñador idealista,idealistic dreamer,理想主义梦想家,lǐ xiǎng zhǔ yì mèng xiǎng jiā,sonhador idealista
pensamiento idealista,idealistic thinking,理想主义思维,lǐ xiǎng zhǔ yì sī wéi,pensamento idealista
mal temperamento,bad temper,脾气不好,pí qì bù hǎo,mau humor
temperamento artístico,artistic temperament,艺术气质,yì shù qì zhì,temperamento artístico
sentido del humor,sense of humor,幽默感,yōu mò gǎn,senso de humor
de buen humor,in a good mood,心情好,xīn qíng hǎo,de bom humor
muy introvertido,very introverted,非常内向,fēi cháng nèi xiàng,muito introvertido
es introvertido,is introverted,性格内向,xìng gé nèi xiàng,é introvertido
me siento inseguro,I feel insecure,我缺乏安全感,wǒ quē fá ān quán gǎn,Me sinto insegura
paso inseguro,unsafe step,不安全的步骤,bù ān quán de bù zhòu,etapa insegura
hombre maduro,mature man,成熟男人,chéng shú nán rén,homem maduro
fruto maduro,ripe fruit,成熟的果实,chéng shú de guǒ shí,fruta madura
comportamiento inmaduro,immature behavior,不成熟的行为,bù chéng shú de xíng wéi,comportamento imaturo
gesto inmaduro,immature gesture,不成熟的姿态,bù chéng shú de zī tài,gesto imaturo
tema sensible,sensitive topic,敏感话题,mǐn gǎn huà tí,tema delicado
piel sensible,sensitive skin,敏感肌肤,mǐn gǎn jī fū,pele sensível
hombre reservado,reserved man,矜持的人,jīn chí de rén,homem reservado
muy reservado,very reserved,非常矜持,fēi cháng jīn chí,muito reservado
persona sociable,sociable person,善于交际的人,shàn yú jiāo jì de rén,pessoa sociável
ambiente sociable,sociable environment,社交环境,shè jiāo huán jìng,ambiente sociável
lobo solitario,lone wolf,独狼,dú láng,lobo solitário
paseo solitario,lonely walk,孤独行走,gū dú xíng zǒu,caminhada solitária
dato curioso,curious fact,奇怪的事实,qí guài de shì shí,fato curioso
niño curioso,curious child,好奇的孩子,hào qí de hái zi,criança curiosa
chico ingenuo,naive boy,天真的男孩,tiān zhēn de nán hái,garoto ingênuo
tan ingenuo,so naive,太天真了,tài tiān zhēn le,tão ingênuo
zorro astuto,cunning fox,狡猾的狐狸,jiǎo huá de hú lí,raposa astuta
plan astuto,cunning plan,狡猾的计划,jiǎo huá de jì huà,plano astuto
