spanish,english,chinese,pinyin,portuguese
periodismo,journalism,新闻业,xīn wén yè,jornalismo
columna,column,专栏,zhuān lán,coluna
titular,headline,标题,biāo tí,titular
portada,cover,封面,fēng miàn,capa
redacción,newsroom,编辑部,biān jí bù,redação
fuente,source,来源,lái yuán,fonte
editor,editor,编辑,biān jí,editor
editora,editor,编辑,biān jí,editora
edición,edition,版,bǎn,edição
suplemento,supplement,补充,bǔ chōng,suplemento
sección,section,部分,bù fèn,seção
corresponsal,correspondent,通讯员,tōng xùn yuán,correspondente
enviado,correspondent,特派员,yǐ fā sòng,enviado
colaborador,collaborator,合作者,hé zuò zhě,colaborador
crónica,chronicle,报道,bào dào,crônica
exclusiva,exclusive,独家,dú jiā,exclusivo
primicia,scoop,独家新闻,dú jiā xīn wén,furo
rueda de prensa,press conference,新闻发布会,xīn wén fā bù huì,conferência de imprensa
el periodismo,journalism,新闻业,xīn wén yè,jornalismo
de periodismo,of journalism,新闻业,xīn wén yè,do jornalismo
la columna,the column,专栏,zhuān lán,a coluna
una columna,a column,一栏,yī lán,uma coluna
el titular,the headline,标题,biāo tí,o titular
un titular,a headline,标题,biāo tí,uma manchete
la portada,the cover,封面,fēng miàn,a capa
en portada,on cover,封面,fēng miàn,na capa
la redacción,the editorial,编辑部,biān jí bù,a redação
en la redacción,in the editorial office,在编辑部,zài biān jí bù,na redação
la fuente,the source,来源,lái yuán,a fonte
una fuente,a source,来源,lái yuán,uma fonte
el editor,the editor,编辑,biān jí,o editor
un editor,an editor,编辑,biān jí,um editor
la editora,the editor,编辑,biān jí,a editora
una editora,an editor,编辑,biān jí,uma editora
la edición,the edition,版本,bǎn běn,a edição
una edición,an edition,一个版本,yí gè bǎn běn,uma edição
el suplemento,the supplement,补充,bǔ chōng,o suplemento
un suplemento,a supplement,补充,bǔ chōng,um suplemento
la sección,the section,部分,bù fèn,a seção
una sección,a section,一个部分,yí gè bù fèn,uma seção
el corresponsal,the correspondent,通讯员,tōng xùn yuán,o correspondente
un corresponsal,a correspondent,通讯员,tōng xùn yuán,um correspondente
el enviado,the correspondent,发送的,fā sòng de,o enviado especial
un enviado,a correspondent,特使,tè shǐ,um enviado especial
el colaborador,the collaborator,合作者,hé zuò zhě,o colaborador
un colaborador,a collaborator,合作者,hé zuò zhě,um colaborador
la crónica,the chronicle,报道,bào dào,a crônica
una crónica,a chronicle,编年史,biān nián shǐ,uma crônica
la exclusiva,the exclusive,独家,dú jiā,a exclusiva
una exclusiva,an exclusive,独家,dú jiā,uma exclusiva
la primicia,the scoop,独家新闻,dú jiā xīn wén,o furo
una primicia,a first,一条独家新闻,yì tiáo dú jiā xīn wén,uma primícia
la rueda de prensa,the press conference,新闻发布会,xīn wén fā bù huì,a conferência de imprensa
en rueda de prensa,at a press conference,在新闻发布会上,zài xīn wén fā bù huì shàng,em uma coletiva de imprensa
