spanish,english,chinese,pinyin,portuguese
verdura,vegetable,蔬菜,shū cài,verdura
lechuga,lettuce,生菜,shēng cài,alface
pepino,cucumber,黄瓜,huáng guā,pepino
zanahoria,carrot,胡萝卜,hú luó bo,cenoura
brócoli,broccoli,西兰花,xī lán huā,brócolis
cebolla,onion,洋葱,yáng cōng,cebola
ajo,garlic,大蒜,dà suàn,alho
maíz,corn,玉米,yù mǐ,milho
guisantes,peas,豌豆,wān dòu,ervilhas
judías,beans,豆子,dòu zi,feijões
pimiento,pepper,辣椒,là jiāo,pimentão
berenjena,eggplant,茄子,qié zi,berinjela
apio,celery,芹菜,qín cài,aipo
espinaca,spinach,菠菜,bō cài,espinafre
aguacate,avocado,牛油果,niú yóu guǒ,abacate
la verdura,the vegetable,这种蔬菜,zhè zhǒng shū cài,a verdura
una verdura,a vegetable,一种蔬菜,yì zhǒng shū cài,uma verdura
la lechuga,the lettuce,这些生菜,zhè xiē shēng cài,a alface
ensalada de lechuga,lettuce salad,生菜沙拉,shēng cài shā lā,salada de alface
el pepino,the cucumber,这根黄瓜,zhè gēn huáng guā,o pepino
un pepino,a cucumber,一根黄瓜,yì gēn huáng guā,um pepino
la zanahoria,the carrot,这根胡萝卜,zhè gēn hú luó bo,a cenoura
una zanahoria,a carrot,一根胡萝卜,yì gēn hú luó bo,uma cenoura
el brócoli,the broccoli,这些西兰花,zhè xiē xī lán huā,os brócolis
con brócoli,with broccoli,加西兰花,jiā xī lán huā,com brócolis
la cebolla,the onion,这个洋葱,zhè ge yáng cōng,a cebola
una cebolla,an onion,一个洋葱,yí gè yáng cōng,uma cebola
el ajo,the garlic,这些大蒜,zhè xiē dà suàn,o alho
con ajo,with garlic,加大蒜,jiā dà suàn,com alho
el maíz,the corn,这些玉米,zhè xiē yù mǐ,o milho
con maíz,with corn,加玉米,jiā yù mǐ,com milho
los guisantes,the peas,这些豌豆,zhè xiē wān dòu,as ervilhas
con guisantes,with peas,加豌豆,jiā wān dòu,com ervilhas
las judías,the beans,这些豆子,zhè xiē dòu zi,os feijões
judías verdes,green beans,青豆,qīng dòu,feijões verdes
el pimiento,the pepper,这个辣椒,zhè ge là jiāo,o pimentão
un pimiento,a pepper,一个辣椒,yí gè là jiāo,um pimentão
la berenjena,the eggplant,这个茄子,zhè ge qié zi,a berinjela
una berenjena,an eggplant,一个茄子,yí gè qié zi,uma berinjela
el apio,the celery,这些芹菜,zhè xiē qín cài,o aipo
con apio,with celery,加芹菜,jiā qín cài,com aipo
la espinaca,the spinach,这些菠菜,zhè xiē bō cài,o espinafre
con espinaca,with spinach,加菠菜,jiā bō cài,com espinafre
el aguacate,the avocado,这个牛油果,zhè ge niú yóu guǒ,o abacate
un aguacate,an avocado,一个牛油果,yí gè niú yóu guǒ,um abacate
