spanish,english,chinese,pinyin,portuguese
turista,tourist,旅游,lǚ yóu,turista
turismo,tourism,旅游,lǚ yóu,turismo
pasaporte,passport,护照,hù zhào,passaporte
maleta,suitcase,手提箱,shǒu tí xiāng,mala
equipaje,luggage,行李,xíng lǐ,bagagem
hotel,hotel,酒店,jiǔ diàn,hotéis
reserva,reservation,预订,yù dìng,reserva
vuelo,flight,航班,háng bān,vôo
aeropuerto,airport,机场,jī chǎng,aeroporto
estación,station,站,zhàn,estação
boleto,ticket,票,piào,bilhete
ida,one way,一种方式,yī zhǒng fāng shì,só de ida
vacaciones,vacation,假期,jià qī,férias
agencia,agency,代理,dài lǐ,agência
temporada,season,季节,jì jié,temporada
aventura,adventure,冒险,mào xiǎn,aventura
guía turístico,tour guide,导游,dǎo yóu,guia turístico
souvenir,souvenir,纪念品,jì niàn pǐn,lembrança
postal,postcard,明信片,míng xìn piàn,postal
gira,tour,游览,yóu lǎn,passeio
un turista,a tourist,游客,yóu kè,um turista
el turista,the tourist,游客,yóu kè,o turista
el turismo,tourism,旅游,lǚ yóu,turismo
de turismo,tourism,旅游,lǚ yóu,turismo
el pasaporte,the passport,护照,hù zhào,o passaporte
mi pasaporte,my passport,我的护照,wǒ de hù zhào,meu passaporte
la maleta,the suitcase,手提箱,shǒu tí xiāng,a mala
mi maleta,my suitcase,我的手提箱,wǒ de shǒu tí xiāng,minha mala
el equipaje,the luggage,行李,xíng lǐ,a bagagem
mi equipaje,my luggage,我的行李,wǒ de xíng lǐ,minha bagagem
el hotel,the hotel,酒店,jiǔ diàn,o hotel
un hotel,a hotel,酒店,jiǔ diàn,um hotel
la reserva,the reservation,预订,yù dìng,a reserva
una reserva,a reservation,预订,yù dìng,uma reserva
el vuelo,the flight,航班,háng bān,o voo
un vuelo,a flight,航班,háng bān,um vôo
el aeropuerto,the airport,机场,jī chǎng,o aeroporto
al aeropuerto,to the airport,去机场,qù jī chǎng,para o aeroporto
la estación,the station,车站,chē zhàn,a estação
a la estación,to the station,到车站,dào chē zhàn,para a estação
el boleto,the ticket,票,piào,o ingresso
un boleto,a ticket,一张票,yī zhāng piào,um ingresso
de ida,one way,一种方式,yī zhǒng fāng shì,só de ida
ida y vuelta,round trip,往返,wǎng fǎn,ida e volta
las vacaciones,the holidays,假期,jià qī,as férias
de vacaciones,on vacation,度假中,dù jià zhōng,de férias
la agencia,the agency,该机构,gāi jī gòu,a agência
una agencia,an agency,一个机构,yí gè jī gòu,uma agência
la temporada,the season,这个季节,zhè ge jì jié,a temporada
buena temporada,good season,好季节,hǎo jì jié,boa temporada
la aventura,the adventure,冒险,mào xiǎn,a aventura
una aventura,an adventure,一次冒险,yī cì mào xiǎn,uma aventura
el guía turístico,the tour guide,导游,dǎo yóu,o guia turístico
un guía turístico,a tour guide,导游,dǎo yóu,um guia turístico
un souvenir,a souvenir,纪念品,jì niàn pǐn,uma lembrança
comprar souvenir,buy souvenir,购买纪念品,gòu mǎi jì niàn pǐn,comprar lembrança
una postal,a postcard,一张明信片,yī zhāng míng xìn piàn,um postal
enviar postal,send postcard,寄明信片,jì míng xìn piàn,enviar postal
la gira,the tour,巡演,xún yǎn,o passeio
una gira,a tour,一次旅行,yī cì lǚ xíng,um passeio
