spanish,english,chinese,pinyin,portuguese
termino,I finish,我完成,wǒ wán chéng,Eu termino
terminas,you finish,你完成,nǐ wán chéng,você termina
termina,he/she finishes,结束,jié shù,termina
terminamos,we finish,我们完成,wǒ men wán chéng,terminamos
termináis,you finish,你完成,nǐ wán chéng,você termina
terminan,they finish,结束,jié shù,terminam
terminar,to finish,完成,wán chéng,terminar
final,end,结束,jié shù,fim
acabar,to finish,完成,wán chéng,terminar
conclusión,conclusion,结论,jié lùn,conclusão
yo termino,I finish,我完成,wǒ wán chéng,Eu termino
lo termino,I finish it,我完成了,wǒ wán chéng le,Eu termino
tú terminas,you finish,你完成,nǐ wán chéng,você termina
lo terminas,you finish it,你完成它,nǐ wán chéng tā,você termina
él termina,he finishes,他完成了,tā wán chéng le,ele termina
lo termina,he/she finishes it,完结了,wán jié le,termina
nosotros terminamos,we finish,我们完成,wǒ men wán chéng,terminamos
lo terminamos,we finished it,我们完成了,wǒ men wán chéng le,terminamos
vosotros termináis,you finish,你完成,nǐ wán chéng,você termina
lo termináis,you finish it,你完成它,nǐ wán chéng tā,você termina
ellos terminan,they finish,他们完成,tā men wán chéng,eles terminam
lo terminan,they finish it,他们完成了,tā men wán chéng le,eles terminam
quiero terminar,I want to finish,我想完成,wǒ xiǎng wán chéng,Quero terminar
voy a terminar,I'm going to finish,我要完成,wǒ yào wán chéng,Vou terminar
al final,at the end,最后,zuì hòu,no final
el final,the end,结束,jié shù,o fim
hay que acabar,we have to finish,我们必须完成,wǒ men bì xū wán chéng,temos que terminar
voy a acabar,I'm going to finish,我要完成,wǒ yào wán chéng,Vou terminar
la conclusión,the conclusion,结论,jié lùn,a conclusão
en conclusión,in conclusion,综上所述,zōng shàng suǒ shù,para concluir
