spanish,english,chinese,pinyin,portuguese
muevo,I move,我移动,wǒ dòng le,Eu me movo
mueves,you move,你移动,nǐ dòng le,você se move
mueve,he/she moves,移动,yí dòng,se move
movemos,we move,我们移动,wǒ men bān jiā,nos movemos
movéis,you move,你移动,nǐ dòng le,você se move
mueven,they move,移动,yí dòng,eles se movem
mover,to move,移动,yí dòng,mover
moverse,move,移动,yí dòng,mover
movimiento,movement,运动,yùn dòng,movimento
trasladar,to move,转移,zhuǎn yí,transferir
yo muevo,I move,我移动,wǒ dòng le,Eu me movo
lo muevo,I move it,我移动它,wǒ yí dòng tā,Eu movo
tú mueves,you move,你移动,nǐ dòng le,você se move
lo mueves,you move it,你移动它,nǐ yí dòng tā,você move
él mueve,he moves,他移动,tā dòng le,ele se move
lo mueve,he/she moves it,移动它,yí dòng tā,move
nosotros movemos,we move,我们移动,wǒ men bān jiā,nos movemos
lo movemos,we move it,我们移动它,wǒ men yí dòng tā,nós movemos
vosotros movéis,you move,你移动,nǐ dòng le,você se move
lo movéis,you move it,你移动它,nǐ yí dòng tā,você move
ellos mueven,they move,他们移动,tā men yí dòng,eles se movem
lo mueven,they move it,他们移动它,tā men yí dòng tā,eles mexem
quiero mover,I want to move,我想移动,wǒ xiǎng bān jiā,Eu quero me mudar
voy a mover,I'm going to move,我要移动,wǒ yào bān jiā,Eu vou me mudar
hay que moverse,you have to move,你必须移动,nǐ bì xū yí dòng,você tem que se mudar
sin moverse,without moving,不动,bù dòng,sem se mover
el movimiento,the movement,运动,yùn dòng,o movimento
un movimiento,a movement,一个运动,yí gè yùn dòng,um movimento
hay que trasladar,you have to move,必须转移,bì xū zhuǎn yí,deve ser transferido
voy a trasladar,I'm going to transfer,我要转接,wǒ yào zhuǎn jiē,vou transferir
