spanish,english,chinese,pinyin,portuguese
bajo,low,低,dī,baixo
bajas,lows,低点,dī diǎn,mínimos
baja,low,低,dī,baixo
bajamos,we go down,我们下去,wǒ men xià qù,nós descemos
bajáis,you go down,你下去,nǐ xià qù,você desce
bajan,go down,下去,xià qù,descer
bajar,go down,下去,xià qù,descer
bajada,descent,血统,xuè tǒng,descida
descenso,descent,血统,xuè tǒng,descida
yo bajo,I go down,我下去,wǒ xià qù,Eu desço
lo bajo,low,低,dī,baixo
tú bajas,you go down,你下去,nǐ xià qù,você desce
lo bajas,you lower it,你降低它,nǐ jiàng dī tā,você abaixa
él baja,he goes down,他下去了,tā xià qù le,ele desce
lo baja,lowers it,降低它,jiàng dī tā,abaixa
nosotros bajamos,we go down,我们下去,wǒ men xià qù,nós descemos
lo bajamos,we lower it,我们降低它,wǒ men jiàng dī tā,abaixamos
vosotros bajáis,you go down,你下去,nǐ xià qù,você desce
lo bajáis,you lower it,你降低它,nǐ jiàng dī tā,você abaixa
ellos bajan,they go down,他们下去,tā men xià qù,eles descem
lo bajan,they lower it,他们降低了它,tā men jiàng dī le tā,eles abaixam
quiero bajar,I want to go down,我想下去,wǒ xiǎng xià qù,Eu quero descer
voy a bajar,I'm going down,我要下去,wǒ yào xià qù,Eu vou descer
la bajada,the descent,血统,xuè tǒng,a descida
una bajada,a drop,一滴,yī dī,uma gota
el descenso,the descent,血统,xuè tǒng,a descida
en descenso,in decline,衰退中,shuāi tuì zhōng,em declínio
