spanish,english,chinese,pinyin,portuguese
envejezco,I grow old,我老了,wǒ lǎo le,Eu envelheço
envejeces,you get old,你变老了,nǐ biàn lǎo le,você envelhece
envejece,gets old,变老,biàn lǎo,envelhece
envejecemos,we grow old,我们变老,wǒ men biàn lǎo,envelhecemos
envejecéis,you grow old,你变老了,nǐ biàn lǎo le,você envelhece
envejecen,grow old,变老,biàn lǎo,envelhecer
envejecer,grow old,变老,biàn lǎo,envelhecer
envejecimiento,aging,老化,lǎo huà,envelhecimento
vejez,old age,老年,lǎo nián,velhice
anciano,old man,老头,lǎo tóu,velho
yo envejezco,I grow old,我老了,wǒ lǎo le,Eu envelheço
ya envejezco,I'm getting old,我已经老了,wǒ yǐ jīng lǎo le,Estou ficando velho
tú envejeces,you grow old,你变老了,nǐ biàn lǎo le,você envelhece
ya envejeces,you're getting old,你老了,nǐ lǎo le,você está ficando velho
él envejece,he grows old,他变老了,tā biàn lǎo le,ele envelhece
ya envejece,it's getting old,它变老了,tā biàn lǎo le,está ficando velho
nosotros envejecemos,we grow old,我们变老,wǒ men biàn lǎo,envelhecemos
ya envejecemos,we are already old,我们已经老了,wǒ men yǐ jīng lǎo le,já estamos velhos
vosotros envejecéis,you grow old,你变老了,nǐ biàn lǎo le,você envelhece
ya envejecéis,you are getting old,你老了,nǐ lǎo le,você está ficando velho
ellos envejecen,they grow old,他们变老了,tā men biàn lǎo le,eles envelhecem
ya envejecen,they are already old,他们已经老了,tā men yǐ jīng lǎo le,eles já estão velhos
voy a envejecer,I'm going to grow old,我要变老了,wǒ yào biàn lǎo le,Vou envelhecer
no quiero envejecer,I don't want to grow old,我不想变老,wǒ bù xiǎng biàn lǎo,Eu não quero envelhecer
el envejecimiento,aging,老化,lǎo huà,envelhecimento
un envejecimiento,an aging,老化,lǎo huà,um envelhecimento
la vejez,old age,老年,lǎo nián,velhice
en la vejez,in old age,年老时,nián lǎo shí,na velhice
el anciano,the old man,老头,lǎo tóu,o velho
un anciano,an old man,一个老人,yí gè lǎo rén,um velho
