spanish,english,chinese,pinyin,portuguese
desayuno,breakfast,早餐,zǎo cān,café da manhã
almuerzo,lunch,午餐,wǔ cān,almoço
cena,dinner,晚餐,wǎn cān,jantar
sopa,soup,汤,tāng,sopa
bocadillo,sandwich,三明治,sān míng zhì,sanduíche
sándwich,sandwich,三明治,sān míng zhì,sanduíche
hamburguesa,hamburger,汉堡,hàn bǎo,hambúrguer
pizza,pizza,披萨,pī sà,pizza
papas,potatoes,土豆,tǔ dòu,batatas
helado,ice cream,冰淇淋,bīng qí lín,sorvete
pastel,cake,蛋糕,dàn gāo,bolo
torta,cake,蛋糕,dàn gāo,torta
chocolate,chocolate,巧克力,qiǎo kè lì,chocolate
azúcar,sugar,糖,táng,açúcar
sal,salt,盐,yán,sal
pimienta,pepper,胡椒,hú jiāo,pimenta
aceite,oil,油,yóu,óleo
vinagre,vinegar,醋,cù,vinagre
mantequilla,butter,黄油,huáng yóu,manteiga
jamón,ham,火腿,huǒ tuǐ,presunto
el desayuno,the breakfast,早餐,zǎo cān,o café da manhã
para el desayuno,for breakfast,作为早餐,zuò wéi zǎo cān,para o café da manhã
el almuerzo,the lunch,午餐,wǔ cān,o almoço
para el almuerzo,for lunch,作为午餐,zuò wéi wǔ cān,para o almoço
la cena,the dinner,晚餐,wǎn cān,o jantar
para la cena,for dinner,作为晚餐,zuò wéi wǎn cān,para o jantar
la sopa,the soup,这碗汤,zhè wǎn tāng,a sopa
una sopa,a soup,一碗汤,yì wǎn tāng,uma sopa
un bocadillo,a sandwich,一个三明治,yí gè sān míng zhì,um sanduíche
el bocadillo,the sandwich,这个三明治,zhè ge sān míng zhì,o sanduíche
un sándwich,a sandwich,一个三明治,yí gè sān míng zhì,um sanduíche
el sándwich,the sandwich,这个三明治,zhè ge sān míng zhì,o sanduíche
una hamburguesa,a hamburger,一个汉堡,yí gè hàn bǎo,um hambúrguer
la hamburguesa,the hamburger,这个汉堡,zhè ge hàn bǎo,o hambúrguer
una pizza,a pizza,一个披萨,yí gè pī sà,uma pizza
la pizza,the pizza,这个披萨,zhè ge pī sà,a pizza
las papas,the potatoes,这些土豆,zhè xiē tǔ dòu,as batatas
papas fritas,french fries,薯条,shǔ tiáo,batatas fritas
un helado,an ice cream,一个冰淇淋,yí gè bīng qí lín,um sorvete
el helado,the ice cream,这个冰淇淋,zhè ge bīng qí lín,o sorvete
un pastel,a cake,一个蛋糕,yí gè dàn gāo,um bolo
el pastel,the cake,这个蛋糕,zhè ge dàn gāo,o bolo
una torta,a cake,一个蛋糕,yí gè dàn gāo,uma torta
la torta,the cake,这个蛋糕,zhè ge dàn gāo,a torta
el chocolate,the chocolate,这个巧克力,zhè ge qiǎo kè lì,o chocolate
con chocolate,with chocolate,加巧克力,jiā qiǎo kè lì,com chocolate
el azúcar,the sugar,这些糖,zhè xiē táng,o açúcar
con azúcar,with sugar,加糖,jiā táng,com açúcar
la sal,the salt,这些盐,zhè xiē yán,o sal
con sal,with salt,加盐,jiā yán,com sal
la pimienta,the pepper,这些胡椒,zhè xiē hú jiāo,a pimenta
con pimienta,with pepper,加胡椒,jiā hú jiāo,com pimenta
el aceite,the oil,这些油,zhè xiē yóu,o óleo
con aceite,with oil,加油,jiā yóu,com óleo
el vinagre,the vinegar,这些醋,zhè xiē cù,o vinagre
con vinagre,with vinegar,加醋,jiā cù,com vinagre
la mantequilla,the butter,这些黄油,zhè xiē huáng yóu,a manteiga
con mantequilla,with butter,加黄油,jiā huáng yóu,com manteiga
el jamón,the ham,这些火腿,zhè xiē huǒ tuǐ,o presunto
con jamón,with ham,加火腿,jiā huǒ tuǐ,com presunto
