spanish,english,chinese,pinyin,portuguese
demuestro,I demonstrate,我演示,wǒ yǎn shì,Eu demonstro
demuestras,you demonstrate,你展示,nǐ zhǎn shì,você demonstra
demuestra,proves,证明,zhèng míng,prova
demostramos,we prove,我们证明,wǒ men zhèng míng,nós provamos
demostráis,you demonstrate,你展示,nǐ zhǎn shì,você demonstra
demuestran,demonstrate,演示,yǎn shì,demonstrar
demostrar,demonstrate,演示,yǎn shì,demonstrar
demostración,demonstration,示范,shì fàn,demonstração
evidenciar,evidence,证据,zhèng jù,evidências
verificar,verify,验证,yàn zhèng,verificar
yo demuestro,I demonstrate,我演示,wǒ yǎn shì,Eu demonstro
lo demuestro,I prove it,我证明了,wǒ zhèng míng liǎo,Eu provo isso
tú demuestras,you demonstrate,你展示,nǐ zhǎn shì,você demonstra
lo demuestras,you prove it,你证明了这一点,nǐ zhèng míng liǎo zhè yì diǎn,você prova isso
él demuestra,he demonstrates,他展示了,tā zhǎn shì le,ele demonstra
lo demuestra,proves it,证明了这一点,zhèng míng liǎo zhè yì diǎn,prova isso
nosotros demostramos,we demonstrate,我们展示,wǒ men zhǎn shì,demonstramos
lo demostramos,we prove it,我们证明了这一点,wǒ men zhèng míng liǎo zhè yì diǎn,nós provamos isso
vosotros demostráis,you demonstrate,你展示,nǐ zhǎn shì,você demonstra
lo demostráis,you prove it,你证明了这一点,nǐ zhèng míng liǎo zhè yì diǎn,você prova isso
ellos demuestran,they demonstrate,他们展示,tā men zhǎn shì,eles demonstram
lo demuestran,they prove it,他们证明了这一点,tā men zhèng míng liǎo zhè yì diǎn,eles provam isso
quiero demostrar,I want to demonstrate,我想展示,wǒ xiǎng zhǎn shì,Quero demonstrar
voy a demostrar,I will demonstrate,我将演示,wǒ jiāng yǎn shì,Vou demonstrar
la demostración,the demonstration,示范,shì fàn,a manifestação
una demostración,a demonstration,示范,shì fàn,uma demonstração
hay que evidenciar,must be evidenced,必须有证据,bì xū yǒu zhèng jù,deve ser evidenciado
voy a evidenciar,I'm going to show,我要展示,wǒ yào zhǎn shì,Vou mostrar
hay que verificar,must be verified,必须验证,bì xū yàn zhèng,deve ser verificado
voy a verificar,I'm going to check,我去检查一下,wǒ qù jiǎn chá yī xià,vou verificar
