spanish,english,chinese,pinyin,portuguese
familia,family,家庭,jiā tíng,família
padre,father,父亲,fù qīn,pai
madre,mother,母亲,mǔ qīn,mãe
hijo,son,儿子,ér zi,filho
hija,daughter,女儿,nǚ ér,filha
hermano,brother,兄弟,xiōng dì,irmão
hermana,sister,姐妹,jiě mèi,irmã
abuelo,grandfather,祖父,zǔ fù,avô
abuela,grandmother,祖母,zǔ mǔ,avó
tío,uncle,叔叔,shū shū,tio
tía,aunt,阿姨,ā yí,tia
primo,cousin,表兄弟,biǎo xiōng dì,primo
prima,cousin,表姐妹,biǎo jiě mèi,prima
esposo,husband,丈夫,zhàng fū,marido
esposa,wife,妻子,qī zǐ,esposa
mi familia,my family,我的家人,wǒ de jiā rén,minha família
la familia,the family,家人,jiā rén,a família
mi padre,my father,我的父亲,wǒ de fù qīn,meu pai
su padre,his father,他的父亲,tā de fù qīn,o pai dele
mi madre,my mother,我的母亲,wǒ de mǔ qīn,minha mãe
su madre,his mother,他的母亲,tā de mǔ qīn,a mãe dele
mi hijo,my son,我的儿子,wǒ de ér zi,meu filho
su hijo,his son,他的儿子,tā de ér zi,seu filho
mi hija,my daughter,我的女儿,wǒ de nǚ ér,minha filha
su hija,his daughter,他的女儿,tā de nǚ ér,sua filha
mi hermano,my brother,我的兄弟,wǒ de xiōng dì,meu irmão
su hermano,his brother,他的兄弟,tā de xiōng dì,seu irmão
mi hermana,my sister,我的姐妹,wǒ de jiě mèi,minha irmã
su hermana,his sister,他的妹妹,tā de mèi mèi,a irmã dele
mi abuelo,my grandfather,我的祖父,wǒ de zǔ fù,meu avô
su abuelo,his grandfather,他的祖父,tā de zǔ fù,seu avô
mi abuela,my grandmother,我的祖母,wǒ de zǔ mǔ,minha avó
su abuela,his grandmother,他的祖母,tā de zǔ mǔ,a avó dele
mi tío,my uncle,我叔叔,wǒ shū shū,meu tio
su tío,his uncle,他叔叔,tā shū shū,o tio dele
mi tía,my aunt,我的阿姨,wǒ de ā yí,minha tia
su tía,his aunt,他的阿姨,tā de ā yí,a tia dele
mi primo,my cousin,我的表弟,wǒ de biǎo dì,meu primo
su primo,his cousin,他的表弟,tā de biǎo dì,o primo dele
mi prima,my cousin,我的表妹,wǒ de biǎo mèi,minha prima
su prima,her cousin,她的表妹,tā de biǎo mèi,a prima dela
mi esposo,my husband,我的丈夫,wǒ de zhàng fū,meu marido
su esposo,her husband,她的丈夫,tā de zhàng fū,o marido dela
mi esposa,my wife,我的妻子,wǒ de qī zǐ,minha esposa
su esposa,his wife,他的妻子,tā de qī zǐ,sua esposa
