spanish,english,chinese,pinyin,portuguese
convenzo,I convince,我说服,wǒ shuō fú,Eu convenço
convences,you convince,你说服,nǐ shuō fú,você convence
convence,convinces,说服,shuō fú,convence
convencemos,we convince,我们说服,wǒ men shuō fú,nós convencemos
convencéis,you convince,你说服,nǐ shuō fú,você convence
convencen,convince,说服,shuō fú,convencer
convencer,convince,说服,shuō fú,convencer
convencido,convinced,确信,què xìn,convencido
persuadir,persuade,说服,shuō fú,persuadir
convicción,conviction,信念,xìn niàn,convicção
yo convenzo,I convince,我说服,wǒ shuō fú,Eu convenço
te convenzo,I convince you,我说服你,wǒ shuō fú nǐ,Eu te convenço
tú convences,you convince,你说服,nǐ shuō fú,você convence
me convences,you convince me,你说服了我,nǐ shuō fú le wǒ,você me convence
él convence,he convinces,他说服了,tā shuō fú le,ele convence
me convence,convinces me,说服我,shuō fú wǒ,me convence
nosotros convencemos,we convince,我们说服,wǒ men shuō fú,nós convencemos
los convencemos,we convince them,我们说服他们,wǒ men shuō fú tā men,nós os convencemos
vosotros convencéis,you convince,你说服,nǐ shuō fú,você convence
me convencéis,you convince me,你说服了我,nǐ shuō fú le wǒ,você me convence
ellos convencen,they convince,他们说服,tā men shuō fú,eles convencem
me convencen,they convince me,他们说服了我,tā men shuō fú le wǒ,eles me convencem
quiero convencer,I want to convince,我想说服,wǒ xiǎng shuō fú,Quero convencer
voy a convencer,I will convince,我会说服,wǒ huì shuō fú,Vou convencer
estoy convencido,I am convinced,我坚信,wǒ jiān xìn,Estou convencido
muy convencido,very convinced,非常确信,fēi cháng què xìn,muito convencido
hay que persuadir,you have to persuade,你必须说服,nǐ bì xū shuō fú,você tem que persuadir
voy a persuadir,I will persuade,我会说服,wǒ huì shuō fú,Vou persuadir
la convicción,the conviction,信念,xìn niàn,a convicção
con convicción,with conviction,坚信,jiān xìn,com convicção
