spanish,english,chinese,pinyin,portuguese
abro,I open,我打开,wǒ dǎ kāi,Eu abro
abres,you open,你打开,nǐ dǎ kāi,você abre
abre,open,打开,dǎ kāi,abrir
abrimos,we open,我们打开,wǒ men dǎ kāi,abrimos
abrís,open,打开,dǎ kāi,abrir
abren,open,打开,dǎ kāi,abrir
abrir,open,打开,dǎ kāi,abrir
apertura,opening,开幕,kāi mù,abertura
abridor,opener,开场白,kāi chǎng bái,abridor
destapar,uncover,揭开,jiē kāi,descobrir
yo abro,I open,我打开,wǒ dǎ kāi,Eu abro
lo abro,I open it,我打开它,wǒ dǎ kāi tā,Eu abro
tú abres,you open,你打开,nǐ dǎ kāi,você abre
lo abres,you open it,你打开它,nǐ dǎ kāi tā,você abre
él abre,he opens,他打开,tā dǎ kāi,ele abre
lo abre,opens it,打开它,dǎ kāi tā,abre
nosotros abrimos,we open,我们打开,wǒ men dǎ kāi,abrimos
lo abrimos,we open it,我们打开它,wǒ men dǎ kāi tā,nós abrimos
vosotros abrís,you open,你打开,nǐ dǎ kāi,você abre
lo abrís,you open it,你打开它,nǐ dǎ kāi tā,você abre
ellos abren,they open,他们打开,tā men dǎ kāi,eles abrem
lo abren,they open it,他们打开它,tā men dǎ kāi tā,eles abrem
quiero abrir,I want to open,我要打开,wǒ yào dǎ kāi,Quero abrir
voy a abrir,I'm going to open,我要打开,wǒ yào dǎ kāi,Vou abrir
la apertura,the opening,开幕,kāi mù,a abertura
hora de apertura,opening time,开放时间,kāi fàng shí jiān,horário de abertura
el abridor,the opener,揭幕战,jiē mù zhàn,o abridor
un abridor,an opener,开场白,kāi chǎng bái,um abridor
hay que destapar,must be uncovered,必须揭开,bì xū jiē kāi,deve ser descoberto
voy a destapar,I'm going to uncover,我要揭开,wǒ yào jiē kāi,eu vou descobrir
