spanish,english,chinese,pinyin,portuguese
fabricación,manufacturing,制造,zhì zào,fabricação
fábrica,factory,工厂,gōng chǎng,fábrica
línea,line,线,xiàn,linha
procesos,processes,工序,gōng xù,processos
proceso,process,工序,gōng xù,processo
calidad,quality,质量,zhì liàng,qualidade
defecto,defect,缺陷,quē xiàn,defeito
estándar,standard,标准,biāo zhǔn,padrão
eficiencia,efficiency,效率,xiào lǜ,eficiência
optimizar,optimize,优化,yōu huà,otimizar
industria,industry,行业,háng yè,indústria
ensamblaje,assembly,装配,zhuāng pèi,montagem
montaje,assembly,装配,zhuāng pèi,montagem
componente,component,组件,zǔ jiàn,componente
pieza,piece,零件,líng jiàn,peça
repuesto,spare part,备用,bèi yòng,sobressalente
inventario,inventory,库存,kù cún,inventário
almacenamiento,storage,存储,cún chǔ,armazenamento
la fabricación,manufacturing,制造,zhì zào,fabricação
en fabricación,in manufacturing,在制造业,zài zhì zào yè,na fabricação
la fábrica,the factory,工厂,gōng chǎng,a fábrica
una fábrica,a factory,一家工厂,yī jiā gōng chǎng,uma fábrica
la línea,the line,线,xiàn,a linha
una línea,one line,一行,yī xíng,uma linha
los procesos,the processes,工序,gōng xù,os processos
sin procesos,without processes,没有工序,méi yǒu gōng xù,sem processos
el proceso,the process,过程,guò chéng,o processo
un proceso,a process,一道工序,yī dào gōng xù,um processo
la calidad,the quality,质量,zhì liàng,a qualidade
con calidad,with quality,质量,zhì liàng,com qualidade
el defecto,the defect,缺陷,quē xiàn,o defeito
un defecto,a defect,缺陷,quē xiàn,um defeito
el estándar,the standard,标准,biāo zhǔn,o padrão
un estándar,a standard,标准,biāo zhǔn,um padrão
la eficiencia,efficiency,效率,xiào lǜ,eficiência
con eficiencia,efficiently,高效,gāo xiào,eficientemente
hay que optimizar,you have to optimize,你必须优化,nǐ bì xū yōu huà,você tem que otimizar
voy a optimizar,I'm going to optimize,我要优化,wǒ yào yōu huà,Vou otimizar
la industria,the industry,行业,háng yè,a indústria
una industria,an industry,一个行业,yí gè háng yè,uma indústria
el ensamblaje,the assembly,装配,zhuāng pèi,a montagem
de ensamblaje,assembly,装配,zhuāng pèi,montagem
el montaje,the assembly,装配,zhuāng pèi,a montagem
de montaje,mounting,安装,ān zhuāng,montagem
el componente,the component,组件,zǔ jiàn,o componente
un componente,a component,一个组件,yí gè zǔ jiàn,um componente
la pieza,the piece,这个零件,zhè gè líng jiàn,a peça
una pieza,one piece,一件,yī jiàn,uma peça
el repuesto,the spare part,备用,bèi yòng,o sobressalente
un repuesto,a spare part,备用,bèi yòng,um sobressalente
el inventario,the inventory,库存,kù cún,o inventário
en inventario,in inventory,库存中,kù cún zhōng,em estoque
el almacenamiento,storage,存储,cún chǔ,armazenamento
en almacenamiento,in storage,储存中,chǔ cún zhōng,em armazenamento
