spanish,english,chinese,pinyin,portuguese
tuviera,had,有,yǒu,tinha
pudiera,could,可以,kě yǐ,poderia
fuera,out,出,chū,fora
estuviera,was,是,shì,foi
hubiera,would have,会有,huì yǒu,teria
hiciera,did,做了,zuò le,fez
dijera,say,说,shuō,diga
viniera,would come,会来,huì lái,viria
supiera,knew,知道,zhī dào,sabia
diera,give,给,gěi,dar
viera,saw,看到,kàn dào,vi
pensara,would think,会认为,huì rèn wéi,pensaria
hablara,will speak,会说话,huì shuō huà,falará
comiera,eat,吃,chī,comer
viviera,would live,会住,huì zhù,viveria
trabajara,will work,会工作,huì gōng zuò,vai funcionar
estudiara,will study,将学习,jiāng xué xí,vou estudar
necesitara,would need,需要,xū yào,precisaria
esperara,will wait,会等待,huì děng dài,vou esperar
quisiera,I would like,我想要,wǒ xiǎng yào,Eu gostaria
si tuviera,if I had,如果我有,rú guǒ wǒ yǒu,se eu tivesse
ojalá tuviera,I wish I had,我希望我有,wǒ xī wàng wǒ yǒu,Eu gostaria de ter
si pudiera,if I could,如果我可以,rú guǒ wǒ kě yǐ,se eu pudesse
ojalá pudiera,I wish I could,我希望我可以,wǒ xī wàng wǒ kě yǐ,Eu gostaria de poder
si fuera,if it were,如果是,rú guǒ shì,se fosse
ojalá fuera,I wish it were,我希望是,wǒ xī wàng shì,Eu queria que fosse
si estuviera,if I were,如果我是,rú guǒ wǒ shì,se eu fosse
ojalá estuviera,I wish I was,我希望我是,wǒ xī wàng wǒ shì,Eu queria estar
si hubiera,if there was,如果有,rú guǒ yǒu,se houvesse
ojalá hubiera,I wish I had,我希望我有,wǒ xī wàng wǒ yǒu,Eu gostaria de ter
si hiciera,if I did,如果我这样做,rú guǒ wǒ zhè yàng zuò,se eu fizesse
ojalá hiciera,I wish I did,我希望我这么做了,wǒ xī wàng wǒ zhè me zuò le,Eu gostaria de ter
si dijera,if I said,如果我说,rú guǒ wǒ shuō,se eu dissesse
ojalá dijera,I wish I said,我希望我说,wǒ xī wàng wǒ shuō,Eu gostaria de ter dito
si viniera,if it came,如果它来了,rú guǒ tā lái le,se veio
ojalá viniera,I wish I would come,我希望我能来,wǒ xī wàng wǒ néng lái,Eu gostaria de ir
si supiera,if I knew,如果我知道,rú guǒ wǒ zhī dào,se eu soubesse
ojalá supiera,I wish I knew,我希望我知道,wǒ xī wàng wǒ zhī dào,Eu gostaria de saber
si diera,if it gave,如果它给了,rú guǒ tā gěi le,se desse
ojalá diera,I wish I gave,我希望我给予,wǒ xī wàng wǒ jǐ yǔ,Eu queria ter dado
si viera,if I saw,如果我看到,rú guǒ wǒ kàn dào,se eu visse
ojalá viera,I wish I could see,我希望我能看到,wǒ xī wàng wǒ néng kàn dào,Eu gostaria de poder ver
si pensara,if I thought,如果我想,rú guǒ wǒ xiǎng,se eu pensasse
ojalá pensara,I wish I thought,我希望我以为,wǒ xī wàng wǒ yǐ wéi,Eu gostaria de ter pensado
si hablara,if he spoke,如果他说话,rú guǒ tā shuō huà,se ele falasse
ojalá hablara,I wish I spoke,我希望我能说话,wǒ xī wàng wǒ néng shuō huà,Eu queria ter falado
si comiera,if I ate,如果我吃了,rú guǒ wǒ chī le,se eu comesse
ojalá comiera,I wish I ate,我希望我吃了,wǒ xī wàng wǒ chī le,Eu queria comer
si viviera,if he lived,如果他还活着,rú guǒ tā hái huó zhe,se ele vivesse
ojalá viviera,I wish I lived,我希望我还活着,wǒ xī wàng wǒ hái huó zhe,Eu queria viver
si trabajara,if I worked,如果我工作,rú guǒ wǒ gōng zuò,se eu trabalhasse
ojalá trabajara,I wish I worked,我希望我能工作,wǒ xī wàng wǒ néng gōng zuò,Eu queria trabalhar
si estudiara,if I studied,如果我学习,rú guǒ wǒ xué xí,se eu estudasse
ojalá estudiara,I wish I studied,我希望我学习了,wǒ xī wàng wǒ xué xí le,Eu gostaria de estudar
si necesitara,if I needed,如果我需要,rú guǒ wǒ xū yào,se eu precisasse
ojalá necesitara,I wish I needed,我希望我需要,wǒ xī wàng wǒ xū yào,Eu queria precisar
si esperara,if I waited,如果我等待,rú guǒ wǒ děng dài,se eu esperasse
ojalá esperara,I wish I would wait,我希望我会等待,wǒ xī wàng wǒ huì děng dài,Eu gostaria de esperar
si quisiera,if I wanted,如果我想要,rú guǒ wǒ xiǎng yào,se eu quisesse
ojalá quisiera,I wish I would,我希望我会,wǒ xī wàng wǒ huì,Eu gostaria de poder
