spanish,english,chinese,pinyin,portuguese
combino,I combine,我结合,wǒ jié hé,Eu combino
combinas,you combine,你结合,nǐ jié hé,você combina
combina,combine,结合,jié hé,combinar
combinamos,we combine,我们结合,wǒ men jié hé,combinamos
combináis,you combine,你结合,nǐ jié hé,você combina
combinan,combine,结合,jié hé,combinar
combinar,combine,结合,jié hé,combinar
combinación,combination,组合,zǔ hé,combinação
mezcla,mix,混合,hùn hé,misturar
fusión,fusion,融合,róng hé,fusão
yo combino,I combine,我结合,wǒ jié hé,Eu combino
lo combino,I combine it,我把它结合起来,wǒ bǎ tā jié hé qǐ lái,Eu combino
tú combinas,you combine,你结合,nǐ jié hé,você combina
lo combinas,you combine it,你把它结合起来,nǐ bǎ tā jié hé qǐ lái,você combina
él combina,he combines,他结合了,tā jié hé le,ele combina
lo combina,combines it,结合它,jié hé tā,combina
nosotros combinamos,we combine,我们结合,wǒ men jié hé,combinamos
lo combinamos,we combine it,我们把它结合起来,wǒ men bǎ tā jié hé qǐ lái,nós combinamos
vosotros combináis,you combine,你结合,nǐ jié hé,você combina
lo combináis,you combine it,你把它结合起来,nǐ bǎ tā jié hé qǐ lái,você combina
ellos combinan,they combine,他们结合,tā men jié hé,eles combinam
lo combinan,they combine it,他们把它结合起来,tā men bǎ tā jié hé qǐ lái,eles combinam
quiero combinar,I want to combine,我想结合,wǒ xiǎng jié hé,Quero combinar
voy a combinar,I'm going to combine,我要结合,wǒ yào jié hé,Vou combinar
la combinación,the combination,组合,zǔ hé,a combinação
una combinación,a combination,组合,zǔ hé,uma combinação
la mezcla,the mix,混合,hùn hé,a mistura
una mezcla,a mixture,混合物,hùn hé wù,uma mistura
la fusión,the fusion,融合,róng hé,a fusão
una fusión,a fusion,融合,róng hé,uma fusão
