spanish,english,chinese,pinyin,portuguese
ofrezco,I offer,我提供,wǒ tí gōng,Eu ofereço
ofreces,you offer,你提供,nǐ tí gōng,você oferece
ofrece,he/she offers,提供,yōu huì,ofertas
ofrecemos,we offer,我们提供,wǒ men tí gōng,oferecemos
ofrecéis,you offer,你提供,nǐ tí gōng,você oferece
ofrecen,they offer,提供,bào jià,oferta
ofrecer,to offer,提供,bào jià,oferta
ofrecimiento,offer,提议,bào jià,oferta
proponer,to propose,建议,jiàn yì,propor
propuesta,proposal,提案,tí àn,proposta
yo ofrezco,I offer,我提供,wǒ tí gōng,Eu ofereço
te ofrezco,I offer you,我向你提供,wǒ xiàng nǐ tí gōng,Eu te ofereço
tú ofreces,you offer,你提供,nǐ tí gōng,você oferece
me ofreces,you offer me,你给我,nǐ gěi wǒ,você me oferece
él ofrece,he offers,他提供,tā tí gōng,ele oferece
nos ofrece,offers us,为我们提供,wèi wǒ men tí gōng,nos oferece
nosotros ofrecemos,we offer,我们提供,wǒ men tí gōng,oferecemos
lo ofrecemos,we offer it,我们提供,wǒ men tí gōng,nós oferecemos
vosotros ofrecéis,you offer,你提供,nǐ tí gōng,você oferece
lo ofrecéis,you offer it,你提供它,nǐ tí gōng tā,você oferece
ellos ofrecen,they offer,他们提供,tā men tí gōng,eles oferecem
lo ofrecen,they offer it,他们提供它,tā men tí gōng tā,eles oferecem
quiero ofrecer,I want to offer,我想提供,wǒ xiǎng tí gōng,Quero oferecer
voy a ofrecer,I will offer,我将提供,wǒ jiāng tí gōng,Vou oferecer
el ofrecimiento,the offer,提议,bào jià,a oferta
un ofrecimiento,an offer,提议,bào jià,uma oferta
hay que proponer,you have to propose,必须建议,bì xū jiàn yì,deve ser proposto
voy a proponer,I'm going to propose,我要提议,wǒ yào tí yì,Vou propor
la propuesta,the proposal,该提案,gāi tí àn,a proposta
una propuesta,a proposal,一项提案,yī xiàng tí àn,uma proposta
