spanish,english,chinese,pinyin,portuguese
fui,I went,我去了,wǒ qù le,Eu fui
fuiste,you were,你是,nǐ shì,você estava
fue,was,是,shì,foi
fuimos,we went,我们去了,wǒ men qù le,nós fomos
fuisteis,you were,你是,nǐ shì,você estava
fueron,were,是,shì,foram
hice,I did,我做了,wǒ zuò le,Eu fiz
hiciste,did you,你有吗,nǐ yǒu ma,você
hizo,did,做了,zuò le,fez
hicimos,we did,我们做了,wǒ men zuò le,nós fizemos
hicisteis,you did,你做了,nǐ zuò le,você fez
hicieron,they did,他们做到了,tā men zuò dào le,eles fizeram
tuve,I had,我有,wǒ yǒu,Eu tive
tuviste,you had,你有,nǐ yǒu,você teve
tuvo,had,有,yǒu,tinha
tuvimos,we had,我们有,wǒ men yǒu,tivemos
tuvisteis,you had,你有,nǐ yǒu,você teve
tuvieron,they had,他们有,tā men yǒu,eles tinham
yo fui,I was,我是,wǒ shì,Eu estava
fui ayer,I went yesterday,我昨天去了,wǒ zuó tiān qù le,Fui ontem
tú fuiste,you were,你是,nǐ shì,você estava
fuiste ayer,you went yesterday,你昨天去了,nǐ zuó tiān qù le,você foi ontem
él fue,he was,他是,tā shì,ele estava
fue ayer,it was yesterday,这是昨天,zhè shì zuó tiān,foi ontem
nosotros fuimos,we were,我们是,wǒ men shì,nós estávamos
fuimos ayer,we went yesterday,我们昨天去了,wǒ men zuó tiān qù le,fomos ontem
vosotros fuisteis,you were,你是,nǐ shì,você estava
fuisteis ayer,you went yesterday,你昨天去了,nǐ zuó tiān qù le,você foi ontem
ellos fueron,they were,他们是,tā men shì,eles eram
fueron ayer,they were yesterday,他们是昨天,tā men shì zuó tiān,eles foram ontem
yo hice,I did,我做了,wǒ zuò le,Eu fiz
hice eso,I did that,我就是这么做的,wǒ jiù shì zhè me zuò de,Eu fiz isso
tú hiciste,you did,你做了,nǐ zuò le,você fez
hiciste eso,you did that,你做到了,nǐ zuò dào le,você fez isso
él hizo,he did,他做到了,tā zuò dào le,ele fez
hizo eso,did that,这样做了,zhè yàng zuò le,fiz isso
nosotros hicimos,we did,我们做了,wǒ men zuò le,nós fizemos
hicimos eso,we did that,我们做到了,wǒ men zuò dào le,nós fizemos isso
vosotros hicisteis,you did,你做了,nǐ zuò le,você fez
hicisteis eso,you did that,你做到了,nǐ zuò dào le,você fez isso
ellos hicieron,they did,他们做到了,tā men zuò dào le,eles fizeram
hicieron eso,they did that,他们这样做了,tā men zhè yàng zuò le,eles fizeram isso
yo tuve,I had,我有,wǒ yǒu,Eu tive
tuve que,I had to,我不得不,wǒ bù dé bù,Eu tive que
tú tuviste,you had,你有,nǐ yǒu,você teve
tuviste que,you had to,你必须,nǐ bì xū,você tinha que
él tuvo,he had,他有,tā yǒu,ele tinha
tuvo que,had to,不得不,bù dé bù,tive que
nosotros tuvimos,we had,我们有,wǒ men yǒu,tivemos
tuvimos que,we had to,我们必须,wǒ men bì xū,tivemos que
vosotros tuvisteis,you had,你有,nǐ yǒu,você teve
tuvisteis que,you had to,你必须,nǐ bì xū,você tinha que
ellos tuvieron,they had,他们有,tā men yǒu,eles tinham
tuvieron que,they had to,他们必须,tā men bì xū,eles tiveram que
