spanish,english,chinese,pinyin,portuguese
el,the,这,zhè,ele
la,the,这,zhè,a
los,the,这些,zhè xiē,os
las,the,这些,zhè xiē,o
un,a,一个,yí gè,um
una,a,一个,yí gè,um
unos,some,一些,yī xiē,alguns
unas,some,一些,yī xiē,umas
el hombre,the man,男人,nán rén,o homem
el día,the day,那天,nà tiān,o dia
la mujer,the woman,那个女人,nà ge nǚ rén,a mulher
la casa,the house,房子,fáng zi,a casa
los niños,the children,孩子们,hái zi men,as crianças
los días,the days,那些日子,nà xiē rì zi,os dias
las chicas,the girls,女孩们,nǚ hái men,as meninas
las noches,the nights,夜晚,yè wǎn,as noites
un momento,one moment,一会儿,yī huì er,Um momento
un poco,a bit,一点,yì diǎn,um pouco
una vez,once,一次,yī cì,uma vez
una cosa,one thing,一件事,yī jiàn shì,uma coisa
unos días,a few days,几天,jǐ tiān,alguns dias
unos amigos,some friends,一些朋友,yī xiē péng yǒu,alguns amigos
unas horas,a few hours,几个小时,jǐ gè xiǎo shí,algumas horas
unas amigas,some friends,一些朋友,yī xiē péng yǒu,alguns amigos
