spanish,english,chinese,pinyin,portuguese
realizo,I carry out,我做,wǒ zuò,Eu faço
realizas,you carry out,你做吗,nǐ zuò ma,você faz
realiza,carries out,执行,zhí xíng,executa
realizamos,we perform,我们执行,wǒ men zhí xíng,realizamos
realizáis,you perform,你执行,nǐ zhí xíng,você executa
realizan,perform,执行,zhí xíng,executar
realizar,perform,执行,zhí xíng,executar
realización,realization,实现,shí xiàn,realização
ejecución,execution,执行,zhí xíng,execução
desempeño,performance,性能,xìng néng,desempenho
yo realizo,I carry out,我执行,wǒ zhí xíng,Eu realizo
lo realizo,I carry it out,我做,wǒ zuò,Eu faço isso
tú realizas,you perform,你执行,nǐ zhí xíng,você executa
lo realizas,you carry it out,你做到了,nǐ zuò dào le,você faz isso
él realiza,he performs,他表演,tā biǎo yǎn,ele realiza
lo realiza,carries it out,执行它,zhí xíng tā,faz isso
nosotros realizamos,we perform,我们执行,wǒ men zhí xíng,realizamos
lo realizamos,we carry it out,我们做到了,wǒ men zuò dào le,nós fazemos isso
vosotros realizáis,you perform,你执行,nǐ zhí xíng,você executa
lo realizáis,you all carry it out,你做到了,nǐ zuò dào le,você faz isso
ellos realizan,they perform,他们执行,tā men zhí xíng,eles realizam
lo realizan,they carry it out,他们这样做,tā men zhè yàng zuò,eles fazem isso
quiero realizar,I want to perform,我要执行,wǒ yào zhí xíng,Eu quero realizar
voy a realizar,I will perform,我会执行,wǒ huì zhí xíng,Eu vou realizar
la realización,the realization,实现,shí xiàn,a realização
en realización,in progress,进行中,jìn xíng zhōng,em andamento
la ejecución,the execution,执行,zhí xíng,a execução
en ejecución,running,运行,yùn xíng,correndo
el desempeño,performance,性能,xìng néng,desempenho
buen desempeño,good performance,良好的表现,liáng hǎo de biǎo xiàn,bom desempenho
