spanish,english,chinese,pinyin,portuguese
cuento,story,故事,gù shì,história
cuentas,accounts,你数,nǐ shù,contas
cuenta,account,账目,zhàng mù,conta
contamos,we count,我们数,wǒ men shù,contamos
contáis,you count,你算,nǐ suàn,você conta
cuentan,count,计数,jì shù,contar
contar,count,计数,jì shù,contar
relato,story,故事,gù shì,história
narración,narration,叙述,xù shù,narração
chisme,gossip,八卦,bā guà,fofoca
yo cuento,I count,我数,wǒ shù,Eu conto
te cuento,I'll tell you,我告诉你,wǒ gào sù nǐ,Eu vou te contar
tú cuentas,you count,你算,nǐ suàn,você conta
me cuentas,tell me,告诉我,gào sù wǒ,me diga
él cuenta,he counts,他数,tā shù,ele conta
nos cuenta,tells us,告诉我们,gào sù wǒ men,nos conta
nosotros contamos,we count,我们数,wǒ men shù,contamos
lo contamos,we tell it,我们告诉它,wǒ men gào sù tā,nós contamos
vosotros contáis,you count,你算,nǐ suàn,você conta
lo contáis,you tell it,你告诉它,nǐ gào sù tā,você conta
ellos cuentan,they count,他们算,tā men suàn,eles contam
lo cuentan,they tell it,他们告诉它,tā men gào sù tā,eles contam
quiero contar,I want to tell,我想告诉,wǒ xiǎng gào sù,Eu quero contar
voy a contar,I'm going to tell,我要告诉,wǒ yào gào sù,Vou contar
el relato,the story,故事,gù shì,a história
un relato,a story,一个故事,yí gè gù shì,uma história
la narración,the narration,旁白,páng bái,a narração
una narración,a narrative,叙述,xù shù,uma narrativa
el chisme,the gossip,八卦,bā guà,a fofoca
un chisme,a gossip,八卦,bā guà,uma fofoca
