spanish,english,chinese,pinyin,portuguese
hablando,speaking,说话,shuō huà,falando
comiendo,eating,吃,chī,comendo
viviendo,living,生活,shēng huó,vivendo
haciendo,doing,做,zuò,fazendo
diciendo,saying,说,shuō,dizendo
poniendo,putting,把,bǎ,colocando
viniendo,coming,即将到来,jí jiāng dào lái,chegando
yendo,going,去,qù,indo
siendo,being,是,shì,sendo
teniendo,having,有,yǒu,tendo
pudiendo,being able,能够,néng gòu,sendo capaz
sabiendo,knowing,知道,zhī dào,sabendo
saliendo,leaving,离开,lí kāi,saindo
durmiendo,sleeping,睡觉,shuì jiào,dormindo
leyendo,reading,阅读,yuè dú,lendo
oyendo,hearing,听见,tīng jiàn,ouvindo
trayendo,bringing,带来,dài lái,trazendo
cayendo,falling,坠落,zhuì luò,caindo
estoy hablando,I'm talking,我在说话,wǒ zài shuō huà,Estou falando
sigo hablando,I keep talking,我继续说,wǒ jì xù shuō,Continuo falando
estoy comiendo,I'm eating,我正在吃饭,wǒ zhèng zài chī fàn,Estou comendo
sigo comiendo,I keep eating,我继续吃,wǒ jì xù chī,Continuo comendo
estoy viviendo,I'm living,我还活着,wǒ hái huó zhe,Estou vivendo
sigo viviendo,I'm still living,我还活着,wǒ hái huó zhe,Ainda estou vivendo
estoy haciendo,I'm doing,我在做,wǒ zài zuò,Estou fazendo
sigo haciendo,I keep doing,我继续做,wǒ jì xù zuò,Continuo fazendo
estoy diciendo,I'm saying,我是说,wǒ shì shuō,Estou dizendo
sigo diciendo,I keep saying,我一直说,wǒ yì zhí shuō,Eu continuo dizendo
estoy poniendo,I'm putting,我把,wǒ bǎ,Estou colocando
sigo poniendo,I keep putting,我一直把,wǒ yì zhí bǎ,Continuo colocando
estoy viniendo,I'm coming,我来了,wǒ lái le,Estou indo
sigo viniendo,I keep coming,我继续来,wǒ jì xù lái,Continuo vindo
estoy yendo,I'm going,我去,wǒ qù,Eu vou
sigo yendo,I keep going,我继续前进,wǒ jì xù qián jìn,Eu continuo
estoy siendo,I'm being,我正在,wǒ zhèng zài,Estou sendo
sigo siendo,I'm still,我还是,wǒ hái shì,Eu ainda estou
estoy teniendo,I'm having,我有,wǒ yǒu,Estou tendo
sigo teniendo,I still have,我还有,wǒ hái yǒu,Eu ainda tenho
estoy pudiendo,I am able,我能,wǒ néng,Eu sou capaz
sigo pudiendo,I still can,我还可以,wǒ hái kě yǐ,Ainda posso
estoy sabiendo,I'm knowing,我知道,wǒ zhī dào,Estou sabendo
sigo sabiendo,I still know,我还是知道,wǒ hái shì zhī dào,Eu ainda sei
estoy saliendo,I'm dating,我正在约会,wǒ zhèng zài yuē huì,Estou namorando
sigo saliendo,I'm still going out,我还是要出去,wǒ hái shì yào chū qù,Ainda vou sair
estoy durmiendo,I'm sleeping,我在睡觉,wǒ zài shuì jiào,Estou dormindo
sigo durmiendo,I'm still sleeping,我还在睡觉,wǒ hái zài shuì jiào,Ainda estou dormindo
estoy leyendo,I'm reading,我正在读,wǒ zhèng zài dú,Estou lendo
sigo leyendo,I keep reading,我继续读,wǒ jì xù dú,Continuo lendo
estoy oyendo,I'm hearing,我听到,wǒ tīng dào,Estou ouvindo
sigo oyendo,I keep hearing,我不断听到,wǒ bù duàn tīng dào,Continuo ouvindo
estoy trayendo,I'm bringing,我带来,wǒ dài lái,Estou trazendo
sigo trayendo,I keep bringing,我一直带着,wǒ yì zhí dài zhe,Continuo trazendo
estoy cayendo,I'm falling,我跌倒了,wǒ diē dǎo le,Estou caindo
sigo cayendo,I keep falling,我不断坠落,wǒ bù duàn zhuì luò,Eu continuo caindo
