spanish,english,chinese,pinyin,portuguese
llego,I arrive,到达,dào dá,Eu chego
llegas,you arrive,你到达,nǐ dào dá,você chega
llega,arrives,到达,dào dá,chega
llegamos,we arrived,我们到达,wǒ men dào dá,chegamos
llegáis,you arrive,你到达,nǐ dào dá,você chega
llegan,arrive,到达,dào dá,chegar
llegar,arrive,到达,dào dá,chegar
llegada,arrival,到达,dào dá,chegada
arribo,arrival,到达,dào dá,chegada
retrasado,delayed,延迟,yán chí,atrasado
yo llego,I arrive,我到达,wǒ dào dá,Eu chego
ya llego,I'm here,我在这里,wǒ zài zhè lǐ,Estou aqui
tú llegas,you arrive,你到达,nǐ dào dá,você chega
cuándo llegas,when do you arrive,你什么时候到达,nǐ shén me shí hòu dào dá,quando você chega
él llega,he arrives,他来了,tā lái le,ele chega
ya llega,it's coming,它来了,tā lái le,está chegando
nosotros llegamos,we arrived,我们到达,wǒ men dào dá,chegamos
ya llegamos,we're here,我们在这里,wǒ men zài zhè lǐ,estamos aqui
vosotros llegáis,you arrive,你到达,nǐ dào dá,você chega
cuándo llegáis,when do you arrive,你什么时候到达,nǐ shén me shí hòu dào dá,quando você chega
ellos llegan,they arrive,他们到达,tā men dào dá,eles chegam
ya llegan,they are coming,他们来了,tā men lái le,eles estão vindo
voy a llegar,I'm coming,我来了,wǒ lái le,Estou indo
acabo de llegar,I just arrived,我刚到,wǒ gāng dào,Acabei de chegar
la llegada,the arrival,到达,dào dá,a chegada
a la llegada,upon arrival,抵达后,dǐ dá hòu,na chegada
el arribo,the arrival,到达,dào dá,a chegada
tras el arribo,after arrival,抵达后,dǐ dá hòu,após a chegada
estoy retrasado,I'm late,我迟到了,wǒ chí dào le,Estou atrasado
va retrasado,is late,迟到了,chí dào le,está atrasado
