spanish,english,chinese,pinyin,portuguese
cero,zero,零,líng,zero
uno,one,一,yī,um
dos,two,二,èr,dois
tres,three,三,sān,três
cuatro,four,四,sì,quatro
cinco,five,五,wǔ,cinco
seis,six,六,liù,seis
siete,seven,七,qī,sete
ocho,eight,八,bā,oito
nueve,nine,九,jiǔ,nove
diez,ten,十,shí,dez
cero grados,zero degrees,零度,líng dù,zero graus
desde cero,from zero,从零开始,cóng líng kāi shǐ,desde zero
uno más,one more,再一个,zài yí gè,um mais
número uno,number one,第一名,dì yī míng,número um
dos veces,two times,两次,liǎng cì,duas vezes
los dos,both,两个都,liǎng gè dōu,os dois
tres días,three days,三天,sān tiān,três dias
los tres,all three,三个都,sān gè dōu,os três
cuatro años,four years,四年,sì nián,quatro anos
las cuatro,four o'clock,四点,sì diǎn,às quatro
cinco minutos,five minutes,五分钟,wǔ fēn zhōng,cinco minutos
los cinco,all five,五个都,wǔ gè dōu,os cinco
seis meses,six months,六个月,liù gè yuè,seis meses
las seis,six o'clock,六点,liù diǎn,às seis
siete días,seven days,七天,qī tiān,sete dias
los siete,all seven,七个都,qī gè dōu,os sete
ocho horas,eight hours,八小时,bā xiǎo shí,oito horas
las ocho,eight o'clock,八点,bā diǎn,às oito
nueve personas,nine people,九个人,jiǔ gè rén,nove pessoas
las nueve,nine o'clock,九点,jiǔ diǎn,às nove
diez euros,ten euros,十欧元,shí ōu yuán,dez euros
los diez,all ten,十个都,shí gè dōu,os dez
