spanish,english,chinese,pinyin,portuguese
amor,love,爱,ài,amor
odio,hate,讨厌,tǎo yàn,ódio
alegría,joy,喜悦,xǐ yuè,alegria
tristeza,sadness,悲伤,bēi shāng,tristeza
ira,anger,愤怒,fèn nù,raiva
sorpresa,surprise,惊喜,jīng xǐ,surpresa
asco,disgust,厌恶,yàn wù,nojo
vergüenza,shame,耻辱,chǐ rǔ,vergonha
orgullo,pride,骄傲,jiāo ào,orgulho
culpa,guilt,责怪,zé guài,culpa
desesperación,despair,绝望,jué wàng,desespero
soledad,loneliness,孤独,gū dú,solidão
estrés,stress,压力,yā lì,estresse
calma,calm,冷静,lěng jìng,calma
paz,peace,和平,hé píng,paz
emoción,emotion,情感,qíng gǎn,emoção
angustia,anguish,痛苦,tòng kǔ,angústia
júbilo,joy,喜悦,xǐ yuè,alegria
melancolía,melancholy,忧郁,yōu yù,melancolia
pánico,panic,恐慌,kǒng huāng,pânico
el amor,love,爱,ài,amor
con amor,with love,带着爱,dài zhe ài,com amor
el odio,hate,讨厌,tǎo yàn,ódio
sin odio,without hate,没有仇恨,méi yǒu chóu hèn,sem ódio
la alegría,the joy,喜悦,xǐ yuè,a alegria
con alegría,with joy,带着喜悦,dài zhe xǐ yuè,com alegria
la tristeza,sadness,悲伤,bēi shāng,tristeza
con tristeza,with sadness,带着悲伤,dài zhe bēi shāng,com tristeza
la ira,anger,愤怒,fèn nù,raiva
con ira,with anger,带着愤怒,dài zhe fèn nù,com raiva
la sorpresa,the surprise,惊喜,jīng xǐ,a surpresa
qué sorpresa,what a surprise,真是一个惊喜,zhēn shì yí gè jīng xǐ,que surpresa
el asco,disgust,厌恶,yàn wù,nojo
me da asco,it makes me sick,这让我恶心,zhè ràng wǒ ě xīn,isso me deixa doente
la vergüenza,shame,耻辱,chǐ rǔ,vergonha
qué vergüenza,what a shame,真丢脸,zhēn kě xī,que pena
el orgullo,pride,骄傲,jiāo ào,orgulho
con orgullo,with pride,自豪地,zì háo dì,com orgulho
la culpa,the guilt,责怪,zé guài,a culpa
sin culpa,without guilt,无可指责,wú kě zhǐ zé,inocente
la desesperación,despair,绝望,jué wàng,desespero
con desesperación,with desperation,带着绝望,dài zhe jué wàng,com desespero
la soledad,loneliness,孤独,gū dú,solidão
en soledad,in solitude,孤独中,gū dú zhōng,na solidão
el estrés,stress,压力,yā lì,estresse
mucho estrés,a lot of stress,压力很大,yā lì hěn dà,muito estresse
la calma,the calm,平静,píng jìng,a calma
con calma,calmly,平静地,píng jìng dì,calmamente
la paz,peace,和平,hé píng,paz
en paz,in peace,平静地,píng jìng dì,em paz
la emoción,the emotion,情感,qíng gǎn,a emoção
con emoción,with emotion,带着情感,dài zhe qíng gǎn,com emoção
la angustia,the anguish,痛苦,tòng kǔ,a angústia
con angustia,with anguish,带着痛苦,dài zhe tòng kǔ,com angústia
el júbilo,the joy,喜悦,xǐ yuè,a alegria
con júbilo,with joy,带着喜悦,dài zhe xǐ yuè,com alegria
la melancolía,melancholy,忧郁,yōu yù,melancolia
con melancolía,with melancholy,带着忧郁,dài zhe yōu yù,com melancolia
el pánico,panic,恐慌,kǒng huāng,pânico
con pánico,in panic,恐慌,kǒng huāng,em pânico
