spanish,english,chinese,pinyin,portuguese
recibo,receipt,收据,shōu jù,recibo
recibes,you receive,您收到,nín shōu dào,você recebe
recibe,receives,接收,jiē shōu,recebe
recibimos,we receive,我们收到,wǒ men shōu dào,recebemos
recibís,you receive,您收到,nín shōu dào,você recebe
reciben,receive,接收,jiē shōu,receber
recibir,receive,接收,jiē shōu,receber
recepción,reception,接待处,jiē dài chù,recepção
receptor,receiver,接收器,jiē shōu qì,receptor
obtener,get,得到,dé dào,obter
yo recibo,I receive,我收到,wǒ shōu dào,Eu recebo
lo recibo,I receive it,我收到了,wǒ shōu dào le,Eu recebo
tú recibes,you receive,您收到,nín shōu dào,você recebe
lo recibes,you receive it,你收到了,nǐ shōu dào le,você recebe
él recibe,he receives,他收到,tā shōu dào,ele recebe
lo recibe,receives it,收到,shōu dào,recebe
nosotros recibimos,we receive,我们收到,wǒ men shōu dào,recebemos
lo recibimos,we receive it,我们收到了,wǒ men shōu dào le,nós recebemos
vosotros recibís,you receive,您收到,nín shōu dào,você recebe
lo recibís,you receive it,你收到了,nǐ shōu dào le,você recebe
ellos reciben,they receive,他们收到,tā men shōu dào,eles recebem
lo reciben,they receive it,他们收到了,tā men shōu dào le,eles recebem
quiero recibir,I want to receive,我想收到,wǒ xiǎng shōu dào,Quero receber
voy a recibir,I will receive,我会收到,wǒ huì shōu dào,Eu receberei
la recepción,the reception,接待处,jiē dài chù,a recepção
en la recepción,at the reception,在接待处,zài jiē dài chù,na recepção
el receptor,the receiver,接收者,jiē shōu zhě,o receptor
un receptor,a receiver,接收器,jiē shōu qì,um receptor
hay que obtener,you have to get,你必须得到,nǐ bì xū dé dào,você tem que pegar
voy a obtener,I'm going to get,我会得到,wǒ huì dé dào,eu vou conseguir
