spanish,english,chinese,pinyin,portuguese
coche,car,车,chē,carro
autobús,bus,公共汽车,gōng gòng qì chē,ônibus
tren,train,火车,huǒ chē,trem
metro,metro,地铁,dì tiě,metrô
avión,plane,飞机,fēi jī,avião
bicicleta,bicycle,自行车,zì xíng chē,bicicleta
taxi,Taxi,出租车,chū zū chē,Táxi
barco,boat,船,chuán,enviar
moto,motorbike,摩托车,mó tuō chē,moto
caminar,walk,走,zǒu,andar
conducir,drive,驾驶,jià shǐ,dirigir
tranvía,tram,电车,diàn chē,eléctrico
ferry,ferry,渡船,dù chuán,balsa
helicóptero,helicopter,直升机,zhí shēng jī,helicóptero
patinete,scooter,小型摩托车,xiǎo xíng mó tuō chē,scooter
el coche,the car,汽车,qì chē,o carro
en coche,by car,开车,kāi chē,de carro
el autobús,the bus,公交车,gōng jiāo chē,o ônibus
en autobús,by bus,乘巴士,chéng bā shì,de ônibus
el tren,the train,火车,huǒ chē,o trem
en tren,by train,乘火车,chéng huǒ chē,de trem
el metro,the subway,地铁,dì tiě,o metrô
en metro,by subway,乘地铁,chéng dì tiě,de metrô
el avión,the plane,飞机,fēi jī,o avião
en avión,by air,乘飞机,chéng fēi jī,de avião
en bicicleta,on bicycle,骑自行车,qí zì xíng chē,de bicicleta
mi bicicleta,my bike,我的自行车,wǒ de zì xíng chē,minha bicicleta
en taxi,by taxi,乘出租车,chéng chū zū chē,de táxi
un taxi,a taxi,出租车,chū zū chē,um táxi
en barco,by boat,乘船,chéng chuán,de barco
el barco,the boat,船,chuán,o barco
en moto,on motorcycle,骑摩托车,qí mó tuō chē,na motocicleta
mi moto,my motorcycle,我的摩托车,wǒ de mó tuō chē,minha moto
voy a caminar,I'm going to walk,我要步行,wǒ yào bù xíng,eu vou caminhar
me gusta caminar,I like to walk,我喜欢散步,wǒ xǐ huān sàn bù,eu gosto de caminhar
voy a conducir,I'm going to drive,我要开车,wǒ yào kāi chē,eu vou dirigir
sé conducir,I know how to drive,我知道怎么开车,wǒ zhī dào zěn me kāi chē,Eu sei dirigir
el tranvía,the tram,电车,diàn chē,o bonde
en tranvía,by tram,乘电车,chéng diàn chē,de bonde
el ferry,the ferry,渡轮,dù lún,a balsa
en ferry,by ferry,乘渡轮,chéng dù lún,de balsa
el helicóptero,the helicopter,直升机,zhí shēng jī,o helicóptero
en helicóptero,by helicopter,乘坐直升机,chéng zuò zhí shēng jī,de helicóptero
el patinete,the scooter,滑板车,huá bǎn chē,a scooter
en patinete,on scooter,骑踏板车,qí tà bǎn chē,na scooter
