spanish,english,chinese,pinyin,portuguese
sigo,I continue,我继续,wǒ jì xù,Eu continuo
sigues,you continue,你继续,nǐ jì xù,você continua
sigue,he/she continues,继续,jì xù,siga
seguimos,we continue,我们继续,wǒ men jì xù,continuamos
seguís,you continue,你们继续,nǐ men jì xù,você continua
siguen,they continue,继续,jì xù,siga
seguir,to continue,继续,jì xù,siga
parar,stop,停止,tíng zhǐ,parar
detenerse,stop,停止,tíng zhǐ,parar
avanzar,advance,前进,qián jìn,avançar
yo sigo,I continue,我继续,wǒ jì xù,Eu continuo
sigo adelante,I keep going,我继续前进,wǒ jì xù qián jìn,Eu continuo
tú sigues,you follow,你关注,nǐ guān zhù,você segue
sigues bien,you're still fine,你还好吗,nǐ hái hǎo ma,você ainda está bem
él sigue,he follows,他跟随,tā gēn suí,ele segue
sigue así,keep it up,坚持下去,jiān chí xià qù,continue assim
nosotros seguimos,we continue,我们继续,wǒ men jì xù,continuamos
seguimos aquí,we are still here,我们还在这里,wǒ men hái zài zhè lǐ,ainda estamos aqui
vosotros seguís,you follow,你们继续,nǐ men jì xù,vocês continuam
seguís bien,you continue well,你继续好,nǐ jì xù hǎo,você continua bem
ellos siguen,they follow,他们跟随,tā men gēn suí,eles seguem
siguen adelante,keep going,继续前进,jì xù qián jìn,continue
hay que seguir,we must continue,我们必须继续,wǒ men bì xū jì xù,devemos continuar
vamos a seguir,let's continue,让我们继续,ràng wǒ men jì xù,vamos continuar
hay que parar,we have to stop,我们必须停止,wǒ men bì xū tíng zhǐ,temos que parar
vamos a parar,let's stop,让我们停下来,ràng wǒ men tíng xià lái,vamos parar
hay que detenerse,you have to stop,你必须停下来,nǐ bì xū tíng xià lái,você tem que parar
puede detenerse,can stop,可以停止,kě yǐ tíng zhǐ,pode parar
hay que avanzar,we must move forward,我们必须前进,wǒ men bì xū qián jìn,devemos seguir em frente
vamos a avanzar,let's move forward,让我们继续前进,ràng wǒ men jì xù qián jìn,vamos seguir em frente
