spanish,english,chinese,pinyin,portuguese
web,website,网站,wǎng zhàn,site
sitio,site,网站,wǎng zhàn,site
página,page,页,yè,página
enlace,link,链接,liàn jiē,ligação
navegador,browser,浏览器,liú lǎn qì,navegador
navegar,browse,浏览,liú lǎn,navegar
conectar,connect,连接,lián jiē,conectar
desconectar,disconnect,断开连接,duàn kāi lián jiē,desconectar
red,network,网络,wǎng luò,rede
wifi,Wi-Fi,无线网络,wú xiàn wǎng luò,Wi-Fi
señal,signal,信号,xìn hào,sinal
usuario,user,用户,yòng hù,usuário
usuaria,user,用户,yòng hù,usuário
seguro,secure,安全,ān quán,seguro
privado,private,私人,sī rén,privado
público,public,公共,gōng gòng,público
archivo,file,文件,wén jiàn,arquivo
carpeta,folder,文件夹,wén jiàn jiā,pasta
actualizar,update,更新,gēng xīn,atualizar
la web,the web,网络,wǎng luò,a web
en la web,on the web,在网络上,zài wǎng luò shàng,na web
el sitio,the site,该网站,gāi wǎng zhàn,o site
un sitio,a site,一个网站,yí gè wǎng zhàn,um site
la página,the page,页面,yè miàn,a página
una página,one page,一页,yī yè,uma página
el enlace,the link,链接,liàn jiē,o link
un enlace,a link,一个链接,yí gè liàn jiē,um link
el navegador,the browser,浏览器,liú lǎn qì,o navegador
un navegador,a browser,浏览器,liú lǎn qì,um navegador
hay que navegar,you need to browse,你得上网浏览,nǐ děi shàng wǎng liú lǎn,você tem que navegar
voy a navegar,I'm going to browse,我要浏览,wǒ yào liú lǎn,Vou navegar
hay que conectar,you have to connect,你必须连接,nǐ bì xū lián jiē,você tem que se conectar
voy a conectar,I'm going to connect,我要连接,wǒ yào lián jiē,Vou me conectar
hay que desconectar,you have to disconnect,你必须断开连接,nǐ bì xū duàn kāi lián jiē,você tem que desconectar
voy a desconectar,I'm going to disconnect,我要断开连接,wǒ yào duàn kāi lián jiē,Vou desconectar
la red,the network,网络,wǎng luò,a rede
una red,a network,一个网络,yí gè wǎng luò,uma rede
el wifi,the wifi,无线网络,wú xiàn wǎng luò,o wi-fi
sin wifi,without wifi,没有无线网络,méi yǒu wú xiàn wǎng luò,sem wi-fi
la señal,the signal,信号,xìn hào,o sinal
buena señal,good signal,好信号,hǎo xìn hào,bom sinal
el usuario,the user,用户,yòng hù,o usuário
un usuario,a user,用户,yòng hù,um usuário
la usuaria,the user,用户,yòng hù,a usuária
una usuaria,a user,用户,yòng hù,uma usuária
es seguro,is it safe,安全吗,ān quán ma,é seguro
muy seguro,very safe,非常安全,fēi cháng ān quán,muito seguro
es privado,is private,是私人的,shì sī rén de,é privado
muy privado,very private,非常私密,fēi cháng sī mì,muito particular
es público,is public,是公开的,shì gōng kāi de,é público
muy público,very public,非常公开,fēi cháng gōng kāi,muito público
el archivo,the file,文件,wén jiàn,o arquivo
un archivo,a file,一个文件,yí gè wén jiàn,um arquivo
la carpeta,the folder,文件夹,wén jiàn jiā,a pasta
una carpeta,a folder,文件夹,wén jiàn jiā,uma pasta
hay que actualizar,need to update,需要更新,xū yào gēng xīn,preciso atualizar
voy a actualizar,I will update,我会更新,wǒ huì gēng xīn,vou atualizar
