spanish,english,chinese,pinyin,portuguese
juego,I play,我玩,wǒ wán,jogo
juegas,you play,你玩,nǐ wán,você joga
juega,play,玩,wán,brincar
jugamos,we play,我们玩,wǒ men wán,nós jogamos
jugáis,you play,你玩,nǐ wán,você joga
juegan,play,玩,wán,brincar
jugar,play,玩,wán,brincar
jugador,player,玩家,wán jiā,jogador
jugadora,player,玩家,wán jiā,jogador
partido,match,比赛,bǐ sài,partida
yo juego,I play,我玩,wǒ wán,Eu jogo
juego bien,I play well,我打得很好,wǒ dǎ dé hěn hǎo,Eu jogo bem
tú juegas,you play,你玩,nǐ wán,você joga
a qué juegas,what do you play,你玩什么,nǐ wán shén me,o que você joga
él juega,he plays,他玩,tā wán,ele joga
juega mal,plays badly,玩得不好,wán dé bù hǎo,joga mal
nosotros jugamos,we play,我们玩,wǒ men wán,nós jogamos
jugamos juntos,we play together,我们一起玩,wǒ men yì qǐ wán,jogamos juntos
vosotros jugáis,you play,你玩,nǐ wán,você joga
cuándo jugáis,when do you play,你什么时候玩,nǐ shén me shí hòu wán,quando você joga
ellos juegan,they play,他们玩,tā men wán,eles brincam
juegan ahora,play now,现在玩,xiàn zài wán,jogue agora
vamos a jugar,let's play,我们来玩吧,wǒ men lái wán ba,vamos brincar
quiero jugar,I want to play,我想玩,wǒ xiǎng wán,Eu quero jogar
el jugador,the player,玩家,wán jiā,o jogador
buen jugador,good player,好球员,hǎo qiú yuán,bom jogador
la jugadora,the player,玩家,wán jiā,o jogador
buena jugadora,good player,好球员,hǎo qiú yuán,bom jogador
el partido,the match,比赛,bǐ sài,a partida
un partido,a match,一场比赛,yī cháng bǐ sài,uma partida
