spanish,english,chinese,pinyin,portuguese
religión,religion,宗教,zōng jiào,religião
dios,god,上帝,shàng dì,deus
diosa,goddess,女神,nǚ shén,deusa
iglesia,church,教堂,jiào táng,igreja
templo,temple,寺庙,sì miào,templo
mezquita,mosque,清真寺,qīng zhēn sì,mesquita
sinagoga,synagogue,犹太教堂,yóu tài jiào táng,sinagoga
sacerdote,priest,牧师,mù shī,sacerdote
cura,priest,神父,shén fù,cura
rabino,rabbi,拉比,lā bǐ,rabino
imán,imam,伊玛目,yī mǎ mù,imã
rezar,pray,祈祷,qí dǎo,orar
orar,pray,祈祷,qí dǎo,orar
oración,prayer,祈祷,qí dǎo,oração
santo,holy,神圣,shén shèng,santo
santa,holy,神圣,shén shèng,santo
bendecir,bless,保佑,bǎo yòu,abençoe
espiritualidad,spirituality,灵性,líng xìng,espiritualidade
devoción,devotion,奉献,fèng xiàn,devoção
piedad,piety,怜悯,lián mǐn,piedade
la religión,religion,宗教,zōng jiào,religião
una religión,a religion,一种宗教,yī zhǒng zōng jiào,uma religião
el dios,the god,神,shén,o deus
un dios,a god,神,shén,um deus
la diosa,the goddess,女神,nǚ shén,a deusa
una diosa,a goddess,女神,nǚ shén,uma deusa
la iglesia,the church,教堂,jiào táng,a igreja
en la iglesia,in the church,在教堂,zài jiào táng,na igreja
el templo,the temple,寺庙,sì miào,o templo
en el templo,in the temple,在寺庙里,zài sì miào lǐ,no templo
la mezquita,the mosque,清真寺,qīng zhēn sì,a mesquita
en la mezquita,in the mosque,在清真寺,zài qīng zhēn sì,na mesquita
la sinagoga,the synagogue,犹太教堂,yóu tài jiào táng,a sinagoga
en la sinagoga,in the synagogue,在犹太教堂,zài yóu tài jiào táng,na sinagoga
el sacerdote,the priest,牧师,mù shī,o padre
un sacerdote,a priest,牧师,mù shī,um padre
el cura,the priest,牧师,mù shī,o padre
un cura,a priest,牧师,mù shī,um padre
el rabino,the rabbi,拉比,lā bǐ,o rabino
un rabino,a rabbi,拉比,lā bǐ,um rabino
el imán,the magnet,磁铁,cí tiě,o imã
un imán,a magnet,磁铁,cí tiě,um imã
hay que rezar,you have to pray,你必须祈祷,nǐ bì xū qí dǎo,você tem que orar
voy a rezar,I'm going to pray,我要祈祷,wǒ yào qí dǎo,Vou orar
hay que orar,you have to pray,你必须祈祷,nǐ bì xū qí dǎo,você tem que orar
voy a orar,I'm going to pray,我要祈祷,wǒ yào qí dǎo,Vou orar
la oración,the sentence,这句话,zhè jù huà,a oração
una oración,a sentence,一句话,yī jù huà,uma oração
el santo,the saint,圣人,shèng rén,o santo
un santo,a saint,圣人,shèng rén,um santo
la santa,the saint,圣人,shèng rén,a santa
una santa,a saint,圣人,shèng rén,uma santa
hay que bendecir,we must bless,我们必须祝福,wǒ men bì xū zhù fú,devemos abençoar
voy a bendecir,I will bless,我会祝福,wǒ huì zhù fú,Eu vou abençoar
la espiritualidad,spirituality,灵性,líng xìng,espiritualidade
con espiritualidad,with spirituality,具有灵性,jù yǒu líng xìng,com espiritualidade
la devoción,devotion,奉献,fèng xiàn,devoção
con devoción,with devotion,虔诚地,qián chéng dì,com devoção
la piedad,piety,怜悯,lián mǐn,piedade
con piedad,with piety,怜悯地,lián mǐn dì,com piedade
