spanish,english,chinese,pinyin,portuguese
agradezco,I appreciate,我很感激,wǒ hěn gǎn jī,Eu agradeço
agradeces,you thank,谢谢,xiè xiè,obrigado
agradece,he/she thanks,谢谢,xiè xiè,obrigado
agradecemos,we appreciate,我们很感激,wǒ men hěn gǎn jī,agradecemos
agradecéis,you thank,谢谢,xiè xiè,obrigado
agradecen,they thank,谢谢,xiè xiè,obrigado
agradecer,to thank,谢谢,xiè xiè,obrigado
agradecimiento,thanks,谢谢,xiè xiè,obrigado
gratitud,gratitude,感恩,gǎn ēn,gratidão
reconocer,recognize,认可,rèn kě,reconhecer
yo agradezco,I appreciate,我很感激,wǒ hěn gǎn jī,Eu agradeço
te lo agradezco,I appreciate it,我很感激,wǒ hěn gǎn jī,Eu agradeço
tú agradeces,you thank,谢谢你,xiè xiè nǐ,você agradece
lo agradeces,you appreciate it,你很感激,nǐ hěn gǎn jī,você agradece
él agradece,he thanks,他感谢,tā gǎn xiè,ele agradece
lo agradece,appreciate it,感谢它,gǎn xiè tā,agradeço
nosotros agradecemos,we appreciate,我们很感激,wǒ men hěn gǎn jī,agradecemos
lo agradecemos,we appreciate it,我们很感激,wǒ men hěn gǎn jī,nós agradecemos
vosotros agradecéis,you thank,谢谢你,xiè xiè nǐ,você agradece
lo agradecéis,you appreciate it,你很欣赏,nǐ hěn xīn shǎng,você agradece
ellos agradecen,they appreciate,他们感谢,tā men gǎn xiè,eles apreciam
lo agradecen,they appreciate it,他们很感激,tā men hěn gǎn jī,eles apreciam isso
quiero agradecer,I want to thank,我要感谢,wǒ yào gǎn xiè,Quero agradecer
voy a agradecer,I will thank,我会感谢,wǒ huì gǎn xiè,Vou agradecer
el agradecimiento,gratitude,感恩,gǎn ēn,gratidão
un agradecimiento,a thank you,谢谢你,xiè xiè nǐ,um obrigado
la gratitud,gratitude,感恩,gǎn ēn,gratidão
con gratitud,with gratitude,怀着感激之情,huái zhe gǎn jī zhī qíng,com gratidão
hay que reconocer,must be recognized,必须被认可,bì xū bèi rèn kě,deve ser reconhecido
voy a reconocer,I will recognize,我会认可,wǒ huì rèn kě,eu vou reconhecer
