spanish,english,chinese,pinyin,portuguese
vivo,I live,我住,wǒ zhù,vivo
vives,you live,你活着,nǐ huó zhe,você mora
vive,lives,生活,shēng huó,vidas
vivimos,we live,我们生活,wǒ men shēng huó,vivemos
vivís,you live,你活着,nǐ huó zhe,você mora
viven,live,生活,shēng huó,viver
vivir,live,生活,shēng huó,ao vivo
vida,life,生活,shēng huó,vida
vivienda,housing,住房,zhù fáng,habitação
convivencia,coexistence,共存,gòng cún,coexistência
yo vivo,I live,我住,wǒ zhù,Eu moro
vivo aquí,I live here,我住在这里,wǒ zhù zài zhè lǐ,Eu moro aqui
tú vives,you live,你活着,nǐ huó zhe,você mora
dónde vives,where do you live,你住在哪里,nǐ zhù zài nǎ lǐ,onde você mora
él vive,he lives,他活着,tā huó zhe,ele vive
vive cerca,lives nearby,住在附近,zhù zài fù jìn,mora perto
nosotros vivimos,we live,我们生活,wǒ men shēng huó,vivemos
vivimos juntos,we live together,我们住在一起,wǒ men zhù zài yì qǐ,moramos juntos
vosotros vivís,you live,你活着,nǐ huó zhe,você mora
dónde vivís,where do you live,你住在哪里,nǐ zhù zài nǎ lǐ,onde você mora
ellos viven,they live,他们生活,tā men shēng huó,eles vivem
viven lejos,they live far away,他们住得很远,tā men zhù dé hěn yuǎn,eles moram longe
quiero vivir,I want to live,我想活下去,wǒ xiǎng huó xià qù,Eu quero viver
hay que vivir,you have to live,你必须生活,nǐ bì xū shēng huó,você tem que viver
la vida,life,生活,shēng huó,vida
mi vida,my life,我的生活,wǒ de shēng huó,minha vida
la vivienda,the home,家,jiā,a casa
una vivienda,a home,一个家,yí gè jiā,uma casa
la convivencia,coexistence,共存,gòng cún,coexistência
buena convivencia,good coexistence,良好的共存,liáng hǎo de gòng cún,boa convivência
