spanish,english,chinese,pinyin,portuguese
cocino,I cook,我做饭,wǒ zuò fàn,Eu cozinho
cocinas,kitchens,你做饭,nǐ zuò fàn,cozinhas
cocina,kitchen,做饭,zuò fàn,cozinha
cocinamos,we cook,我们做饭,wǒ men zuò fàn,nós cozinhamos
cocináis,you cook,你做饭,nǐ zuò fàn,você cozinha
cocinan,they cook,他们做饭,tā men zuò fàn,eles cozinham
cocinar,cook,做饭,zuò fàn,cozinhar
cocinera,cook,厨师,chú shī,cozinhar
chef,chef,厨师,chú shī,chef
ayudante,helper,帮手,bāng shǒu,ajudante
yo cocino,I cook,我做饭,wǒ zuò fàn,Eu cozinho
siempre cocino,I always cook,我总是做饭,wǒ zǒng shì zuò fàn,Eu sempre cozinho
tú cocinas,you cook,你做饭,nǐ zuò fàn,você cozinha
qué cocinas,what do you cook,你煮什么,nǐ zhǔ shén me,o que você cozinha
él cocina,he cooks,他做饭,tā zuò fàn,ele cozinha
ella cocina,she cooks,她做饭,tā zuò fàn,ela cozinha
nosotros cocinamos,we cook,我们做饭,wǒ men zuò fàn,nós cozinhamos
lo cocinamos,we cook it,我们煮它,wǒ men zhǔ tā,nós cozinhamos
vosotros cocináis,you cook,你做饭,nǐ zuò fàn,você cozinha
qué cocináis,what do you cook,你煮什么,nǐ zhǔ shén me,o que você cozinha
ellos cocinan,they cook,他们做饭,tā men zuò fàn,eles cozinham
lo cocinan,they cook it,他们煮它,tā men zhǔ tā,eles cozinham
quiero cocinar,I want to cook,我想做饭,wǒ xiǎng zuò fàn,Eu quero cozinhar
voy a cocinar,I'm going to cook,我去做饭,wǒ qù zuò fàn,Vou cozinhar
la cocinera,the cook,厨师,chú shī,a cozinheira
una cocinera,a cook,厨师,chú shī,uma cozinheira
el chef,the chef,厨师,chú shī,o chef
un chef,a chef,厨师,chú shī,um chef
el ayudante,the helper,帮手,bāng shǒu,o ajudante
un ayudante,a helper,一个帮手,yí gè bāng shǒu,um ajudante
