spanish,english,chinese,pinyin,portuguese
qué,what,什么,shén me,o que
quién,who,谁,shuí,quem
dónde,where,在哪里,zài nǎ lǐ,onde
cuándo,when,什么时候,shén me shí hòu,quando
por qué,why,为什么,wèi shén me,por que
cómo,how,怎么,zěn me,como
cuál,which,哪个,nǎ ge,qual
cuánto,how much,多少,duō shǎo,quanto
cuánta,how much,多少,duō shǎo,quanto
cuántos,how many,多少,duō shǎo,quantos
cuántas,how many,多少,duō shǎo,quantos
qué hora es,what time is it,现在几点,xiàn zài jǐ diǎn,que horas são
qué tal,how are you,你好吗,nǐ hǎo ma,como vai
quién es,who is,谁是,shuí shì,quem é
quién sabe,who knows,谁知道,shuí zhī dào,quem sabe
dónde está,where is,在哪里,zài nǎ lǐ,onde está
de dónde,where from,从哪里来,cóng nǎ lǐ lái,de onde
cuándo vienes,when are you coming,你什么时候来,nǐ shén me shí hòu lái,quando você vem
desde cuándo,since when,从什么时候开始,cóng shén me shí hòu kāi shǐ,desde quando
por qué no,why not,为什么不呢,wèi shén me bù ne,por que não
por qué sí,just because,只是因为,zhǐ shì yīn wèi,só porque
cómo lo haces,how do you do it,你怎么做的,nǐ zěn me zuò de,como você faz isso
cómo no,how not,怎么不,zěn me bù,como não
cuál es,which,哪个,nǎ ge,qual
cuál quieres,which one do you want,你想要哪一个,nǐ xiǎng yào nǎ yí gè,qual você quer
cuánto cuesta,how much does it cost,它要多少钱,tā yào duō shǎo qián,quanto custa isso
cuánto tiempo,how long,多长时间,duō zhǎng shí jiān,quanto tempo
cuánta gente,how many people,有多少人,yǒu duō shǎo rén,quantas pessoas
cuánta agua,how much water,多少水,duō shǎo shuǐ,quanta água
cuántos años,how many years,多少年,duō shǎo nián,quantos anos
cuántos hay,how many are there,有多少人,yǒu duō shǎo rén,quantos existem
cuántas personas,how many people,有多少人,yǒu duō shǎo rén,quantas pessoas
cuántas veces,how many times,多少次,duō shǎo cì,quantas vezes
