spanish,english,chinese,pinyin,portuguese
veintiún,twenty one,二十一,èr shí yī,vinte e um
veintidós,twenty two,二十二,èr shí èr,vinte e dois
veintitrés,twenty three,二十三,èr shí sān,vinte e três
veinticuatro,twenty four,二十四,èr shí sì,vinte e quatro
veinticinco,twenty-five,二十五,èr shí wǔ,vinte e cinco
veintiséis,twenty six,二十六,èr shí liù,vinte e seis
veintisiete,twenty seven,二十七,èr shí qī,vinte e sete
veintiocho,twenty eight,二十八,èr shí bā,vinte e oito
veintinueve,twenty nine,二十九,èr shí jiǔ,vinte e nove
treinta,thirty,三十,sān shí,trinta
cuarenta,forty,四十,sì shí,quarenta
cincuenta,fifty,五十,wǔ shí,cinquenta
sesenta,sixty,六十,liù shí,sessenta
setenta,seventy,七十,qī shí,setenta
ochenta,eighty,八十,bā shí,oitenta
noventa,ninety,九十,jiǔ shí,noventa
cien,hundred,百,bǎi,cem
veintiún años,twenty one years,二十一年,èr shí yī nián,vinte e um anos
solo veintiún,only twenty one,只有二十一个,zhǐ yǒu èr shí yí gè,apenas vinte e um
veintidós años,twenty two years,二十二年,èr shí èr nián,vinte e dois anos
los veintidós,the twenty two,二十二,èr shí èr,os vinte e dois
veintitrés años,twenty three years,二十三年,èr shí sān nián,vinte e três anos
los veintitrés,the twenty three,二十三,èr shí sān,os vinte e três
veinticuatro horas,twenty four hours,二十四小时,èr shí sì xiǎo shí,vinte e quatro horas
los veinticuatro,the twenty four,二十四,èr shí sì,os vinte e quatro
veinticinco años,twenty five years,二十五年,èr shí wǔ nián,vinte e cinco anos
los veinticinco,the twenty five,二十五,èr shí wǔ,os vinte e cinco
veintiséis años,twenty six years,二十六年,èr shí liù nián,vinte e seis anos
los veintiséis,the twenty six,二十六,èr shí liù,os vinte e seis
veintisiete años,twenty seven years,二十七年,èr shí qī nián,vinte e sete anos
los veintisiete,the twenty seven,二十七,èr shí qī,os vinte e sete
veintiocho días,twenty eight days,二十八天,èr shí bā tiān,vinte e oito dias
los veintiocho,the twenty eight,那二十八个,nà èr shí bā gè,os vinte e oito
veintinueve años,twenty nine years,二十九年,èr shí jiǔ nián,vinte e nove anos
los veintinueve,the twenty nine,二十九号,èr shí jiǔ hào,os vinte e nove
treinta años,thirty years,三十年,sān shí nián,trinta anos
los treinta,the thirty,三十岁,sān shí suì,os trinta
cuarenta años,forty years,四十年,sì shí nián,quarenta anos
los cuarenta,the forties,四十年代,sì shí nián dài,os anos quarenta
cincuenta años,fifty years,五十年,wǔ shí nián,cinquenta anos
los cincuenta,the fifties,五十年代,wǔ shí nián dài,os anos cinquenta
sesenta años,sixty years,六十年,liù shí nián,sessenta anos
los sesenta,the sixties,六十年代,liù shí nián dài,os anos sessenta
setenta años,seventy years,七十年,qī shí nián,setenta anos
los setenta,the seventies,七十年代,qī shí nián dài,os anos setenta
ochenta años,eighty years,八十年,bā shí nián,oitenta anos
los ochenta,the eighties,八十年代,bā shí nián dài,os anos oitenta
noventa años,ninety years,九十年,jiǔ shí nián,noventa anos
los noventa,the nineties,九十年代,jiǔ shí nián dài,os anos noventa
cien por cien,one hundred percent,百分之一百,bǎi fēn zhī yì bǎi,cem por cento
casi cien,almost a hundred,近一百个,jìn yì bǎi gè,quase cem
