spanish,english,chinese,pinyin,portuguese
leo,I read,我读,wǒ dú,leio
lees,you read,你读,nǐ dú,você lê
lee,read,阅读,yuè dú,leia
leemos,we read,我们读,wǒ men dú,nós lemos
leéis,you read,你读,nǐ dú,você lê
leen,read,阅读,yuè dú,leia
leer,read,阅读,yuè dú,leia
lectura,reading,阅读,yuè dú,lendo
lector,reader,读者,dú zhě,leitor
lectora,reader,读者,dú zhě,leitor
yo leo,I read,我读过,wǒ dú guò,Eu li
lo leo,I read it,我读过,wǒ dú guò,Eu li
tú lees,you read,你读过,nǐ dú guò,você leu
qué lees,what do you read,你读什么,nǐ dú shén me,o que você lê
él lee,he reads,他读,tā dú,ele lê
ella lee,she reads,她读,tā dú,ela lê
nosotros leemos,we read,我们读,wǒ men dú,nós lemos
lo leemos,we read it,我们读了它,wǒ men dú le tā,nós lemos
vosotros leéis,you read,你读过,nǐ dú guò,você leu
qué leéis,what do you read,你读什么,nǐ dú shén me,o que você lê
ellos leen,they read,他们读,tā men dú,eles leram
lo leen,they read it,他们读了,tā men dú le,eles leram
quiero leer,I want to read,我想读,wǒ xiǎng dú,Eu quero ler
voy a leer,I'm going to read,我要读,wǒ yào dú,Vou ler
la lectura,reading,阅读,yuè dú,lendo
buena lectura,good read,好读,hǎo dú,boa leitura
el lector,the reader,读者,dú zhě,o leitor
un lector,a reader,读者,dú zhě,um leitor
la lectora,the reader,读者,dú zhě,o leitor
una lectora,a reader,一个读者,yí gè dú zhě,um leitor
