spanish,english,chinese,pinyin,portuguese
encuentro,encounter,遭遇,zāo yù,encontro
encuentras,you find,你发现,nǐ fā xiàn,você encontra
encuentra,find,查找,chá zhǎo,encontrar
encontramos,we find,我们发现,wǒ men fā xiàn,encontramos
encontráis,you find,你发现,nǐ fā xiàn,você encontra
encuentran,find,查找,chá zhǎo,encontrar
encontrar,find,查找,chá zhǎo,encontrar
encontrarse,meet,遇见,yù jiàn,conhecer
hallazgo,discovery,发现,fā xiàn,descoberta
detectar,detect,检测,jiǎn cè,detectar
yo encuentro,I find,我发现,wǒ fā xiàn,Eu acho
lo encuentro,I find it,我找到了,wǒ zhǎo dào le,Eu acho
tú encuentras,you find,你发现,nǐ fā xiàn,você encontra
lo encuentras,you find it,你找到了,nǐ zhǎo dào le,você encontra
él encuentra,he finds,他发现,tā fā xiàn,ele encontra
lo encuentra,find it,找到它,zhǎo dào tā,encontre
nosotros encontramos,we find,我们发现,wǒ men fā xiàn,encontramos
lo encontramos,we found it,我们找到了,wǒ men zhǎo dào le,encontramos
vosotros encontráis,you find,你发现,nǐ fā xiàn,você encontra
lo encontráis,you find it,你找到了,nǐ zhǎo dào le,você encontra
ellos encuentran,they find,他们发现,tā men fā xiàn,eles encontram
lo encuentran,they find it,他们找到了,tā men zhǎo dào le,eles encontram
quiero encontrar,I want to find,我想找,wǒ xiǎng zhǎo,Eu quero encontrar
voy a encontrar,I will find,我会找到,wǒ huì zhǎo dào,Eu vou encontrar
vamos a encontrarse,let's meet,让我们见面吧,ràng wǒ men jiàn miàn ba,vamos nos encontrar
pueden encontrarse,can be found,可以找到,kě yǐ zhǎo dào,pode ser encontrado
un hallazgo,a find,一个发现,yí gè fā xiàn,um achado
gran hallazgo,great find,伟大的发现,wěi dà de fā xiàn,ótima descoberta
hay que detectar,must be detected,必须检测到,bì xū jiǎn cè dào,deve ser detectado
puedo detectar,I can detect,我可以检测到,wǒ kě yǐ jiǎn cè dào,eu posso detectar
