spanish,english,chinese,pinyin,portuguese
reduzco,I reduce,我减少,wǒ jiǎn shǎo,Eu reduzo
reduces,you reduce,你减少,nǐ jiǎn shǎo,você reduz
reduce,reduces,减少,jiǎn shǎo,reduz
reducimos,we reduce,我们减少,wǒ men jiǎn shǎo,reduzimos
reducís,you reduce,你减少,nǐ jiǎn shǎo,você reduz
reducen,reduce,减少,jiǎn shǎo,reduzir
reducir,reduce,减少,jiǎn shǎo,reduzir
reducción,reduction,减少,jiǎn shǎo,redução
disminución,decrease,减少,jiǎn shǎo,diminuição
recorte,cut,削减,xuē jiǎn,recorte
yo reduzco,I reduce,我减少,wǒ jiǎn shǎo,Eu reduzo
lo reduzco,I reduce it,我减少它,wǒ jiǎn shǎo tā,Eu reduzo
tú reduces,you reduce,你减少,nǐ jiǎn shǎo,você reduz
lo reduces,you reduce it,你减少它,nǐ jiǎn shǎo tā,você reduz isso
él reduce,he reduces,他减少,tā jiǎn shǎo,ele reduz
lo reduce,reduces it,减少它,jiǎn shǎo tā,reduz
nosotros reducimos,we reduce,我们减少,wǒ men jiǎn shǎo,reduzimos
lo reducimos,we reduce it,我们减少它,wǒ men jiǎn shǎo tā,nós reduzimos
vosotros reducís,you reduce,你减少,nǐ jiǎn shǎo,você reduz
lo reducís,you reduce it,你减少它,nǐ jiǎn shǎo tā,você reduz isso
ellos reducen,they reduce,他们减少,tā men jiǎn shǎo,eles reduzem
lo reducen,they reduce it,他们减少它,tā men jiǎn shǎo tā,eles reduzem
quiero reducir,I want to reduce,我想减少,wǒ xiǎng jiǎn shǎo,Quero reduzir
voy a reducir,I'm going to reduce,我要减少,wǒ yào jiǎn shǎo,Vou reduzir
la reducción,the reduction,减少,jiǎn shǎo,a redução
una reducción,a reduction,减少,jiǎn shǎo,uma redução
la disminución,the decrease,减少,jiǎn shǎo,a diminuição
una disminución,a decrease,减少,jiǎn shǎo,uma diminuição
el recorte,the cut,削减,xuē jiǎn,o corte
un recorte,a cut,一个削减,yí gè xuē jiǎn,um corte
