spanish,english,chinese,pinyin,portuguese
construcción,construction,建筑,jiàn zhù,construção
edificio,building,建筑,jiàn zhù,edifício
piso,floor,地板,dì bǎn,chão
arquitecto,architect,建筑师,jiàn zhù shī,arquiteto
arquitecta,architect,建筑师,jiàn zhù shī,arquiteto
ingeniero,engineer,工程师,gōng chéng shī,engenheiro
ingeniera,engineer,工程师,gōng chéng shī,engenheiro
albañil,bricklayer,瓦工,wǎ gōng,pedreiro
obrero,worker,工人,gōng rén,trabalhador
ladrillo,brick,砖,zhuān,tijolo
viga,beam,梁,liáng,feixe
plano,flat,平,píng,plano
cimentación,foundation,基金会,jī jīn huì,fundação
estructura,structure,结构,jié gòu,estrutura
andamio,scaffold,脚手架,jiǎo shǒu jià,andaime
grúa,crane,起重机,qǐ zhòng jī,guindaste
excavadora,excavator,挖掘机,wā jué jī,escavadeira
carpintería,carpentry,木工,mù gōng,carpintaria
fontanería,plumbing,管道,guǎn dào,encanamento
la construcción,construction,建筑,jiàn zhù,construção
en construcción,under construction,正在建设中,zhèng zài jiàn shè zhōng,em construção
el edificio,the building,建筑物,jiàn zhù wù,o prédio
un edificio,a building,一座建筑物,yī zuò jiàn zhù wù,um edifício
el piso,the floor,地板,dì bǎn,o chão
un piso,a flat,公寓,gōng yù,um apartamento
el arquitecto,the architect,建筑师,jiàn zhù shī,o arquiteto
un arquitecto,an architect,建筑师,jiàn zhù shī,um arquiteto
la arquitecta,the architect,建筑师,jiàn zhù shī,o arquiteto
una arquitecta,an architect,建筑师,jiàn zhù shī,um arquiteto
el ingeniero,the engineer,工程师,gōng chéng shī,o engenheiro
un ingeniero,an engineer,工程师,gōng chéng shī,um engenheiro
la ingeniera,the engineer,工程师,gōng chéng shī,o engenheiro
una ingeniera,an engineer,工程师,gōng chéng shī,um engenheiro
el albañil,the bricklayer,瓦匠,wǎ jiàng,o pedreiro
un albañil,a bricklayer,瓦匠,wǎ jiàng,um pedreiro
el obrero,the worker,工人,gōng rén,o trabalhador
un obrero,a worker,一名工人,yī míng gōng rén,um trabalhador
el ladrillo,the brick,砖头,zhuān tóu,o tijolo
un ladrillo,a brick,一块砖,yī kuài zhuān,um tijolo
la viga,the beam,光束,guāng shù,a viga
una viga,a beam,一根梁,yī gēn liáng,uma viga
el plano,the plane,飞机,fēi jī,o avião
un plano,a plane,一架飞机,yī jià fēi jī,um avião
la cimentación,the foundation,基础,jī chǔ,a fundação
una cimentación,a foundation,基础,jī chǔ,uma fundação
la estructura,the structure,结构,jié gòu,a estrutura
una estructura,a structure,结构,jié gòu,uma estrutura
el andamio,the scaffolding,脚手架,jiǎo shǒu jià,o andaime
un andamio,a scaffold,脚手架,jiǎo shǒu jià,um andaime
la grúa,the crane,起重机,qǐ zhòng jī,o guindaste
una grúa,a crane,起重机,qǐ zhòng jī,um guindaste
la excavadora,the excavator,挖掘机,wā jué jī,a escavadeira
una excavadora,an excavator,挖掘机,wā jué jī,uma escavadeira
la carpintería,carpentry,木工,mù gōng,carpintaria
de carpintería,carpentry,木工,mù gōng,carpintaria
la fontanería,plumbing,管道,guǎn dào,encanamento
de fontanería,plumbing,管道,guǎn dào,encanamento
