spanish,english,chinese,pinyin,portuguese
produzco,I produce,我生产,wǒ shēng chǎn,Eu produzo
produces,you produce,生产,shēng chǎn,você produz
produce,he/she produces,产生,chǎn shēng,produz
producimos,we produce,我们生产,wǒ men shēng chǎn,produzimos
producís,you produce,你生产,nǐ shēng chǎn,você produz
producen,they produce,生产,shēng chǎn,produzem
producción,production,生产,shēng chǎn,produção
fabricar,to manufacture,制造,zhì zào,fabricar
yo produzco,I produce,我生产,wǒ shēng chǎn,Eu produzo
lo produzco,I produce it,我生产它,wǒ shēng chǎn tā,Eu produzo
tú produces,you produce,你生产,nǐ shēng chǎn,você produz
lo produces,you produce it,你生产它,nǐ shēng chǎn tā,você produz
él produce,he produces,他生产,tā shēng chǎn,ele produz
lo produce,he/she produces it,产生它,chǎn shēng tā,produz
nosotros producimos,we produce,我们生产,wǒ men shēng chǎn,produzimos
lo producimos,we produce it,我们生产它,wǒ men shēng chǎn tā,nós produzimos
vosotros producís,you produce,你生产,nǐ shēng chǎn,você produz
lo producís,you produce it,你生产它,nǐ shēng chǎn tā,você produz
ellos producen,they produce,他们生产,tā men shēng chǎn,eles produzem
lo producen,they produce it,他们生产它,tā men shēng chǎn tā,eles produzem
la producción,production,生产,shēng chǎn,produção
en producción,in production,生产中,shēng chǎn zhōng,em produção
hay que fabricar,you have to manufacture,必须制造,bì xū zhì zào,deve ser fabricado
voy a fabricar,I am going to manufacture,我要制造,wǒ yào zhì zào,vou fabricar
