spanish,english,chinese,pinyin,portuguese
gobierno,government,政府,zhèng fǔ,governo
presidente,president,总统,zǒng tǒng,presidente
presidenta,president,总统,zǒng tǒng,presidente
ministro,minister,部长,bù zhǎng,ministro
ministra,minister,部长,bù zhǎng,ministra
político,political,政治,zhèng zhì,político
política,politics,政治,zhèng zhì,política
elección,election,选举,xuǎn jǔ,eleição
votar,vote,投票,tóu piào,votar
voto,vote,投票,tóu piào,votar
ley,law,法律,fǎ lǜ,lei
constitución,constitution,宪法,xiàn fǎ,constituição
congreso,congress,大会,dà huì,congresso
senado,senate,参议院,cān yì yuàn,senado
democracia,democracy,民主,mín zhǔ,democracia
ciudadano,citizen,公民,gōng mín,cidadão
ciudadana,citizen,公民,gōng mín,cidadão
país,country,国家,guó jiā,país
nación,nation,国家,guó jiā,nação
referéndum,referendum,公投,gōng tóu,referendo
el gobierno,the government,政府,zhèng fǔ,o governo
un gobierno,a government,政府,zhèng fǔ,um governo
el presidente,the president,总统,zǒng tǒng,o presidente
un presidente,a president,总统,zǒng tǒng,um presidente
la presidenta,the president,总统,zǒng tǒng,a presidenta
una presidenta,a president,总统,zǒng tǒng,uma presidenta
el ministro,the minister,部长,bù zhǎng,o ministro
un ministro,a minister,部长,bù zhǎng,um ministro
la ministra,the minister,部长,bù zhǎng,a ministra
una ministra,a minister,部长,bù zhǎng,uma ministra
el político,the politician,政治家,zhèng zhì jiā,o político
un político,a politician,政治家,zhèng zhì jiā,um político
la política,politics,政治,zhèng zhì,política
política exterior,foreign policy,外交政策,wài jiāo zhèng cè,política externa
la elección,the election,选举,xuǎn jǔ,a eleição
una elección,an election,一次选举,yī cì xuǎn jǔ,uma eleição
hay que votar,you have to vote,你必须投票,nǐ bì xū tóu piào,você tem que votar
voy a votar,I'm going to vote,我要投票,wǒ yào tóu piào,Vou votar
el voto,the vote,投票,tóu piào,a votação
mi voto,my vote,我的投票,wǒ de tóu piào,meu voto
la ley,the law,法律,fǎ lǜ,a lei
una ley,a law,一条法律,yī tiáo fǎ lǜ,uma lei
la constitución,the constitution,宪法,xiàn fǎ,a constituição
nuestra constitución,our constitution,我们的宪法,wǒ men de xiàn fǎ,nossa constituição
el congreso,the congress,大会,dà huì,o congresso
en el congreso,at the congress,在大会上,zài dà huì shàng,no congresso
el senado,the senate,参议院,cān yì yuàn,o senado
en el senado,in the senate,在参议院,zài cān yì yuàn,no Senado
la democracia,democracy,民主,mín zhǔ,democracia
en democracia,in democracy,在民主,zài mín zhǔ,na democracia
el ciudadano,the citizen,公民,gōng mín,o cidadão
un ciudadano,a citizen,公民,gōng mín,um cidadão
la ciudadana,the citizen,公民,gōng mín,a cidadã
una ciudadana,a citizen,公民,gōng mín,uma cidadã
el país,the country,国家,guó jiā,o país
un país,a country,一个国家,yí gè guó jiā,um país
la nación,the nation,国家,guó jiā,a nação
una nación,a nation,一个国家,yí gè guó jiā,uma nação
el referéndum,the referendum,公投,gōng tóu,o referendo
un referéndum,a referendum,全民公投,quán mín gōng tóu,um referendo
