spanish,english,chinese,pinyin,portuguese
hacer,to do/make,做,zuò,fazer
hago,I do/make,我做,wǒ zuò,faço
haces,you do/make,你做,nǐ zuò,fazes
hace,he/she/it does/makes,他做,tā zuò,faz
hacemos,we do/make,我们做,wǒ men zuò,fazemos
hacéis,you all do/make,你们做,nǐ men zuò,fazeis
hacen,they do/make,他们做,tā men zuò,fazem
tarea,homework,作业,zuò yè,tarefa
cama,bed,床,chuáng,cama
cola,queue,队,duì,fila
ejercicio,exercise,运动,yùn dòng,exercício
deporte,sport,体育,tǐ yù,esporte
planes,plans,计划,jì huà,planos
caso,case,情况,qíng kuàng,caso
daño,damage,伤害,shāng hài,dano
ruido,noise,噪音,zào yīn,barulho
esfuerzo,effort,努力,nǔ lì,esforço
voy a hacer,I'm going to do,我要做,wǒ yào zuò,vou fazer
puedo hacer,I can do,我能做,wǒ néng zuò,posso fazer
yo hago,I do,我做,wǒ zuò,eu faço
lo hago,I do it,我做它,wǒ zuò tā,eu o faço
tú haces,you do,你做,nǐ zuò,tu fazes
qué haces,what are you doing,你在做什么,nǐ zài zuò shén me,o que fazes
él hace,he does,他做,tā zuò,ele faz
hace falta,it's necessary,需要,xū yào,faz falta
nosotros hacemos,we do,我们做,wǒ men zuò,nós fazemos
lo hacemos,we do it,我们做它,wǒ men zuò tā,nós o fazemos
vosotros hacéis,you all do,你们做,nǐ men zuò,vós fazeis
qué hacéis,what are you all doing,你们在做什么,nǐ men zài zuò shén me,o que fazeis
ellos hacen,they do,他们做,tā men zuò,eles fazem
lo hacen,they do it,他们做它,tā men zuò tā,eles o fazem
mi tarea,my homework,我的作业,wǒ de zuò yè,minha tarefa
hacer la tarea,do homework,做作业,zuò zuò yè,fazer a tarefa
hacer la cama,make the bed,整理床铺,zhěng lǐ chuáng pù,fazer a cama
mi cama,my bed,我的床,wǒ de chuáng,minha cama
hacer cola,wait in line,排队,pái duì,fazer fila
la cola,the queue,这个队,zhè gè duì,a fila
hacer ejercicio,exercise,做运动,zuò yùn dòng,fazer exercício
el ejercicio,the exercise,这个运动,zhè gè yùn dòng,o exercício
hacer deporte,play sports,做体育运动,zuò tǐ yù yùn dòng,fazer esporte
el deporte,the sport,这个体育,zhè gè tǐ yù,o esporte
hacer planes,make plans,制定计划,zhì dìng jì huà,fazer planos
mis planes,my plans,我的计划,wǒ de jì huà,meus planos
hacer caso,pay attention,注意,zhù yì,fazer caso
en todo caso,in any case,无论如何,wú lùn rú hé,em todo caso
hacer daño,hurt,伤害,shāng hài,fazer dano
sin daño,without damage,没有伤害,méi yǒu shāng hài,sem dano
hacer ruido,make noise,制造噪音,zhì zào zào yīn,fazer barulho
mucho ruido,a lot of noise,很多噪音,hěn duō zào yīn,muito barulho
hacer esfuerzo,make an effort,努力,nǔ lì,fazer esforço
el esfuerzo,the effort,这个努力,zhè gè nǔ lì,o esforço
