spanish,english,chinese,pinyin,portuguese
comparto,I share,我分享,wǒ fēn xiǎng,Eu compartilho
compartes,you share,你分享,nǐ fēn xiǎng,você compartilha
comparte,share,分享,fēn xiǎng,compartilhar
compartimos,we share,我们分享,wǒ men fēn xiǎng,compartilhamos
compartís,you share,你分享,nǐ fēn xiǎng,você compartilha
comparten,share,分享,fēn xiǎng,compartilhar
compartir,share,分享,fēn xiǎng,compartilhar
repartir,distribute,分发,fēn fā,distribuir
dividir,split,分裂,fēn liè,dividir
distribuir,distribute,分发,fēn fā,distribuir
comparto tu opinión,I share your opinion,我同意你的意见,wǒ tóng yì nǐ de yì jiàn,Partilho da sua opinião
comparto piso con amigos,I share a flat with friends,我和朋友合住一套公寓,wǒ hé péng yǒu hé zhù yī tào gōng yù,Divido apartamento com amigos
por qué no lo compartes,why don't you share it,为什么不分享一下,wèi shén me bù fēn xiǎng yī xià,por que você não compartilha
compartes mucho en redes,you share a lot on networks,你在网络上分享了很多,nǐ zài wǎng luò shàng fēn xiǎng le hěn duō,você compartilha muito nas redes
él comparte su comida,he shares his food,他分享他的食物,tā fēn xiǎng tā de shí wù,ele compartilha sua comida
ella siempre comparte todo,she always shares everything,她总是分享一切,tā zǒng shì fēn xiǎng yī qiè,ela sempre compartilha tudo
compartimos los gastos,we share the expenses,我们分担费用,wǒ men fēn dān fèi yòng,dividimos as despesas
compartimos el mismo gusto,we share the same taste,我们口味相同,wǒ men kǒu wèi xiāng tóng,compartilhamos o mesmo gosto
compartís habitación,you share a room,你们共用一个房间,nǐ men gòng yòng yí gè fáng jiān,vocês dividem um quarto
lo compartís todo,you share everything,你分享一切,nǐ fēn xiǎng yī qiè,você compartilha tudo
ellos comparten coche,they share a car,他们共用一辆车,tā men gòng yòng yī liàng chē,eles compartilham um carro
los vecinos comparten el jardín,neighbors share the garden,邻居共享花园,lín jū gòng xiǎng huā yuán,vizinhos compartilham o jardim
es bueno compartir,it's good to share,很高兴分享,hěn gāo xìng fēn xiǎng,é bom compartilhar
compartir es vivir,sharing is living,分享就是生活,fēn xiǎng jiù shì shēng huó,compartilhar é viver
repartir el trabajo,distribute the work,分配工作,fēn pèi gōng zuò,distribuir o trabalho
repartir las tareas,distribute the tasks,分配任务,fēn pèi rèn wù,distribuir as tarefas
dividir la cuenta,split the bill,分摊账单,fēn tān zhàng dān,dividir a conta
dividir en partes iguales,divide into equal parts,分成相等的部分,fēn chéng xiāng děng de bù fèn,dividir em partes iguais
distribuir los recursos,distribute resources,分配资源,fēn pèi zī yuán,distribuir recursos
distribuir bien el tiempo,distribute time well,很好地分配时间,hěn hǎo dì fēn pèi shí jiān,distribua bem o tempo
