spanish,english,chinese,pinyin,portuguese
marketing,marketing,营销,yíng xiāo,marketing
publicidad,advertising,广告,guǎng gào,publicidade
anuncio,advertisement,广告,guǎng gào,anúncio
campaña,campaign,活动,huó dòng,campanha
logo,logo,标志,biāo zhì,logotipo
eslogan,slogan,口号,kǒu hào,lema
consumidor,consumer,消费者,xiāo fèi zhě,consumidor
estrategia,strategy,策略,cè lüè,estratégia
promocionar,to promote,推广,tuī guǎng,promover
competencia,competition,竞争,jìng zhēng,competição
publicitar,to advertise,做广告,zuò guǎng gào,anunciar
promoción,promotion,促销,cù xiāo,promoção
target,target,目标,mù biāo,alvo
segmento,segment,段,duàn,segmento
posicionamiento,positioning,定位,dìng wèi,posicionamento
lanzamiento,launch,发布,fā shè,lançamento
reputación,reputation,声誉,shēng yù,reputação
fidelización,loyalty,忠诚,zhōng chéng,lealdade
el marketing,marketing,营销,yíng xiāo,marketing
de marketing,marketing,营销,yíng xiāo,marketing
la publicidad,advertising,广告,guǎng gào,publicidade
con publicidad,with advertising,带有广告,dài yǒu guǎng gào,com publicidade
el anuncio,the announcement,广告,gōng gào,o anúncio
un anuncio,an advertisement,广告,guǎng gào,um anúncio
la campaña,the campaign,活动,huó dòng,a campanha
una campaña,a campaign,一场活动,yī cháng huó dòng,uma campanha
el logo,the logo,标志,biāo zhì,o logotipo
un logo,a logo,一个标志,yí gè biāo zhì,um logotipo
el eslogan,the slogan,口号,kǒu hào,o slogan
un eslogan,a slogan,口号,kǒu hào,um slogan
el consumidor,the consumer,消费者,xiāo fèi zhě,o consumidor
un consumidor,a consumer,消费者,xiāo fèi zhě,um consumidor
la estrategia,the strategy,策略,cè lüè,a estratégia
una estrategia,a strategy,策略,cè lüè,uma estratégia
hay que promocionar,you have to promote,你必须推广,nǐ bì xū tuī guǎng,você tem que promover
voy a promocionar,I'm going to promote,我要宣传,wǒ yào xuān chuán,Vou promover
la competencia,the competition,竞争,jìng zhēng,a competição
en competencia,in competition,竞争中,jìng zhēng zhōng,em competição
hay que publicitar,you have to advertise,你必须做广告,nǐ bì xū zuò guǎng gào,você tem que anunciar
voy a publicitar,I'm going to advertise,我要打广告,wǒ yào dǎ guǎng gào,Vou anunciar
la promoción,the promotion,促销,cù xiāo,a promoção
en promoción,on promotion,促销中,cù xiāo zhōng,em promoção
el target,the target,目标,mù biāo,o alvo
un target,a target,目标,mù biāo,um alvo
el segmento,the segment,细分市场,xì fēn shì chǎng,o segmento
un segmento,a segment,一段,yī duàn,um segmento
el posicionamiento,positioning,定位,dìng wèi,posicionamento
buen posicionamiento,good positioning,良好的定位,liáng hǎo de dìng wèi,bom posicionamento
el lanzamiento,the launch,发布,fā shè,o lançamento
un lanzamiento,a release,发布,fā bù,um lançamento
la reputación,reputation,声誉,shēng yù,reputação
buena reputación,good reputation,良好的信誉,liáng hǎo de xìn yù,boa reputação
la fidelización,loyalty,忠诚,zhōng chéng,lealdade
para fidelización,for loyalty,为了忠诚,wèi le zhōng chéng,por lealdade
