spanish,english,chinese,pinyin,portuguese
me,me,我,wǒ,eu
te,you,你,nǐ,você
se,oneself,反身代词,fǎn shēn dài cí,se
nos,us,我们,wǒ men,nós
os,yourselves,你,nǐ,você
lavarse,wash,洗,xǐ,lavar
acostarse,lie down,躺下,tǎng xià,deitar
sentarse,sit,坐,zuò,sente
peinarse,comb your hair,梳头,shū tóu,penteie o cabelo
afeitarse,shave,剃须,tì xū,fazer a barba
maquillarse,put on makeup,化妆,huà zhuāng,maquiagem
bañarse,bathe,洗澡,xǐ zǎo,tomar banho
cepillarse,brush,刷,shuā,escova
mirarse,look at yourself,看自己,kàn zì jǐ,olhar para si mesmo
arreglarse,get ready,准备好,zhǔn bèi hǎo,prepare-se
prepararse,prepare,准备,zhǔn bèi,preparar
me veo,I see myself,我看到了我自己,wǒ kàn dào le wǒ zì jǐ,Eu me vejo
me gusta,I like it,我喜欢,wǒ xǐ huān,Eu gosto disso
te duchas,you shower,你洗澡,nǐ xǐ zǎo,você toma banho
te gusta,you like,你喜欢,nǐ xǐ huān,você gosta
se peina,combs hair,梳头发,shū tóu fà,penteia o cabelo
se levanta,gets up,起床,qǐ chuáng,levanta
nos vamos,we're leaving,我们要走了,wǒ men yào zǒu le,estamos indo embora
nos gusta,we like,我们喜欢,wǒ men xǐ huān,nós gostamos
os arregláis,you get ready,你们准备好,nǐ men zhǔn bèi hǎo,você gerencia
os gusta,you like it,你喜欢,nǐ xǐ huān,você gostou
hay que lavarse,you have to wash,你必须洗,nǐ bì xū xǐ,você tem que lavar
antes de lavarse,before washing,洗涤前,xǐ dí qián,antes de lavar
hay que acostarse,you have to go to bed,你必须去睡觉了,nǐ bì xū qù shuì jiào le,você tem que ir para a cama
después de acostarse,after going to bed,上床睡觉后,shàng chuáng shuì jiào hòu,depois de ir para a cama
hay que sentarse,you have to sit,你必须坐下,nǐ bì xū zuò xià,você tem que sentar
al sentarse,when sitting,坐着时,zuò zhe shí,ao sentar
hay que peinarse,you have to comb your hair,你必须梳头,nǐ bì xū shū tóu,você tem que pentear o cabelo
antes de peinarse,before combing hair,梳头前,shū tóu qián,antes de pentear o cabelo
hay que afeitarse,you have to shave,你必须刮胡子,nǐ bì xū guā hú zi,você tem que fazer a barba
después de afeitarse,after shaving,剃须后,tì xū hòu,depois de fazer a barba
hay que maquillarse,you have to put on makeup,你必须化妆,nǐ bì xū huà zhuāng,você tem que se maquiar
antes de maquillarse,before putting on makeup,化妆前,huà zhuāng qián,antes de se maquiar
hay que bañarse,you have to bathe,你必须洗澡,nǐ bì xū xǐ zǎo,você tem que tomar banho
después de bañarse,after bathing,沐浴后,mù yù hòu,depois do banho
hay que cepillarse,you have to brush,你得刷,nǐ dé shuā,você tem que escovar
antes de cepillarse,before brushing,刷牙前,shuā yá qián,antes de escovar
hay que mirarse,you have to look at yourself,你必须审视自己,nǐ bì xū shěn shì zì jǐ,você tem que olhar para si mesmo
al mirarse,when looking at yourself,照镜子时,zhào jìng zi shí,ao olhar para si mesmo
hay que arreglarse,you have to get ready,你必须准备好,nǐ bì xū zhǔn bèi hǎo,temos que consertar isso
antes de arreglarse,before getting ready,准备之前,zhǔn bèi zhī qián,antes de se preparar
hay que prepararse,you have to prepare,你必须准备,nǐ bì xū zhǔn bèi,você tem que se preparar
después de prepararse,after preparing,准备后,zhǔn bèi hòu,depois de preparar
