spanish,english,chinese,pinyin,portuguese
disfruto,I enjoy,我喜欢,wǒ xǐ huān,Eu gosto
disfrutas,you enjoy,你喜欢,nǐ xǐ huān,você gosta
disfruta,enjoy,享受,xiǎng shòu,aproveite
disfrutamos,we enjoy,我们享受,wǒ men xiǎng shòu,nós gostamos
disfrutáis,you enjoy,你喜欢,nǐ xǐ huān,você gosta
disfrutan,enjoy,享受,xiǎng shòu,aproveite
disfrutar,enjoy,享受,xiǎng shòu,aproveite
disfrute,enjoy,享受,xiǎng shòu,aproveite
goce,enjoyment,享受,xiǎng shòu,diversão
placer,pleasure,快乐,kuài lè,prazer
yo disfruto,I enjoy,我喜欢,wǒ xǐ huān,Eu gosto
lo disfruto,I enjoy it,我很享受,wǒ hěn xiǎng shòu,Eu gosto disso
tú disfrutas,you enjoy,你喜欢,nǐ xǐ huān,você gosta
lo disfrutas,you enjoy it,你喜欢它,nǐ xǐ huān tā,você gosta
él disfruta,he enjoys,他喜欢,tā xǐ huān,ele gosta
lo disfruta,enjoy it,享受它,xiǎng shòu tā,aproveite
nosotros disfrutamos,we enjoy,我们享受,wǒ men xiǎng shòu,nós gostamos
lo disfrutamos,we enjoyed it,我们很享受,wǒ men hěn xiǎng shòu,nós gostamos
vosotros disfrutáis,you enjoy,你喜欢,nǐ xǐ huān,você gosta
lo disfrutáis,you enjoy it,你喜欢它,nǐ xǐ huān tā,você gosta
ellos disfrutan,they enjoy,他们喜欢,tā men xǐ huān,eles gostam
lo disfrutan,they enjoy it,他们喜欢它,tā men xǐ huān tā,eles gostam
quiero disfrutar,I want to enjoy,我想享受,wǒ xiǎng xiǎng shòu,Quero aproveitar
voy a disfrutar,I'm going to enjoy,我要享受,wǒ yào xiǎng shòu,Vou aproveitar
el disfrute,the enjoyment,享受,xiǎng shòu,a diversão
para disfrute,for enjoyment,享受,xiǎng shòu,para diversão
el goce,the enjoyment,享受,xiǎng shòu,a diversão
con goce,with enjoyment,享受,xiǎng shòu,com prazer
el placer,the pleasure,乐趣,lè qù,o prazer
un placer,a pleasure,一种乐趣,yī zhǒng lè qù,um prazer
