spanish,english,chinese,pinyin,portuguese
pongo,I put,我把,wǒ bǎ,Eu coloquei
pones,you put,你把,nǐ bǎ,você coloca
pone,puts,投入,tóu rù,coloca
ponemos,we put,我们把,wǒ men bǎ,colocamos
ponéis,you put,你把,nǐ bǎ,você coloca
ponen,they put,他们把,tā men bǎ,eles colocaram
poner,put,把,bǎ,colocar
ponerse,put on,穿上,chuān shàng,colocar
posición,position,位置,wèi zhì,posição
orden,order,顺序,dìng dān,ordem
yo pongo,I put,我把,wǒ bǎ,Eu coloquei
lo pongo,I put it,我把它,wǒ bǎ tā,Eu coloquei
tú pones,you put,你把,nǐ bǎ,você coloca
dónde pones,where do you put,你把,nǐ bǎ,onde você coloca
él pone,he puts,他放,tā fàng,ele coloca
lo pone,puts it,放它,fàng tā,coloca
nosotros ponemos,we put,我们把,wǒ men bǎ,colocamos
lo ponemos,we put it,我们把它,wǒ men bǎ tā,nós colocamos
vosotros ponéis,you put,你把,nǐ bǎ,você coloca
dónde ponéis,where do you put,你把,nǐ bǎ,onde você coloca
ellos ponen,they put,他们放,tā men fàng,eles colocaram
lo ponen,they put it,他们放它,tā men fàng tā,eles colocaram
voy a poner,I'm going to put,我要把,wǒ yào bǎ,Vou colocar
hay que poner,you have to put,你必须把,nǐ bì xū bǎ,você tem que colocar
hay que ponerse,you have to wear,你必须穿,nǐ bì xū chuān,você tem que usar
antes de ponerse,before putting on,穿上之前,chuān shàng zhī qián,antes de colocar
la posición,the position,位置,wèi zhì,a posição
en posición,in position,就位,jiù wèi,em posição
en orden,in order,按顺序,àn shùn xù,em ordem
poner en orden,to put in order,整理,zhěng lǐ,limpo
