spanish,english,chinese,pinyin,portuguese
duermo,I sleep,我睡觉,wǒ shuì jiào,Eu durmo
duermes,you sleep,你睡觉,nǐ shuì jiào,você dorme
duerme,he/she sleeps,睡觉,shuì jiào,dormir
dormimos,we sleep,我们睡觉,wǒ men shuì jiào,nós dormimos
dormís,you sleep,你睡觉,nǐ shuì jiào,você dorme
duermen,they sleep,他们睡觉,tā men shuì jiào,eles dormem
dormir,sleep,睡觉,shuì jiào,dormir
siesta,nap,午睡,wǔ shuì,cochilo
roncar,snore,打鼾,dǎ hān,roncar
insomnio,insomnia,失眠,shī mián,insônia
yo duermo,I sleep,我睡觉,wǒ shuì jiào,Eu durmo
duermo bien,I sleep well,我睡得很好,wǒ shuì dé hěn hǎo,Durmo bem
tú duermes,you sleep,你睡觉,nǐ shuì jiào,você dorme
cómo duermes,how do you sleep,你睡得怎么样,nǐ shuì dé zěn me yàng,como você dorme
él duerme,he sleeps,他睡觉了,tā shuì jiào le,ele dorme
duerme mucho,sleeps a lot,睡很多,shuì hěn duō,dorme muito
nosotros dormimos,we sleep,我们睡觉,wǒ men shuì jiào,nós dormimos
dormimos poco,we sleep little,我们睡得很少,wǒ men shuì dé hěn shǎo,dormimos pouco
vosotros dormís,you sleep,你睡觉,nǐ shuì jiào,você dorme
cuánto dormís,how much do you sleep,你睡了多少时间,nǐ shuì le duō shǎo shí jiān,quanto você dorme
ellos duermen,they sleep,他们睡觉,tā men shuì jiào,eles dormem
ya duermen,they are already sleeping,他们已经在睡觉,tā men yǐ jīng zài shuì jiào,eles já estão dormindo
voy a dormir,I'm going to sleep,我要睡觉了,wǒ yào shuì jiào le,Vou dormir
quiero dormir,I want to sleep,我想睡觉,wǒ xiǎng shuì jiào,Eu quero dormir
una siesta,a nap,打个盹,dǎ gè dǔn,uma soneca
la siesta,the nap,午睡,wǔ shuì,a soneca
suele roncar,usually snores,通常打鼾,tōng cháng dǎ hān,geralmente ronca
deja de roncar,stop snoring,停止打鼾,tíng zhǐ dǎ hān,pare de roncar
tengo insomnio,I have insomnia,我失眠了,wǒ shī mián le,Estou com insônia
el insomnio,insomnia,失眠,shī mián,insônia
