spanish,english,chinese,pinyin,portuguese
aspecto,aspect,外表,wài biǎo,aspecto
guapo,handsome,帅气,shuài qì,lindo
hermoso,beautiful,美丽,měi lì,lindo
atractivo,attractive,有吸引力,yǒu xī yǐn lì,atraente
elegante,elegant,优雅,yōu yǎ,elegante
informal,informal,非正式,fēi zhèng shì,informais
belleza,beauty,美丽,měi lì,beleza
estilo,style,风格,fēng gé,estilo
moda,fashion,时尚,shí shàng,moda
peinado,hairstyle,发型,fà xíng,penteado
barba,beard,胡子,hú zi,barba
bigote,mustache,小胡子,xiǎo hú zi,bigode
delgado,thin,瘦,báo,fino
gordo,fat,胖,pàng,gordo
musculoso,muscular,肌肉发达,jī ròu fā dá,musculoso
calvo,bald,秃头,tū tóu,careca
cabello,hair,头发,tóu fà,cabelo
cejas,eyebrows,眉毛,méi máo,sobrancelhas
pestañas,eyelashes,睫毛,jié máo,cílios
el aspecto,the aspect,方面,fāng miàn,o aspecto
buen aspecto,good looking,好看,hǎo kàn,bonito
muy guapo,very handsome,很帅,hěn shuài,muito lindo
es guapo,he is handsome,他很帅,tā hěn shuài,ele é lindo
muy hermoso,very beautiful,非常漂亮,fēi cháng piào liàng,muito lindo
es hermoso,it's beautiful,很漂亮,hěn piào liàng,é lindo
muy atractivo,very attractive,非常有吸引力,fēi cháng yǒu xī yǐn lì,muito atraente
es atractivo,is attractive,很有吸引力,hěn yǒu xī yǐn lì,é atraente
muy elegante,very elegant,非常优雅,fēi cháng yōu yǎ,muito elegante
es elegante,It's elegant,很优雅,hěn yōu yǎ,É elegante
muy informal,very informal,非常非正式,fēi cháng fēi zhèng shì,muito informal
es informal,is informal,是非正式的,shì fēi zhèng shì de,é informal
la belleza,beauty,美丽,měi lì,beleza
con belleza,with beauty,与美丽,yǔ měi lì,com beleza
el estilo,the style,风格,fēng gé,o estilo
con estilo,stylish,时尚,shí shàng,estiloso
la moda,fashion,时尚,shí shàng,moda
de moda,fashionable,时尚,shí shàng,na moda
el peinado,the hairstyle,发型,fà xíng,o penteado
un peinado,a hairstyle,发型,fà xíng,um penteado
la barba,the beard,胡子,hú zi,a barba
con barba,with beard,有胡子,yǒu hú zi,com barba
el bigote,the mustache,小胡子,xiǎo hú zi,o bigode
con bigote,with mustache,留着小胡子,liú zhe xiǎo hú zi,com bigode
muy delgado,very thin,很瘦,hěn báo,muito fino
es delgado,is thin,很瘦,hěn báo,é magro
muy gordo,very fat,很胖,hěn pàng,muito gordo
es gordo,is fat,胖了,pàng le,é gordo
muy musculoso,very muscular,非常肌肉,fēi cháng jī ròu,muito musculoso
es musculoso,is muscular,肌肉发达,jī ròu fā dá,é musculoso
es calvo,is bald,秃头了,tū tóu le,é careca
está calvo,is bald,秃头了,tū tóu le,é careca
el cabello,hair,头发,tóu fà,cabelo
su cabello,her hair,她的头发,tā de tóu fà,o cabelo dela
las cejas,eyebrows,眉毛,méi máo,sobrancelhas
sus cejas,his eyebrows,他的眉毛,tā de méi máo,as sobrancelhas dele
las pestañas,the eyelashes,睫毛,jié máo,os cílios
sus pestañas,your eyelashes,你的睫毛,nǐ de jié máo,seus cílios
