spanish,english,chinese,pinyin,portuguese
comida,meal,一顿饭,yī dùn fàn,refeição
agua,water,水,shuǐ,água
pan,bread,面包,miàn bāo,pão
leche,milk,牛奶,niú nǎi,leite
café,coffee,咖啡,kā fēi,café
té,tea,茶,chá,chá
fruta,fruit,水果,shuǐ guǒ,fruta
manzana,apple,苹果,píng guǒ,maçã
plátano,banana,香蕉,xiāng jiāo,banana
arroz,rice,米,mǐ,arroz
pasta,pasta,意大利面,yì dà lì miàn,massa
carne,meat,肉,ròu,carne
pollo,chicken,鸡,jī,frango
pescado,fish,鱼,yú,peixe
huevos,eggs,鸡蛋,jī dàn,ovos
queso,cheese,奶酪,nǎi lào,queijo
ensalada,salad,沙拉,shā lā,salada
tomate,tomato,番茄,fān qié,tomate
patatas,potatoes,土豆,tǔ dòu,batatas
galleta,cookie,曲奇饼,qū qí bǐng,biscoito
buena comida,good food,好吃的食物,hǎo chī de shí wù,boa comida
la comida,the food,食物,shí wù,a comida
el agua,the water,水,shuǐ,a água
agua fría,cold water,冷水,lěng shuǐ,água fria
el pan,the bread,面包,miàn bāo,o pão
pan fresco,fresh bread,新鲜面包,xīn xiān miàn bāo,pão fresco
la leche,milk,牛奶,niú nǎi,leite
leche fría,cold milk,冷牛奶,lěng niú nǎi,leite frio
el café,the coffee,咖啡,kā fēi,o café
café caliente,hot coffee,热咖啡,rè kā fēi,café quente
el té,the tea,茶,chá,o chá
té verde,green tea,绿茶,lǜ chá,Chá verde
la fruta,the fruit,水果,shuǐ guǒ,a fruta
fruta fresca,fresh fruit,新鲜水果,xīn xiān shuǐ guǒ,fruta fresca
la manzana,the apple,苹果,píng guǒ,a maçã
manzana roja,red apple,红苹果,hóng píng guǒ,maçã vermelha
el plátano,the banana,香蕉,xiāng jiāo,a banana
plátano maduro,ripe banana,熟香蕉,shú xiāng jiāo,banana madura
el arroz,the rice,米饭,mǐ fàn,o arroz
arroz blanco,white rice,白米饭,bái mǐ fàn,arroz branco
la pasta,the pasta,意大利面,yì dà lì miàn,o macarrão
pasta italiana,italian pasta,意大利面食,yì dà lì miàn shí,macarrão italiano
la carne,the meat,肉,ròu,a carne
carne roja,red meat,红肉,hóng ròu,carne vermelha
el pollo,the chicken,鸡,jī,o frango
pollo frito,fried chicken,炸鸡,zhà jī,frango frito
el pescado,the fish,鱼,yú,o peixe
pescado fresco,fresh fish,新鲜的鱼,xīn xiān de yú,peixe fresco
los huevos,the eggs,鸡蛋,jī dàn,os ovos
huevos fritos,fried eggs,煎鸡蛋,jiān jī dàn,ovos fritos
el queso,the cheese,奶酪,nǎi lào,o queijo
queso fresco,fresh cheese,新鲜奶酪,xīn xiān nǎi lào,queijo fresco
la ensalada,the salad,沙拉,shā lā,a salada
ensalada verde,green salad,绿色沙拉,lǜ sè shā lā,salada verde
el tomate,the tomato,番茄,fān qié,o tomate
tomate rojo,red tomato,红番茄,hóng fān qié,tomate vermelho
las patatas,the potatoes,土豆,tǔ dòu,as batatas
patatas fritas,fries,薯条,shǔ tiáo,batatas fritas
la galleta,the cookie,饼干,bǐng gān,o biscoito
galleta dulce,sweet cookie,甜饼干,tián bǐng gān,biscoito doce
