spanish,english,chinese,pinyin,portuguese
uso,use,使用,shǐ yòng,uso
usas,you use,你使用,nǐ shǐ yòng,você usa
usa,use,使用,shǐ yòng,usar
usamos,we use,我们使用,wǒ men shǐ yòng,usamos
usáis,you use,你们使用,nǐ men shǐ yòng,vocês usam
usan,use,使用,shǐ yòng,usar
usar,use,使用,shǐ yòng,usar
utilidad,utility,用途,yòng tú,utilidade
utilizar,use,使用,shǐ yòng,usar
emplear,use,使用,shǐ yòng,usar
yo uso,I use,我用,wǒ yòng,Eu uso
lo uso,I use it,我用它,wǒ yòng tā,Eu uso
tú usas,you use,你使用,nǐ shǐ yòng,você usa
qué usas,what do you use,你用什么,nǐ yòng shén me,o que você usa
él usa,he uses,他使用,tā shǐ yòng,ele usa
lo usa,uses it,使用它,shǐ yòng tā,usa
nosotros usamos,we use,我们使用,wǒ men shǐ yòng,usamos
lo usamos,we use it,我们用它,wǒ men yòng tā,nós usamos
vosotros usáis,you use,你们使用,nǐ men shǐ yòng,vocês usam
qué usáis,what do you use,你们用什么,nǐ men yòng shén me,o que vocês usam
ellos usan,they use,他们使用,tā men shǐ yòng,eles usam
lo usan,they use it,他们使用它,tā men shǐ yòng tā,eles usam
quiero usar,I want to use,我想用,wǒ xiǎng yòng,Eu quero usar
voy a usar,I'm going to use,我将使用,wǒ jiāng shǐ yòng,Vou usar
la utilidad,the utility,实用程序,shí yòng chéng xù,a utilidade
mucha utilidad,very useful,非常有用,fēi cháng yǒu yòng,muito útil
hay que utilizar,you have to use,你必须使用,nǐ bì xū shǐ yòng,você tem que usar
voy a utilizar,I'm going to use,我将使用,wǒ jiāng shǐ yòng,Vou usar
hay que emplear,you have to use,你必须使用,nǐ bì xū shǐ yòng,você tem que usar
voy a emplear,I'm going to employ,我要雇用,wǒ yào gù yòng,vou empregar
