spanish,english,chinese,pinyin,portuguese
vendré,I will come,我会来,wǒ huì lái,Eu irei
vendrás,you will come,你会来,nǐ huì lái,você virá
vendrá,will come,会来,huì lái,virá
vendremos,we will come,我们会来,wǒ men huì lái,nós iremos
vendréis,you will come,你会来,nǐ huì lái,você virá
vendrán,they will come,他们会来,tā men huì lái,eles virão
haré,I will do,我会,wǒ huì,Eu vou
harás,you will do,你会做,nǐ huì zuò,você vai fazer
hará,will do,将会,jiāng huì,vai
haremos,we will do,我们会,wǒ men huì,nós vamos
haréis,you will do,你会做,nǐ huì zuò,você vai fazer
harán,they will do,他们会,tā men huì,eles vão
tendré,I will have,我会有,wǒ huì yǒu,Eu terei
tendrás,you will have,你将会有,nǐ jiāng huì yǒu,você terá
tendrá,will have,会有,huì yǒu,terá
tendremos,we will have,我们将会有,wǒ men jiāng huì yǒu,teremos
tendréis,you will have,你将会有,nǐ jiāng huì yǒu,você terá
tendrán,will have,会有,huì yǒu,terá
yo vendré,I will come,我会来,wǒ huì lái,Eu irei
vendré mañana,I will come tomorrow,我明天就来,wǒ míng tiān jiù lái,Eu irei amanhã
tú vendrás,you will come,你会来,nǐ huì lái,você virá
vendrás mañana,you will come tomorrow,你明天会来,nǐ míng tiān huì lái,você virá amanhã
él vendrá,he will come,他会来,tā huì lái,ele virá
vendrá mañana,will come tomorrow,明天会来,míng tiān huì lái,virá amanhã
nosotros vendremos,we will come,我们会来,wǒ men huì lái,nós iremos
vendremos mañana,we will come tomorrow,我们明天来,wǒ men míng tiān lái,viremos amanhã
vosotros vendréis,you will come,你会来,nǐ huì lái,você virá
vendréis mañana,you will come tomorrow,你明天会来,nǐ míng tiān huì lái,você virá amanhã
ellos vendrán,they will come,他们会来,tā men huì lái,eles virão
vendrán mañana,they will come tomorrow,他们明天会来,tā men míng tiān huì lái,eles virão amanhã
yo haré,I will do,我会,wǒ huì,Eu vou
haré eso,I'll do that,我会这么做,wǒ huì zhè me zuò,Eu farei isso
tú harás,you will do,你会做,nǐ huì zuò,você vai fazer
harás eso,you will do that,你会这样做吗,nǐ huì zhè yàng zuò ma,você vai fazer isso
él hará,he will do,他会,tā huì,ele vai
hará eso,will do that,会这样做,huì zhè yàng zuò,vou fazer isso
nosotros haremos,we will do,我们会,wǒ men huì,nós vamos
haremos eso,we will do that,我们会这么做,wǒ men huì zhè me zuò,faremos isso
vosotros haréis,you will do,你会做,nǐ huì zuò,você vai fazer
haréis eso,you will do that,你会这么做的,nǐ huì zhè me zuò de,você vai fazer isso
ellos harán,they will do,他们会,tā men huì,eles vão
harán eso,they will do that,他们会那样做,tā men huì nà yàng zuò,eles farão isso
yo tendré,I will have,我会有,wǒ huì yǒu,Eu terei
tendré tiempo,I will have time,我会有时间,wǒ huì yǒu shí jiān,Terei tempo
tú tendrás,you will have,你将会有,nǐ jiāng huì yǒu,você terá
tendrás tiempo,you will have time,你会有时间,nǐ huì yǒu shí jiān,você terá tempo
él tendrá,he will have,他将会有,tā jiāng huì yǒu,ele terá
tendrá tiempo,will have time,有时间,yǒu shí jiān,vai ter tempo
nosotros tendremos,we will have,我们将会有,wǒ men jiāng huì yǒu,teremos
tendremos tiempo,we will have time,我们会有时间,wǒ men huì yǒu shí jiān,teremos tempo
vosotros tendréis,you will have,你将会有,nǐ jiāng huì yǒu,você terá
tendréis tiempo,you will have time,你会有时间,nǐ huì yǒu shí jiān,você terá tempo
ellos tendrán,they will have,他们将有,tā men jiāng yǒu,eles terão
tendrán tiempo,they will have time,他们会有时间,tā men huì yǒu shí jiān,eles terão tempo
