spanish,english,chinese,pinyin,portuguese
grande,big,大的,dà de,grande
pequeño,little,小的,xiǎo de,pequeno
alto,high,高的,gāo de,alto
flaco,skinny,瘦的,shòu de,magrelo
largo,long,长的,zhǎng de,longo
corto,short,短的,duǎn de,curto
ancho,wide,广阔,guǎng kuò,largo
estrecho,narrow,狭窄的,xiá zhǎi de,estreito
nuevo,new,新的,xīn de,novo
viejo,old,老的,lǎo de,velho
joven,young,年轻的,nián qīng de,jovem
bueno,good,好的,hǎo de,bom
malo,bad,坏的,huài de,ruim
fácil,easy,简单的,jiǎn dān de,fácil
difícil,difficult,难的,nán de,difícil
rápido,fast,快速地,kuài sù dì,rápido
lento,slow,慢的,màn de,lento
bonito,pretty,漂亮的,piào liàng de,bonito
feo,ugly,丑陋的,chǒu lòu de,feio
casa grande,big house,大房子,dà fáng zi,casa grande
familia grande,big family,大家庭,dà jiā tíng,grande família
desde pequeño,since childhood,从小,cóng xiǎo,desde a infância
un pequeño error,a small mistake,一个小错误,yí gè xiǎo cuò wù,um pequeno erro
muy alto,very high,非常高,fēi cháng gāo,muito alto
precio alto,high price,高价,gāo jià,preço alto
muy flaco,very skinny,很瘦,hěn shòu,muito magro
demasiado flaco,too skinny,太瘦了,tài shòu le,muito magro
día largo,long day,漫长的一天,màn cháng de yī tiān,dia longo
camino largo,long road,漫长的路,màn cháng de lù,longo caminho
pelo corto,short hair,短发,duǎn fà,cabelo curto
tiempo corto,short time,短时间,duǎn shí jiān,pouco tempo
muy ancho,very wide,很宽,hěn kuān,muito amplo
camino ancho,wide road,宽阔的道路,kuān kuò de dào lù,estrada larga
muy estrecho,very narrow,很窄,hěn zhǎi,muito estreito
pasillo estrecho,narrow hallway,狭窄的走廊,xiá zhǎi de zǒu láng,corredor estreito
coche nuevo,new car,新车,xīn chē,carro novo
de nuevo,again,再次,zài cì,de novo
amigo viejo,old friend,老朋友,lǎo péng yǒu,velho amigo
el más viejo,the oldest,最古老的,zuì gǔ lǎo de,o mais antigo
muy joven,very young,很年轻,hěn nián qīng,muito jovem
gente joven,young people,年轻人,nián qīng rén,jovens
qué bueno,how good,出色的,chū sè de,excelente
es bueno,it's good,很好,hěn hǎo,é bom
qué malo,how bad,多么糟糕,duō me zāo gāo,quão ruim
es malo,it's bad,这很糟糕,zhè hěn zāo gāo,É ruim
parece fácil,seems easy,看起来很容易,kàn qǐ lái hěn róng yì,parece fácil
nada fácil,not easy,不容易,bù róng yì,não é fácil
momento difícil,difficult moment,困难的时刻,kùn nán de shí kè,momento difícil
situación difícil,difficult situation,困难的处境,kùn nán de chǔ jìng,situação difícil
muy rápido,very fast,非常快,fēi cháng kuài,muito rápido
coche rápido,fast car,快车,kuài chē,carro rápido
a fuego lento,over low heat,小火,xiǎo huǒ,em fogo baixo
proceso lento,slow process,缓慢的过程,huǎn màn de guò chéng,processo lento
qué bonito,how beautiful,多么美丽,duō me měi lì,que lindo
lugar bonito,nice place,好地方,hǎo dì fāng,lugar legal
qué feo,how ugly,多么丑陋,duō me chǒu lòu,que feio
tiempo feo,ugly weather,恶劣的天气,è liè de tiān qì,clima feio
