spanish,english,chinese,pinyin,portuguese
ir,go,去,qù,ir
voy,go,去,qù,vou
vas,you go,你去,nǐ qù,você vai
va,goes,去,qù,vai
vamos,let's go,快点,kuài diǎn,vamos
vais,you go,你去,nǐ qù,você vai
van,they go,他们走了,tā men zǒu le,eles vão
destino,destination,目的地,mù dì dì,destino
dirección,direction,地址,dì zhǐ,endereço
camino,path,小路,xiǎo lù,caminho
ruta,route,路线,lù xiàn,rota
paseo,walk,走,zǒu,andar
visita,visit,访问,fǎng wèn,visita
excursión,excursion,游览,yóu lǎn,excursão
trayecto,journey,旅行,lǚ xíng,jornada
vamos a ir,let's go,我们走吧,wǒ men zǒu ba,vamos
quiero ir,I want to go,我想去,wǒ xiǎng qù,eu quero ir
yo voy,I'm going,我来了,wǒ lái le,Estou chegando
voy a casa,I'm going home,我要回家了,wǒ yào huí jiā le,estou indo para casa
tú vas,you go,你去,nǐ qù,você vai
dónde vas,where are you going,你要去哪里,nǐ yào qù nǎ lǐ,onde você está indo
él va,he goes,他走了,tā zǒu le,ele vai
cómo va,how is it going,最近好吗,zuì jìn hǎo ma,Como vão as coisas
nosotros vamos,we go,我们走,wǒ men zǒu,nós vamos
vamos a ver,let's see,让我们来看看,ràng wǒ men lái kàn kàn,vamos ver
vosotros vais,you go,你们去,nǐ men qù,você vai
dónde vais,where are you going,你要去哪里,nǐ yào qù nǎ lǐ,onde você está indo
ellos van,they go,他们走了,tā men zǒu le,eles vão
dónde van,where are they going,他们要去哪里,tā men yào qù nǎ lǐ,para onde eles estão indo
el destino,the destination,目的地,mù dì dì,destino
mi destino,my destiny,我的命运,wǒ de mìng yùn,meu destino
la dirección,the address,地址,dì zhǐ,o endereço
en dirección,in direction,方向,fāng xiàng,na direção
el camino,the path,路径,lù jìng,o caminho
en camino,on the way,在路上,zài lù shàng,no caminho
la ruta,the route,路线,lù xiàn,a rota
mi ruta,my route,我的路线,wǒ de lù xiàn,minha rota
el paseo,the walk,步行,bù xíng,a caminhada
dar un paseo,take a walk,散步,sàn bù,dar um passeio
la visita,the visit,这次访问,zhè cì fǎng wèn,a visita
de visita,visiting,来访,lái fǎng,visitando
la excursión,the excursion,游览,yóu lǎn,a excursão
de excursión,tour,旅游,lǚ yóu,percorrer
el trayecto,the journey,旅程,lǚ chéng,a jornada
largo trayecto,long journey,长途旅行,cháng tú lǚ xíng,longa jornada
