english,chinese,pinyin,spanish,portuguese
compatible,兼容,jiān róng,compatibles,compatível
acquiesce,默许,mò xǔ,consentir,aquiescer
endorse,赞同,zàn tóng,respaldar,endossar
contradict,矛盾,máo dùn,contradecir,contradiz
reject,拒绝,jù jué,rechazar,rejeitar
refuse,拒绝,jù jué,rechazar,recusar
capitulate,投降,tóu xiáng,capitular,capitular
unite,团结,tuán jié,unir,unir
divide,分裂,fēn liè,dividir,dividir
harmony,和谐,hé xié,armonía,harmonia
accord,一致,yí zhì,acuerdo,acordo
discord,不和谐,bù hé xié,discordia,discórdia
common,共同,gòng tóng,común,comum
concur,同意,tóng yì,de acuerdo,concordo
differ,不同,bù tóng,difieren,diferem
align,对齐,duì qí,alinear,alinhar
clash,冲突,chōng tū,choque,confronto
approve,批准,pī zhǔn,aprobar,aprovar
dissent,异议,yì yì,disidencia,dissidência
assent,同意,tóng yì,consentimiento,consentimento
fully compatible,完全兼容,wán quán jiān róng,totalmente compatible,totalmente compatível
compatible with,与,yǔ,compatible con,compatível com
acquiesce to,默许,mò xǔ,aceptar,concordar com
reluctantly acquiesce,勉强默许,miǎn qiǎng mò xǔ,aceptar de mala gana,aquiesce relutantemente
endorse product,认可产品,rèn kě chǎn pǐn,respaldar el producto,endossa o produto
endorse candidate,支持候选人,zhī chí hòu xuǎn rén,respaldar al candidato,endossa candidato
contradict yourself,自相矛盾,zì xiāng máo dùn,contradecirte,contradiga-se
contradict statement,与陈述相矛盾,yǔ chén shù xiāng máo dùn,declaración contradictoria,contradiz a afirmação
reject offer,拒绝报价,jù jué bào jià,rechazar oferta,rejeitar oferta
reject proposal,拒绝提案,jù jué tí àn,rechazar propuesta,rejeitar proposta
refuse to,拒绝,jù jué,negarse a,recusar
refuse request,拒绝请求,jù jué qǐng qiú,rechazar solicitud,recusar pedido
capitulate to,屈服于,qū fú yú,capitular ante,capitular para
finally capitulate,终于投降,zhōng yú tóu xiáng,capitular finalmente,finalmente capitular
unite together,团结起来,tuán jié qǐ lái,unirnos,unir-se
unite behind,团结起来,tuán jié qǐ lái,unirnos detrás,uni-vos atrás
divide evenly,均分,jūn fēn,dividir en partes iguales,dividir uniformemente
divide between,分开,fēn kāi,dividir entre,dividir entre
in harmony,之间和谐,zhī jiān hé xié,en armonía,em harmonia
harmony with,与,yǔ,armonía con,harmonia com
in accord,协调一致,xié tiáo yí zhì,de acuerdo,de acordo
accord with,符合,fú hé,de acuerdo con,de acordo com
create discord,制造不和,zhì zào bù hé,crear discordia,criar discórdia
discord between,双方之间的不和,shuāng fāng zhī jiān de bù hé,discordia entre,discórdia entre
common ground,共同点,gòng tóng diǎn,terreno común,pontos em comum
common interest,共同利益,gòng tóng lì yì,interés común,interesse comum
concur with,同意,tóng yì,de acuerdo con,concordo com
I concur,我同意,wǒ tóng yì,Estoy de acuerdo,Eu concordo
differ from,不同于,bù tóng yú,difieren de,difere de
beg to differ,不敢苟同,bù gǎn gǒu tóng,No estoy de acuerdo,discordo
align with,与,yǔ,alinearse con,alinhar com
align interests,协调利益,xié tiáo lì yì,alinear intereses,alinhar interesses
clash with,与,yǔ,chocar con,colidir com
personality clash,性格冲突,xìng gé chōng tū,choque de personalidades,choque de personalidade
approve of,赞同,zàn tóng,aprobar,aprovar
approve request,批准请求,pī zhǔn qǐng qiú,aprobar solicitud,aprovar solicitação
voice dissent,表达异议,biǎo dá yì yì,expresar desacuerdo,dissidência de voz
dissent from,反对,fǎn duì,desacuerdo con,dissidência de
give assent,同意,tóng yì,dar su consentimiento,dar consentimento
assent to,同意,tóng yì,asentimiento a,consentimento para
