english,chinese,pinyin,spanish,portuguese
red,红色的,hóng sè de,rojo,vermelho
blue,蓝色的,lán sè de,azul,azul
green,绿色的,lǜ sè de,verde,verde
orange,橙子,chéng zi,naranja,laranja
yellow,黄色的,huáng sè de,amarillo,amarelo
purple,紫色的,zǐ sè de,púrpura,roxo
pink,粉色的,fěn sè de,rosa,rosa
black,黑色的,hēi sè de,negro,preto
white,白色的,bái sè de,blanco,branco
gray,灰色的,huī sè de,gris,cinza
brown,棕色的,zōng sè de,marrón,marrom
gold,金子,jīn zi,oro,ouro
silver,银,yín,plata,prata
dark,黑暗的,hēi àn de,oscuro,escuro
light,光,guāng,luz,luz
bright,明亮的,míng liàng de,brillante,brilhante
color,颜色,yán sè,color,cor
tan,晒黑,shài hēi,broncearse,bronzeado
beige,浅褐色的,qiǎn hè sè de,beige,bege
navy,海军,hǎi jūn,marina de guerra,marinha
red light,红灯,hóng dēng,luz roja,luz vermelha
red rose,红玫瑰,hóng méi guī,rosa roja,rosa vermelha
blue ocean,蓝色海洋,lán sè hǎi yáng,océano azul,oceano azul
feeling blue,感觉忧郁,gǎn jué yōu yù,sintiéndose azul,sentindo-se triste
green light,绿灯,lǜ dēng,luz verde,luz verde
green tea,绿茶,lǜ chá,té verde,Chá verde
orange juice,橙汁,chéng zhī,zumo de naranja,suco de laranja
orange peel,橘子皮,jú zi pí,cáscara de naranja,casca de laranja
yellow cab,黄色出租车,huáng sè chū zū chē,taxi amarillo,táxi amarelo
yellow pages,黄页,huáng yè,Páginas Amarillas,páginas amarelas
purple rain,紫色的雨,zǐ sè de yǔ,lluvia morada,chuva roxa
royal purple,皇家紫,huáng jiā zǐ,púrpura real,roxo real
pink rose,粉红玫瑰,fěn hóng méi guī,rosa rosa,rosa rosa
pretty in pink,粉红色的漂亮,fěn hóng sè de piào liàng,bonita en rosa,linda de rosa
black coffee,黑咖啡,hēi kā fēi,café negro,café preto
black and white,黑色和白色,hēi sè hé bái sè,en blanco y negro,preto e branco
white wine,白葡萄酒,bái pú táo jiǔ,vino blanco,vinho branco
pure white,纯白色,chún bái sè,blanco puro,branco puro
gray area,灰色地带,huī sè dì dài,zona gris,área cinzenta
gray hair,白发,bái fà,pelo gris,cabelos grisalhos
brown sugar,红糖,hóng táng,azúcar moreno,açúcar mascavo
brown eyes,棕色的眼睛,zōng sè de yǎn jīng,ojos marrones,olhos castanhos
solid gold,足金,zú jīn,oro macizo,ouro maciço
gold ring,金戒指,jīn jiè zhǐ,anillo de oro,anel de ouro
silver screen,银幕,yín mù,pantalla plateada,tela prateada
silver lining,一线希望,yī xiàn xī wàng,resquicio de esperanza,forro de prata
dark side,黑暗面,hēi àn miàn,lado oscuro,lado negro
dark night,黑夜,hēi yè,noche oscura,noite escura
light blue,浅蓝色,qiǎn lán sè,azul claro,azul claro
light switch,电灯开关,diàn dēng kāi guān,interruptor de luz,interruptor de luz
bright idea,好主意,hǎo zhǔ yì,idea brillante,ideia brilhante
bright future,光明的未来,guāng míng de wèi lái,futuro brillante,futuro brilhante
what color,什么颜色,shén me yán sè,de que color,que cor
favorite color,最喜欢的颜色,zuì xǐ huān de yán sè,color favorito,cor favorita
tan line,棕褐色线,zōng hè sè xiàn,línea de bronceado,linha bronzeada
golden tan,金棕褐色,jīn zōng hè sè,bronceado dorado,bronzeado dourado
beige color,米色,mǐ sè,color beige,cor bege
beige walls,米色墙壁,mǐ sè qiáng bì,paredes color beige,paredes bege
navy blue,海军蓝,hǎi jūn lán,Azul marino,azul-marinho
navy ship,海军舰艇,hǎi jūn jiàn tǐng,barco de la marina,navio da marinha
