english,chinese,pinyin,spanish,portuguese
I'm,我是,wǒ shì,Soy,Eu sou
you're,你是,nǐ shì,eres,você é
he's,他是,tā shì,él es,ele é
she's,她是,tā shì,ella es,ela é
it's,它是,tā shì,es,é
we're,我们是,wǒ men shì,somos,nós somos
they're,他们是,tā men shì,ellos son,eles são
I've,我已经,wǒ yǐ jīng,he,eu tenho
you've,你已经,nǐ yǐ jīng,has,você tem
we've,我们已经,wǒ men yǐ jīng,hemos,nós temos
they've,他们已经,tā men yǐ jīng,han,eles têm
I'll,我会,wǒ huì,voy a,eu vou
you'll,你会,nǐ huì,vas a,você vai
he'll,他会,tā huì,él va a,ele vai
she'll,她会,tā huì,ella va a,ela vai
we'll,我们会,wǒ men huì,vamos a,nós vamos
they'll,他们会,tā men huì,van a,eles vão
I'd,我会,wǒ huì,yo haría,eu faria
you'd,你会,nǐ huì,tú harías,você faria
we'd,我们会,wǒ men huì,nosotros haríamos,nós faríamos
I'm here,我在这里,wǒ zài zhè lǐ,Estoy aquí,Estou aqui
I'm sorry,对不起,duì bù qǐ,Lo lamento,Desculpe
you're kidding,你在开玩笑吧,nǐ zài kāi wán xiào ba,estás bromeando,você está brincando
you're right,你说得对,nǐ shuō dé duì,tienes razón,você tem razão
he's coming,他来了,tā lái le,él viene,ele está vindo
he's here,他在这里,tā zài zhè lǐ,él está aquí,ele está aqui
she's coming,她来了,tā lái le,ella viene,ela está vindo
she's here,她在这里,tā zài zhè lǐ,ella está aquí,ela está aqui
it's okay,没关系,méi guān xì,está bien,tudo bem
it's time,是时候了,shì shí hòu le,es hora,está na hora
we're here,我们在这里,wǒ men zài zhè lǐ,estamos aquí,estamos aqui
we're ready,我们准备好了,wǒ men zhǔn bèi hǎo le,estamos listos,estamos prontos
they're coming,他们来了,tā men lái le,ellos vienen,eles estão vindo
they're here,他们在这里,tā men zài zhè lǐ,ellos están aquí,eles estão aqui
I've been there,我去过那里,wǒ qù guò nà lǐ,he estado allí,eu estive lá
I've got it,我已经拿到了,wǒ yǐ jīng ná dào le,lo tengo,eu entendi
you've got mail,你有封信,nǐ yǒu fēng xìn,Tienes correo,Você tem correio
you've been great,你很棒,nǐ hěn bàng,has sido genial,você tem sido ótimo
we've been waiting,我们一直在等待,wǒ men yì zhí zài děng dài,hemos estado esperando,estávamos esperando
we've got time,我们有时间,wǒ men yǒu shí jiān,tenemos tiempo,temos tempo
they've been busy,他们很忙,tā men hěn máng,han estado ocupados,eles estiveram ocupados
they've got it,他们已经做到了,tā men yǐ jīng zuò dào le,lo tienen,eles conseguiram
I'll be there,我会在那里,wǒ huì zài nà lǐ,Voy a estar allí,Eu estarei lá
I'll do it,我会做的,wǒ huì zuò de,lo haré,Eu farei isso
you'll see,你会看到,nǐ huì kàn dào,ya verás,você verá
you'll be fine,你会没事的,nǐ huì méi shì de,estarás bien,você vai ficar bem
he'll be back,他会回来的,tā huì huí lái de,él volverá,ele estará de volta
he'll do it,他会做的,tā huì zuò de,él lo hará,ele vai fazer isso
she'll be there,她会在那里,tā huì zài nà lǐ,ella estará allí,ela estará lá
she'll do it,她会做的,tā huì zuò de,ella lo hará,ela vai fazer isso
we'll see,我们会看到,wǒ men huì kàn dào,ya veremos,veremos
we'll be there,我们会在那里,wǒ men huì zài nà lǐ,estaremos allí,estaremos lá
they'll be there,他们会在那里,tā men huì zài nà lǐ,ellos estarán allí,eles estarão lá
they'll come,他们会来,tā men huì lái,ellos vendrán,eles virão
I'd like to,我想,wǒ xiǎng,Me gustaría,Eu gostaria de
I'd rather not,我宁愿不,wǒ nìng yuàn bù,preferiría no,Eu prefiro não
you'd better go,你最好走吧,nǐ zuì hǎo zǒu ba,será mejor que te vayas,é melhor você ir
you'd like it,你会喜欢的,nǐ huì xǐ huān de,te gustaría,você gostaria
we'd like to,我们想,wǒ men xiǎng,nos gustaría,nós gostaríamos de
we'd better hurry,我们最好快点,wǒ men zuì hǎo kuài diǎn,será mejor que nos apresuremos,é melhor nos apressarmos
