english,chinese,pinyin,spanish,portuguese
health,健康,jiàn kāng,salud,saúde
wellness,健康,jiàn kāng,bienestar,bem-estar
symptom,症状,zhèng zhuàng,síntoma,sintoma
diagnosis,诊断,zhěn duàn,diagnóstico,diagnóstico
therapy,治疗,zhì liáo,terapia,terapia
surgery,手术,shǒu shù,cirugía,cirurgia
treatment,治疗,zhì liáo,tratamiento,tratamento
chronic,慢性,màn xìng,crónica,crônica
acute,急性,jí xìng,agudo,agudo
illness,疾病,jí bìng,enfermedad,doença
disease,疾病,jí bìng,enfermedad,doença
recovery,恢复,huī fù,recuperación,recuperação
immune,免疫,miǎn yì,inmune,imune
infection,感染,gǎn rǎn,infección,infecção
medication,药物,yào wù,medicación,medicação
dosage,剂量,jì liàng,dosis,dosagem
allergic,过敏,guò mǐn,alérgico,alérgico
condition,条件,tiáo jiàn,condición,condição
prevention,预防,yù fáng,prevención,prevenção
rehabilitation,康复,kāng fù,rehabilitación,reabilitação
good health,身体健康,shēn tǐ jiàn kāng,buena salud,boa saúde
health benefits,健康益处,jiàn kāng yì chù,beneficios para la salud,benefícios para a saúde
wellness program,健康计划,jiàn kāng jì huà,programa de bienestar,programa de bem-estar
wellness check,健康检查,jiàn kāng jiǎn chá,control de bienestar,verificação de bem-estar
common symptom,常见症状,cháng jiàn zhèng zhuàng,síntoma común,sintoma comum
symptom of,,,síntoma de,sintoma de
early diagnosis,的症状早期诊断,de zhèng zhuàng zǎo qī zhěn duàn,diagnóstico precoz,diagnóstico precoce
diagnosis confirmed,确诊,què zhěn,diagnóstico confirmado,diagnóstico confirmado
physical therapy,物理治疗,wù lǐ zhì liáo,fisioterapia,fisioterapia
therapy session,治疗疗程,zhì liáo liáo chéng,sesión de terapia,sessão de terapia
undergo surgery,接受手术,jiē shòu shǒu shù,someterse a una cirugía,submeter-se a uma cirurgia
surgery recovery,手术恢复,shǒu shù huī fù,recuperación de la cirugía,recuperação cirúrgica
medical treatment,医疗,yī liáo,tratamiento médico,tratamento médico
treatment plan,治疗计划,zhì liáo jì huà,plan de tratamiento,plano de tratamento
chronic pain,慢性疼痛,màn xìng téng tòng,dolor crónico,dor crônica
chronic condition,慢性病,màn xìng bìng,condición crónica,condição crônica
acute pain,急性疼痛,jí xìng téng tòng,dolor agudo,dor aguda
acute illness,急性疾病,jí xìng jí bìng,enfermedad aguda,doença aguda
serious illness,重病,zhòng bìng,enfermedad grave,doença grave
recover from illness,病愈,bìng yù,recuperarse de una enfermedad,recuperar de uma doença
heart disease,心脏病,xīn zàng bìng,enfermedad cardíaca,doença cardíaca
disease prevention,疾病预防,jí bìng yù fáng,prevención de enfermedades,prevenção de doenças
full recovery,完全恢复,wán quán huī fù,recuperación completa,recuperação total
recovery time,恢复时间,huī fù shí jiān,tiempo de recuperación,tempo de recuperação
immune response,免疫反应,miǎn yì fǎn yìng,respuesta inmune,resposta imunológica
immune to,免疫,miǎn yì,inmune a,imune a
bacterial infection,细菌感染,xì jūn gǎn rǎn,infección bacteriana,infecção bacteriana
infection spread,感染传播,gǎn rǎn chuán bō,propagación de la infección,propagação da infecção
take medication,吃药,chī yào,tomar medicamentos,tomar remédio
medication side effects,药物副作用,yào wù fù zuò yòng,efectos secundarios de los medicamentos,efeitos colaterais de medicamentos
recommended dosage,推荐剂量,tuī jiàn jì liàng,dosis recomendada,dosagem recomendada
dosage instructions,剂量说明,jì liàng shuō míng,instrucciones de dosificación,instruções de dosagem
allergic reaction,过敏反应,guò mǐn fǎn yìng,reacción alérgica,reação alérgica
allergic to,对,duì,alérgico a,alérgico a
medical condition,过敏医疗状况,guò mǐn yī liáo zhuàng kuàng,condición médica,condição médica
condition worsened,病情恶化,bìng qíng è huà,la condición empeoró,condição piorou
crime prevention,预防犯罪,yù fáng fàn zuì,prevención del delito,prevenção da criminalidade
prevention is key,预防是关键,yù fáng shì guān jiàn,la prevención es clave,a prevenção é fundamental
physical rehabilitation,身体康复,shēn tǐ kāng fù,rehabilitación física,reabilitação física
rehabilitation center,康复中心,kāng fù zhōng xīn,centro de rehabilitación,centro de reabilitação
