english,chinese,pinyin,spanish,portuguese
weather,天气,tiān qì,clima,clima
sun,太阳,tài yáng,sol,sol
sunny,晴朗,qíng lǎng,soleado,ensolarado
rain,雨,yǔ,lluvia,chuva
rainy,下雨,xià yǔ,lluvioso,chuvoso
snow,雪,xuě,nieve,neve
snowy,下雪的,xià xuě de,nevado,nevado
cloud,云,yún,nube,nuvem
cloudy,阴天,yīn tiān,nublado,nublado
windy,有风,yǒu fēng,ventoso,ventoso
warm,温暖,wēn nuǎn,cálido,quente
storm,风暴,fēng bào,tormenta,tempestade
wet,湿,shī,mojado,molhado
ice,冰,bīng,hielo,gelo
fog,雾,wù,niebla,nevoeiro
humid,潮湿,cháo shī,húmedo,úmido
freezing,冷冻,lěng dòng,congelación,congelamento
mild,温和,wēn hé,leve,leve
forecast,预测,yù cè,pronóstico,previsão
drizzle,毛毛雨,máo máo yǔ,llovizna,chuvisco
nice weather,天气好,tiān qì hǎo,buen tiempo,bom tempo
weather report,天气预报,tiān qì yù bào,informe meteorológico,boletim meteorológico
bright sun,灿烂的阳光,càn làn de yáng guāng,sol brillante,sol brilhante
sun shine,阳光灿烂,yáng guāng càn làn,brillo del sol,brilho do sol
sunny day,晴天,qíng tiān,día soleado,dia ensolarado
sunny weather,天气晴朗,tiān qì qíng lǎng,clima soleado,tempo ensolarado
heavy rain,大雨,dà yǔ,fuertes lluvias,chuva forte
rain drops,雨滴,yǔ dī,gotas de lluvia,gotas de chuva
rainy day,下雨天,xià yǔ tiān,día lluvioso,dia chuvoso
rainy season,雨季,yǔ jì,temporada de lluvias,estação chuvosa
heavy snow,大雪,dà xuě,fuertes nevadas,neve forte
snow fall,雪落,xuě luò,caída de nieve,queda de neve
snowy day,下雪天,xià xuě tiān,día de nieve,dia de neve
snowy weather,下雪的天气,xià xuě de tiān qì,clima nevado,tempo de neve
dark cloud,乌云,wū yún,nube oscura,nuvem escura
cloud cover,云层,yún céng,cobertura de nubes,cobertura de nuvens
cloudy sky,多云的天空,duō yún de tiān kōng,cielo nublado,céu nublado
cloudy day,阴天,yīn tiān,día nublado,dia nublado
very windy,风很大,fēng hěn dà,mucho viento,muito vento
windy day,有风的日子,yǒu fēng de rì zi,día ventoso,dia de vento
stay warm,保持温暖,bǎo chí wēn nuǎn,mantente caliente,fique aquecido
warm weather,天气温暖,tiān qì wēn nuǎn,clima cálido,clima quente
big storm,大风暴,dà fēng bào,gran tormenta,grande tempestade
thunder storm,雷暴,léi bào,tormenta eléctrica,tempestade com trovões
all wet,都湿了,dōu shī le,todo mojado,todo molhado
wet floor,湿地板,shī dì bǎn,suelo mojado,piso molhado
thin ice,薄冰,báo bīng,hielo fino,gelo fino
ice cold,冰冷,bīng lěng,helado,gelado
thick fog,浓雾,nóng wù,niebla espesa,neblina espessa
fog light,雾灯,wù dēng,luz antiniebla,farol de neblina
very humid,非常潮湿,fēi cháng cháo shī,muy húmedo,muito úmido
humid weather,潮湿的天气,cháo shī de tiān qì,clima húmedo,clima úmido
freezing cold,寒冷,hán lěng,frío helado,frio congelante
freezing rain,冻雨,dòng yǔ,lluvia helada,chuva gelada
mild weather,温和的天气,wēn hé de tiān qì,clima templado,clima ameno
mild temperature,温和的温度,wēn hé de wēn dù,temperatura suave,temperatura amena
weather forecast,天气预报,tiān qì yù bào,pronóstico del tiempo,previsão do tempo
forecast says,预测说,yù cè shuō,el pronóstico dice,previsão diz
light drizzle,小雨,xiǎo yǔ,llovizna ligera,garoa leve
drizzle outside,外面下毛毛雨,wài miàn xià máo máo yǔ,llovizna afuera,garoa lá fora
