english,chinese,pinyin,spanish,portuguese
back to the drawing board,回到绘图板,huí dào huì tú bǎn,de vuelta a la mesa de dibujo,de volta à prancheta
ballpark figure,大概数字,dà gài shù zì,cifra aproximada,valor aproximado
bottom line,底线,dǐ xiàn,resultado final,resultado final
corner the market,垄断市场,lǒng duàn shì chǎng,acaparar el mercado,monopolizar o mercado
get the ball rolling,让球滚起来,ràng qiú gǔn qǐ lái,poner la pelota en marcha,fazer a bola rolar
in the red,红色,hóng sè,en números rojos,no vermelho
in the black,黑色,hēi sè,en negro,no preto
learn the ropes,学习诀窍,xué xí jué qiào,aprende los entresijos,aprenda o básico
red tape,繁文缛节,fán wén rù jié,burocracia,burocracia
touch base,保持联系,bǎo chí lián xì,ponerse en contacto,base de toque
up in the air,在空中,zài kōng zhōng,en el aire,no ar
win-win situation,双赢,shuāng yíng,situación beneficiosa para todos,situação ganha-ganha
ahead of the curve,领先于曲线,lǐng xiān yú qū xiàn,por delante de la curva,à frente da curva
bring to the table,带到餐桌上,dài dào cān zhuō shàng,traer a la mesa,trazer para a mesa
move the needle,移动针,yí dòng zhēn,mueve la aguja,mova a agulha
go back to the drawing board,回到绘图板,huí dào huì tú bǎn,volver a la mesa de dibujo,voltar para a prancheta
back to the drawing board again,再次回到绘图板,zài cì huí dào huì tú bǎn,De vuelta a la mesa de dibujo otra vez,de volta à prancheta novamente
give me a ballpark figure,给我一个大概的数字,gěi wǒ yí gè dà gài de shù zì,dame una cifra aproximada,me dê um valor aproximado
just a ballpark figure,只是一个大概数字,zhǐ shì yí gè dà gài shù zì,sólo una cifra aproximada,apenas um valor aproximado
the bottom line is,底线是,dǐ xiàn shì,la conclusión es,o resultado final é
bottom line matters,底线很重要,dǐ xiàn hěn zhòng yào,el resultado final importa,o resultado final é importante
trying to corner the market,试图垄断市场,shì tú lǒng duàn shì chǎng,tratando de acaparar el mercado,tentando monopolizar o mercado
corner the market on,垄断市场,lǒng duàn shì chǎng,acaparar el mercado en,dominar o mercado em
let's get the ball rolling,让我们开始吧,ràng wǒ men kāi shǐ ba,pongámonos manos a la obra,vamos fazer a bola rolar
get the ball rolling now,现在开始吧,xiàn zài kāi shǐ ba,ponte manos a la obra ahora,faça a bola rolar agora
company is in the red,公司亏损,gōng sī kuī sǔn,la empresa está en números rojos,empresa está no vermelho
operating in the red,亏损经营,kuī sǔn jīng yíng,operando en números rojos,operando no vermelho
finally in the black,终于扭亏为盈,zhōng yú niǔ kuī wéi yíng,finalmente en números negros,finalmente no preto
in the black this quarter,本季度实现盈利,běn jì dù shí xiàn yíng lì,en números negros este trimestre,no azul neste trimestre
I learn the ropes fast,我很快就掌握了窍门,wǒ hěn kuài jiù zhǎng wò le qiào mén,Aprendo los entresijos rápido,Aprendo o básico rápido
learn the ropes quickly,快速掌握窍门,kuài sù zhǎng wò qiào mén,aprende lo básico rápidamente,aprenda o básico rapidamente
too much red tape,太多繁文缛节,tài duō fán wén rù jié,demasiada burocracia,muita burocracia
cut through red tape,消除繁文缛节,xiāo chú fán wén rù jié,eliminar la burocracia,eliminar a burocracia
let's touch base tomorrow,让我们明天联系一下,ràng wǒ men míng tiān lián xì yí xià,tocamos la base mañana,vamos entrar em contato amanhã
touch base with you,与您保持联系,yǔ nín bǎo chí lián xì,en contacto contigo,entre em contato com você
plans are up in the air,计划悬而未决,jì huà xuán ér wèi jué,los planes están en el aire,planos estão no ar
still up in the air,仍然悬而未决,réng rán xuán ér wèi jué,todavía en el aire,ainda está no ar
create a win-win situation,共创双赢,gòng chuàng shuāng yíng,crear una situación beneficiosa para todos,criar uma situação vantajosa para todos
this is a win-win situation,这是一个双赢的局面,zhè shì yí gè shuāng yíng de jú miàn,esta es una situación en la que todos ganan,esta é uma situação em que todos ganham
stay ahead of the curve,保持领先,bǎo chí lǐng xiān,manténgase a la vanguardia,fique à frente da curva
ahead of the curve always,始终领先,shǐ zhōng lǐng xiān,siempre por delante de la curva,sempre à frente da curva
what you bring to the table,你带来什么,nǐ dài lái shén me,lo que traes a la mesa,o que você traz para a mesa
bring to the table something,把一些东西带到餐桌上,bǎ yī xiē dōng xī dài dào cān zhuō shàng,traer a la mesa algo,trazer algo para a mesa
really move the needle,真正推动针,zhēn zhèng tuī dòng zhēn,realmente mueve la aguja,realmente mova a agulha
move the needle on,将针移至,jiāng zhēn yí zhì,mueve la aguja,mova a agulha
