english,chinese,pinyin,spanish,portuguese
qualitative,定性,dìng xìng,cualitativo,qualitativo
quantitative,定量,dìng liàng,cuantitativo,quantitativo
theoretical,理论,lǐ lùn,teórico,teórico
longitudinal,纵向,zòng xiàng,longitudinal,longitudinal
experimental,实验,shí yàn,experimental,experimental
systematic,系统化,xì tǒng huà,sistemático,sistemático
sample,样本,yàng běn,muestra,amostra
population,人口,rén kǒu,población,população
parameter,参数,cān shù,parámetro,parâmetro
validity,有效性,yǒu xiào xìng,validez,validade
reliability,可靠性,kě kào xìng,confiabilidad,confiabilidade
sampling,采样,cǎi yàng,muestreo,amostragem
statistical,统计,tǒng jì,estadístico,estatístico
replication,复制,fù zhì,replicación,replicação
standard,标准,biāo zhǔn,estándar,padrão
distribution,分布,fēn bù,distribución,distribuição
outlier,离群值,lí qún zhí,valor atípico,valor atípico
regression,回归,huí guī,regresión,regressão
correlation,相关性,xiāng guān xìng,correlación,correlação
median,中位数,zhōng wèi shù,mediana,mediana
qualitative research,定性研究,dìng xìng yán jiū,investigación cualitativa,pesquisa qualitativa
qualitative data,定性数据,dìng xìng shù jù,datos cualitativos,dados qualitativos
quantitative analysis,定量分析,dìng liàng fēn xī,análisis cuantitativo,análise quantitativa
quantitative data,定量数据,dìng liàng shù jù,datos cuantitativos,dados quantitativos
theoretical framework,理论框架,lǐ lùn kuāng jià,marco teórico,referencial teórico
theoretical basis,理论基础,lǐ lùn jī chǔ,base teórica,base teórica
longitudinal study,纵向研究,zòng xiàng yán jiū,estudio longitudinal,estudo longitudinal
longitudinal data,纵向数据,zòng xiàng shù jù,datos longitudinales,dados longitudinais
experimental design,实验设计,shí yàn shè jì,diseño experimental,desenho experimental
experimental group,实验组,shí yàn zǔ,grupo experimental,grupo experimental
systematic review,系统评价,xì tǒng píng jià,revisión sistemática,revisão sistemática
systematic approach,系统化方法,xì tǒng huà fāng fǎ,enfoque sistemático,abordagem sistemática
random sample,随机样本,suí jī yàng běn,muestra aleatoria,amostra aleatória
sample size,样本量,yàng běn liàng,tamaño de la muestra,tamanho da amostra
general population,一般人群,yì bān rén qún,población general,população em geral
population study,人口研究,rén kǒu yán jiū,estudio de población,estudo populacional
key parameter,关键参数,guān jiàn cān shù,parámetro clave,parâmetro chave
parameter setting,参数设置,cān shù shè zhì,configuración de parámetros,configuração de parâmetros
internal validity,内部效度,nèi bù xiào dù,validez interna,validade interna
validity of,有效性的,yǒu xiào xìng de,validez de,validade de
test reliability,测试可靠性,cè shì kě kào xìng,fiabilidad de la prueba,confiabilidade do teste
reliability coefficient,可靠性系数,kě kào xìng xì shù,coeficiente de fiabilidad,coeficiente de confiabilidade
random sampling,随机抽样,suí jī chōu yàng,muestreo aleatorio,amostragem aleatória
sampling method,抽样方法,chōu yàng fāng fǎ,método de muestreo,método de amostragem
statistical analysis,统计分析,tǒng jì fēn xī,análisis estadístico,análise estatística
statistical significance,统计显着性,tǒng jì xiǎn zhe xìng,significación estadística,significância estatística
study replication,研究复制,yán jiū fù zhì,replicación del estudio,replicação do estudo
replication of,复制,fù zhì,replicación de,replicação de
standard deviation,标准差,biāo zhǔn chà,desviación estándar,desvio padrão
standard procedure,标准程序,biāo zhǔn chéng xù,procedimiento estándar,procedimento padrão
normal distribution,正态分布,zhèng tài fēn bù,distribución normal,distribuição normal
distribution of,分布的,fēn bù de,distribución de,distribuição de
statistical outlier,统计异常值,tǒng jì yì cháng zhí,valor atípico estadístico,outlier estatístico
outlier detection,异常值检测,yì cháng zhí jiǎn cè,detección de valores atípicos,detecção de valores discrepantes
regression analysis,回归分析,huí guī fēn xī,análisis de regresión,análise de regressão
linear regression,线性回归,xiàn xìng huí guī,regresión lineal,regressão linear
positive correlation,正相关,zhèng xiāng guān,correlación positiva,correlação positiva
correlation between,之间的相关性,zhī jiān de xiāng guān xìng,correlación entre,correlação entre
calculate median,计算中位数,jì suàn zhōng wèi shù,calcular la mediana,calcular mediana
median value,中值,zhōng zhí,valor mediano,valor mediano
