english,chinese,pinyin,spanish,portuguese
my,我的,wǒ de,mi,meu
your,你的,nǐ de,su,seu
his,他的,tā de,su,dele
its,它是,tā shì,es,isso é
our,我们的,wǒ men de,nuestro,nosso
their,他们的,tā men de,su,deles
mine,矿,kuàng,mío,meu
yours,你的,nǐ de,tuyo,seu
hers,她的,tā de,suyo,dela
ours,我们的,wǒ men de,nuestro,nosso
theirs,他们的,tā men de,suyo,deles
who,WHO,WHO,OMS,Quem
whom,谁,shuí,a quien,a quem
whose,谁,shuí,cuyo,cujo
which,哪个,nǎ ge,cual,qual
what,什么,shén me,qué,o que
whoever,谁,shuí,quien,quem quer que seja
whichever,任何,rèn hé,cualquiera,qualquer que seja
somebody,某人,mǒu rén,alguien,alguém
everyone,每个人,měi gè rén,todos,todos
my name,我的名字,wǒ de míng zì,mi nombre,o meu nome
my house,我的房子,wǒ de fáng zi,mi casa,minha casa
your turn,轮到你了,lún dào nǐ le,tu turno,sua vez
your choice,你的选择,nǐ de xuǎn zé,tu elección,sua escolha
his name,他的名字,tā de míng zì,su nombre,o nome dele
his car,他的车,tā de chē,su auto,o carro dele
its time,是时候了,shì shí hòu le,es hora,é hora
its purpose,它的目的,tā de mù dì,su propósito,seu propósito
our team,我们的团队,wǒ men de tuán duì,nuestro equipo,nossa equipe
our house,我们的房子,wǒ men de fáng zi,nuestra casa,nossa casa
their house,他们的房子,tā men de fáng zi,su casa,a casa deles
their idea,他们的想法,tā men de xiǎng fǎ,su idea,a ideia deles
it is mine,这是我的,zhè shì wǒ de,es mio,é meu
this is mine,这是我的,zhè shì wǒ de,esto es mio,isso é meu
it is yours,这是你的,zhè shì nǐ de,es tuyo,é seu
this is yours,这是你的,zhè shì nǐ de,esto es tuyo,este é seu
this is hers,这是她的,zhè shì tā de,esto es de ella,isso é dela
hers not mine,她的不是我的,tā de bú shì wǒ de,la suya no es mía,o dela não é meu
this is ours,这是我们的,zhè shì wǒ men de,esto es nuestro,isso é nosso
ours to keep,我们要保留的,wǒ men yào bǎo liú de,nuestro para mantener,nosso para manter
this is theirs,这是他们的,zhè shì tā men de,esto es de ellos,isso é deles
theirs alone,他们一个人的,tā men yí gè rén de,solo de ellos,só deles
who is it,是谁,shì shuí,Quién es,quem é
who knows,谁知道,shuí zhī dào,quien sabe,quem sabe
to whom,给谁,gěi shuí,A quien,para quem
whom did you call,你给谁打电话,nǐ gěi shuí dǎ diàn huà,¿A quién llamaste?,para quem você ligou
whose is this,这是谁的,zhè shì shéi de,¿de quién es esto?,de quem é isso
whose turn,轮到谁了,lún dào shuí le,a quien le toca,de quem é a vez
which one,哪一个,nǎ yí gè,cuál,qual deles
which way,哪条路,nǎ tiáo lù,de que manera,qual caminho
what is it,这是什么,zhè shì shén me,¿qué es?,o que é
what now,现在怎么办,xiàn zài zěn me bàn,¿Y ahora qué?,e agora
whoever comes,无论谁来,wú lùn shuí lái,quienquiera que venga,quem quer que venha
whoever wants,谁想要,shuí xiǎng yào,quien quiera,quem quiser
whichever you choose,无论你选择哪个,wú lùn nǐ xuǎn zé nǎ ge,lo que elijas,o que você escolher
whichever works,无论哪个有效,wú lùn nǎ ge yǒu xiào,lo que funcione,o que funcionar
somebody help,有人帮忙,yǒu rén bāng máng,alguien ayuda,alguém ajuda
somebody called,有人打电话,yǒu rén dǎ diàn huà,alguien llamó,alguém ligou
everyone knows,每个人都知道,měi gè rén dōu zhī dào,todo el mundo sabe,todo mundo sabe
everyone is here,大家都在这里,dà jiā dōu zài zhè lǐ,todos están aquí,todo mundo está aqui
