english,chinese,pinyin,spanish,portuguese
mother,母亲,mǔ qīn,madre,mãe
father,父亲,fù qīn,padre,pai
mom,妈妈,mā mā,mamá,mãe
dad,爸爸,bà bà,papá,pai
sister,姐姐,jiě jiě,hermana,irmã
brother,兄弟,xiōng dì,hermano,irmão
son,儿子,ér zi,hijo,filho
daughter,女儿,nǚ ér,hija,filha
grandmother,祖母,zǔ mǔ,abuela,avó
grandfather,祖父,zǔ fù,abuelo,avô
aunt,阿姨,ā yí,tía,tia
uncle,叔叔,shū shū,tío,tio
cousin,表哥,biǎo gē,primo,primo
husband,丈夫,zhàng fū,marido,marido
wife,妻子,qī zǐ,esposa,esposa
parents,父母,fù mǔ,padres,pais
children,孩子们,hái zi men,niños,crianças
baby,婴儿,yīng ér,bebé,bebê
family,家庭,jiā tíng,familia,família
relative,相对的,xiāng duì de,relativo,relativo
my mother,我的母亲,wǒ de mǔ qīn,mi madre,minha mãe
mother knows best,妈妈最了解,mā mā zuì liǎo jiě,madre sabe mejor,mãe sabe melhor
my father,我的父亲,wǒ de fù qīn,mi padre,meu pai
father figure,父亲形象,fù qīn xíng xiàng,figura paterna,figura paterna
hi mom,嗨妈妈,hāi mā mā,hola mamá,oi mãe
mom and dad,爸爸妈妈,bà bà mā mā,mamá y papá,mamãe e papai
hey dad,嘿爸爸,hēi bà bà,hola papa,ei pai
dad jokes,爸爸笑话,bà bà xiào huà,chistes de papá,piadas do pai
little sister,小妹妹,xiǎo mèi mèi,hermana menor,irmãzinha
big sister,姐姐,jiě jiě,hermana mayor,irmã mais velha
older brother,哥哥,gē gē,hermano mayor,irmão mais velho
little brother,小兄弟,xiǎo xiōng dì,hermano menor,irmãozinho
my son,我的儿子,wǒ de ér zi,mi hijo,meu filho
like father like son,有其父必有其子,yǒu qí fù bì yǒu qí zǐ,como padre tanto hijo,tal pai tal filho
my daughter,我的女儿,wǒ de nǚ ér,mi hija,minha filha
daughter of mine,我的女儿,wǒ de nǚ ér,hija mía,filha minha
dear grandmother,亲爱的奶奶,qīn ài de nǎi nǎi,querida abuela,querida avó
grandmother's house,祖母的房子,zǔ mǔ de fáng zi,casa de la abuela,casa da avó
dear grandfather,亲爱的祖父,qīn ài de zǔ fù,querido abuelo,querido avô
grandfather clock,祖父钟,zǔ fù zhōng,reloj de pie,relógio de pêndulo
aunt mary,玛丽阿姨,mǎ lì ā yí,tia maria,tia Maria
my aunt,我的阿姨,wǒ de ā yí,mi tia,minha tia
uncle bob,鲍勃叔叔,bào bó shū shū,tio bob,tio bob
my uncle,我叔叔,wǒ shū shū,mi tio,meu tio
my cousin,我的表弟,wǒ de biǎo dì,mi prima,meu primo
cousin once removed,表弟一旦被移除,biǎo dì yí dàn bèi yí chú,primo una vez eliminado,primo uma vez removido
my husband,我的丈夫,wǒ de zhàng fū,mi marido,meu marido
husband and wife,丈夫和妻子,zhàng fū hé qī zǐ,marido y mujer,marido e mulher
my wife,我的妻子,wǒ de qī zǐ,mi esposa,minha esposa
wife and kids,妻子和孩子,qī zǐ hé hái zi,esposa e hijos,esposa e filhos
my parents,我的父母,wǒ de fù mǔ,mis padres,meus pais
parents house,父母的房子,fù mǔ de fáng zi,casa de los padres,casa dos pais
the children,孩子们,hái zi men,los niños,as crianças
young children,年幼的孩子,nián yòu de hái zi,niños pequeños,crianças pequenas
new baby,新宝宝,xīn bǎo bǎo,nuevo bebe,novo bebê
baby shower,婴儿送礼会,yīng ér sòng lǐ huì,fiesta de bienvenida al bebé,chá de bebê
my family,我的家人,wǒ de jiā rén,Mi familia,minha família
family dinner,家庭晚餐,jiā tíng wǎn cān,cena familiar,jantar em família
close relative,近亲,jìn qīn,pariente cercano,parente próximo
distant relative,远房亲戚,yuǎn fáng qīn qī,pariente lejano,parente distante
